死水般的生活 我早就知道会葬送自己 ​​​
我想要的 不过是哭泣时可以承载我的肩膀 ​​​
罗伯特最近很忙吗 都不给我评论了(｡ ́︿ ̀｡) ​​​
我后悔送你东西了 因为你根本没珍惜过它 包括我 ​​​
好想结婚 ​​​
capper超话嘻嘻 ​​​
为什么你不好奇我是怎么长大的 喜欢看谁的书 爱看什么电影 为什么会喜欢下雨天 最喜欢吃什么东西 是喜欢喝咖啡还是果汁 算了 说的我自己都觉得没意思 更何况是你 ​​​
会幸福吗 ​​​
鱼头汤你又要幸福了吗 ​​​
capper超话 好久不见哥 ​​​
这个世界 没有真相 只有视角 ​​​
感谢这么吃的多的苦也没有把心长歪 ​​​
有些人怎么那么喜欢当预言家 你这么牛批怎么预言不了自己？ ​​​
又是那些对的错的 我困了 ​​​
我意气用事 给人画饼 经常眼瞎 不回消息 装死 骂人 素质低下 喜欢抬杠 当面一套背后一套 但我是个好女孩 ​​​
我已经不再期待会有想象中那种完美的伴侣会出现在我的生命里 我幻想里的伴侣一切都太完美 但我自己本身就是个有缺陷的人 我又怎么能去强求要有这样的人出现在我的生活里 我要先让自己变完整 ​​​
海鸥不再眷恋大海 可以飞更远 ​​​
换成这个了哈 查看图片
幸福是一只难以捕捉的蝴蝶 但如果你安静地坐在那里 也许它会落在你手上 ​​​
还是得瘦 瘦下来的时候你伤心都是一种破碎感很想好好保护 胖的时候伤心就像一头悲伤的老母猪 高压锅炖两个小时就老实了 ​​​
#周扬青rap 罗志祥#💩 ​​​
我不幸福啊啊啊啊啊啊啊啊啊 ​​​
所有人在我的生活中都像是车窗上滑落的雨滴 转瞬即逝 雨过无痕 却有一小部分人 让我愿意一生都活在雨季 ​​​
如果你愿意做我永远的捧场王 那我愿意一辈子为你一个人表演 ​​​
有时候挺讨厌我妈的教育方式的 但转念一想 如果我二十岁就有孩子 做的不一定比她好 ​​​
不是这样的婚礼我不结了谢谢 ​​​
别人问我喜欢什么类型的男生 我通常会回答又高又帅了 要是真要说的话 我喜欢是一个能让我每天哈哈大笑的人 ​​​
我是一个特别特别怕自作多情的小女孩 ​​​
服美疫很累的 谁不想当素颜美女 ​​​
看到朋友圈有个朋友 说她靠自己力挽狂澜了自己的一生 自己虽然学习不好 数学十几分 父母也不会帮她计划人生 学美术出国都是她自己提出来的 但是父母都会满足 再遥想我的一生 学习不好 父母只会让你别读了 在他们眼里学习只有一条路 走死了 就再没路了我说这些也并不是说抱怨父母给我的条件不足好吧 ​​​ ...展开
你们这些搞雌竞的 说好的girls help girls呢 怎么男的都美美隐身了呢 ​​​
爸我给你转99块 你回到2003年去买盒byt ​​​
我是个三分钟热度的人 我打唇钉也是看网上好看 导火线是capper也打了一个唇钉 我终于下定决心打了 和他同一边 在后面一年 他因为生病也渐渐淡出了圈子 自己也在好好生活生活 这个唇钉是我跟他唯一相似的地方 我很珍惜 但由于很多因素 我不得不取下来 我很难过 但是今天看到capper终于更新的动态 右边嘴 ​​​ ...展开
我真想跪下来求我自己减肥。 ​​​
我再没有见过这样阴郁又阳光的日子了 ​​​
舍不得你跟别人好 但是你心由你 不由我 ​​​
有些人见三百次也没有 有些人见三次就够了 ​​​
我第一眼看到就会停下驻足的人 再看见千遍也还是会观望 ​​​
我不将就 ​​​
刚认识的时候 你说我朋友圈照片看起来不好接近 结局是我变成了神经病 ​​​
即使你我之间 只是帧帧瞬间 我也不舍得割舍 ​​​
分享图片 ​​​
早点出现吧 ​​​
一百颗心里 总有一颗纯粹 ​​​
一问全是恋爱脑 一谈全是冷暴力 ​​​
妈妈 原来情感才是世界最牢的枷锁 ​​​
我高喊着无爱者自由 余光却无数次看向被爱的人 ​​​
我的极致占有欲：那我不要了 ​​​
你到底分没分手？马上就过年了，什么时候轮到我？真打算和她在一起一辈子？我保证以后对你好 你先跟我在一起行不行 还有13天情人节我着急 ​​​
我家长一讲话我就想从楼上跳下去 ​​​
我讨厌冬天 太冷也太孤单了 ​​​
我们之间 就是帧帧瞬间 ​​​
痛失唇钉 ​​​
我渴望一种具象的爱 希望对方爱我为流浪狗蹲下时垂下的发丝 品尝我因感性为书籍电影流下的眼泪 琢磨我柔软的内心对世界的理解 好奇我为什么钟爱一首歌 ​​​我不需要轰轰烈烈 我只想让对方走进我的小世界 ​​​
你本来就很好 那些说你不好的人都让他们滚 ​​​
一天未进食 ​​​
我是个很会共情同时也很绝情的人 ​​​
女生一旦沉浸在自己幻想的爱情中 你作为旁观者说什么她都觉得你是见不得她幸福才故意诋毁 罢了 让她们自己沉沦 ​​​
活下来 走出去 ​​​
我说我的阴郁让你费解 ​​​
我还是依旧讨厌搬行李 几年了还学不会离别 ​​​
我是一个很矛盾的人 我不希望生活中的朋友踏足我的微博 又会在截图自己微博的时候故意不马赛克掉名字并希望有个人借此来探索我的秘密空间 ​​​
心死了 ​​​
还以为不一样 结果都一样 ​​​
心跳停止了一拍。 ​​​
我爸说 爱有多深 恨就有多深 ​​​
大家都很幸福 我也是活着 ​​​
