天选幸运体质 ​​​
这可真是一条艰辛的路 ​​​
翻看相册 这张淡淡的妆很喜欢 ​​​
任何一段关系的长久维系 都要彼此知道对方的好 并且时常感恩 ​​​
我是一个频繁流泪的人 但这并不妨碍 我成为一个勇敢独立的女孩 ​​​
我想我的小多多了 我的椰蓉包在哪里-Z的微博视频 ​​​
今天是特别难过的一天 但是在回家的路上捡到了一块钱 ​​​
人在受委屈的时候总会想起之前自己所有的付出 进而加深自己内心的悲伤情感 思考自己为什么当初要那么傻 ​​​
从看完电影回家的路上 以前也走过回家的路但是从来没觉得这条路这么的短 每次骑车都是他非要我抱着他 今天回去的路上我抱着他才意识到短短的15天就这么过去了 明天就是分别的日子 多么希望回家的这条路能够变长 只停留在他带我回家的瞬间 ​​​
今天看电影的时候才发现我和李健东每一次看电影的电影票都没有留下来过 今天的电影票我留下来了 希望两年后我们可以积攒更多更多的电影票 ​​​
看不起谁呢 点个爷爷不泡茶区别对待 买个酸奶两人给一个 谁没喝过爷爷不泡茶谁没喝过紫光园 胖死你个死八婆 ​​​
细腻的人唯独看不到自己的珍贵 ​​​
我是世界上最强大最幸运最坚强的女人！！ ​​​
男人只会不停的寻找新鲜和刺激 ​​​
打完球像洗了一个澡🛁 ​​​
以前很讨厌下雨☔️ 现在听着窗外雨滴落的声音却有一种安逸的感觉 我在想如果明天不上班就好了 能在下雨的夜晚睡一个很长很长的懒觉 ​​​
又是香香的一餐 ​​​
给我香迷糊了 ​​​
感觉小菜园还挺好吃的 我和ljd狂吃米饭 ​​​
今天我特别不开心 但是上课的时候我的每一个学生都在逗我笑 他们真的很温暖 抹平了我一天的疲惫 ​​​
谁能懂画好了妆 突然对方通知自己不去了 想要杀死对方的感觉谁能懂 白费粉底液 白费假睫毛 他妈的 ​​​
排了一小时的🧍‍♂️ ​​​
和ljd吵架 两个人都挂掉了电话生气不理对方 就当我真以为他自己睡觉不管我的感受时候 冒出我俩不合适的想法 就在这时他突然发了一条消息你真不说话了是吧 我才明白好像懂我的欲言又止又总愿意低头的人一直是他 ​​​
和ljd约定好了 他科一考过就给我买源麦田 考不过就不给我买 ​​​
每一次只要说了我想吃 晚上就会吃到 ​​​
下班后就收到了ljd送的甜品🍮 ​​​
工作这些天一直都很不适应 总是和ljd闹别扭 和他发脾气说不适合谈恋爱 昨天他打比赛不能来看我给我买了泡芙和小贝 今天我又发脾气和他 他晚上突然说给我买花了 一打开门是他 瞬间所有不好的情绪都烟消云散 ​​​
每次我看ljd 比赛 我都可激动 一看他那么厉害那么多人夸他 我想我男人真的很牛逼 ​​​
一想到明天要继续练课 敲五个多小时的键盘我心里就难受极了 ​​​
今晚有点发烧 我还迷迷糊糊让我拿外卖一开门是ljd给我送饭来了 ​​​
点了一个麻辣烫 超时10分钟了我就取消了 然后但是不知道会扣除外卖小哥200元 现在心里特别愧疚 但是他也没怪我还跟我道歉 ​​​
他妈的我就想这个世界上怎么会有人素质那么差 大门是你们家开的吗框框的 ​​​
我妈绝对是我和Ljd头粉 我俩还吵着架呢 她给人叫家里去吃饭了 我一进家门懵逼了 ​​​
我靠 有时候不得不信自己的潜能 ​​​
妈妈接我回来又带我买好吃的去了 ​​​
人都是会在最想要的时候却没有得到自己喜欢的结果时而难过失落 ​​​
烦死我了真的烦死我了 我超级讨厌听到噪声 ​​​
虽然ljd有时候经常让我生气 但是我昨天和家里人吵架了 我心情特别不好 一直哭 甚至和他提出了分手拉黑了他 他给我打了好多电话 接通后他温柔的安慰我 我因为学习压力很大 他一直都有在好好爱我 带我出去玩吃很多我喜欢吃的 知道我想继续追求自己想要的 甚至愿意拿钱供我学习 我一直都是很独立的人 把自 ​​​ ...展开
翻相册突然发现这张还挺好看 ​​​
今天和ljd我俩吃了干锅鸭头 一个新奇的发现 ​​​
这个傻逼ljd气死我了 一副脑干缺失的样子 把微信头像换成他小时候 气死他 ​​​
今晚ljd来自习室找我 我俩逛了一条街都没想好吃什么 然后我想吃火锅米线但是米线店的位置特别小我不喜欢面对面做 当时就有些不开心 我俩就一两句话闹了点小别扭 我就扭头走了 后面他还是骑着车来找我了 哄着我去吃饭 他也在生气还拿出一个礼物给我说你想走就走吧 我看着他可委屈的样子就笑了 感觉我们 ​​​ ...展开
哇 拿拿笔辛苦咯 sb ​​​
为啥相处快一年多了 我有时候看ljd 还是心会砰砰跳 特别是他笑起来的时候 我一开始完全不喜欢这种类型的 但是现在好打脸 ​​​
以前没发觉 现在发现人很久不见面是会感到陌生的 短短的三天就像过了三年 异地的生活里两个人缺少了很多爱 各自忙碌 甚至也增加了不安全感 慢慢的心开始平静 ​​​
我真不想和李健东吵架 太丢人了让别人听到 我这么一个爱面子的女人 但是架不住我是真生不了一点过夜气 ​​​
我时常想 如果我不是一个那么感性的人就好了 ​​​
Ljd大傻逼 ​​​
我真是我这暴脾气 我气死了 ​​​
我这几天一直生病不好 昨晚打电话Ljd突然就哭了 本来我也是因为生病而心情低落 他一哭我就觉得他像只可怜的小狗狗 ​​​
我一定要养一只小金毛 太喜欢了 ​​​
本想和Ljd大闹分手 结果才知道他在我楼下等很久了 ​​​
做过最错的事就是把别人看的太重 一直都想给对方最好的 最后自己受伤 ​​​
他妈的 我在想怎么有人能愚钝到这个地步 ​​​
我最近的状态就是要专注于自己 然后考完试一定要去赚钱赚钱 穿好看的衣服 圣诞节🎄和zjl 一起过 ​​​
靠山山会倒 靠人人会跑 女孩子还是要自己独立靠自己 ​​​
最爱我的人是妈妈👩 ​​​
想吃火锅 ​​​
他妈的我这暴脾气 学习旁边这个女同学一直在拿笔划划划 听的我想给她书撕了 ​​​
最讨厌突然变卦的人 ​​​
也就只有zjl 这个笨蛋总会傻傻的替我着想吧 总是用最简单的文字就打动了我 所以才会总是觉得有她是很幸福的存在 ​​​
大概只有ljd 能受的了我这怪脾气 我有很多次都大小姐脾气故意说一些伤人的话 感觉其实就是作 但是他都一直包容我 引导我怎么开心 之前的恋爱我的这一面爱细节敏感是一个弱项 别人接触我会觉得很无聊想那么多从而使我的闪光点也变得弱化 而他不一样他在看到了我的缺点和脆弱后依然去爱我 虽然有时候，真 ​​​ ...展开
我感觉我会焦虑很多事 突然的不开心又突然的开心 感觉很想回到校园生活 在这个充满压力的社会里特别难过 ​​​
焦虑上线 ​​​
傻逼李健东 ​​​
你才姐姐 你他妈全家都年龄大 ​​​
Ljd 昨晚打电话听我说想吃油条和豆浆今早给我点了外卖 我还信誓旦旦说明早7点起床 结果太累了睡到了11点 他说他的爱心早餐都不好吃了 但是我热了一下当午饭吃了 感动🥲 ​​​
幸福大概是努力学习一天疲惫后 下楼看到他在等我去吃晚饭虽然只相处短短的一个多小时但也足以抹去所有的烦恼 ​​​
有时候真的感觉学习很累 但是这个人总是那么搞笑 ​​​
Ljd有时候真的很懂我在想什么 可恶 总是被他猜透小心思 ​​​
果然吃甜食真的会让人心情变好 ​​​
真的很烦骑车在大街上抽烟的人 ​​​
Ljd真的是一个既要强又爱哭的男人 ​​​
希望上天保佑他一定要快快恢复好 保佑他平平安安的 ​​​
有时候真的很讨厌自己脆弱的内心 ​​​
Ljd真的是一个很厉害的男人 在他身上我总是能看到一种很坚韧的力量 对于篮球的热爱和执着 即使打到浑身没力气了依旧可以为了自己的目标和队伍而继续坚持 对每一场比赛都倾注了自己的汗水和努力 每次看到他在球场上打比赛的时候我都感觉他在闪闪发光 在自己喜欢的领域一直坚持自己的初心 ​​​
我不是不喜欢过生日 只是每次过生日都太难过了 小时候我过生日的那天从来没有和爸爸妈妈一起过过 因为弟弟太小 爸爸就带我一起吃个饭 但是我没有生日蛋糕 长大后开始过生日了也有蛋糕了 但是每次过生日当天总会出现一些不愉快的事情 所以我开始讨厌过生日 如果有一天我能喜欢上过生日就好了 ​​​
讨厌一个人吃饭 ​​​
下雨了灰蒙蒙的 ​​​
好想做一个温柔的人 拥有稳定的情绪 ​​​
真的好喜欢爸爸当家3里面的昌炯和和神思思 她真的好温柔知性 感觉两个人结婚后还是那样的幸福和溢出的爱 我真的好喜欢温柔的人 ​​​
虽然可能没太大的希望 但是也努力一下吧 因为想让妈妈开心 ​​​
给我一个床 1秒我入睡 ​​​
我这个人向来不喜欢要求别人做事 很多时候我都自己可以解决 ​​​
他上班了 我也开始学习了 但是却相处的时间越来越少 不适应的生活频率 每次挂电话的不舍 心里的小想法像雨点一样涌出 也不是不爱对方 而是爱情是美好的 终归是要走向现实 脱离学校的我们总归要面对生活带来的一些困难 渐渐的我也要习惯一切频率 哪怕心里有再多情绪也要去化解 因为已经不是一个小女孩了 ​​​ ...展开
我一直都不是一个内心强大的人 我会因为心里的一点小敏感而无数次放大自己的情绪 我性格别扭且胆小 总爱说一些反话去无数次推开身边的人 对待身边的人总是没有那么耐心 我也害怕失去 但是我唯一安心的点就是能收到很多很多爱 但是很久了到现在我还没能成为一个内心强大且勇敢的人 讨厌自己的性格 讨厌 ​​​ ...展开
我的胡思乱想可以织十三件毛衣 ​​​
以前从来不觉得离别那么遥远 但真正离开的时候却心里还是会难过 虽然短暂的1年多时间却承载了很多记忆和快乐 ​​​
突然很难过 就是快离开学校了 很想哭 ​​​
爱会因为一件件事逐渐磨平 ​​​
想拥有一双ck的银色高跟鞋 ​​​
每次吵架的时候都会很生气 都不想和他谈了 我承认我是有点小犟吧 不低头 又想他哄我 ​​​
任何时候都要学会珍惜自己 ​​​
Ljd这个死记仇男 ​​​
Ljd大sb 真的很烦人气死了😡 ​​​
真的会被我的舍友感动死 xyx 这个暖心的小女孩 ​​​
心里的不适应感又增加了 ​​​
我希望我的身体健康 ​​​
我好想吃烤串 ​​​
我今天和孙她们一起拍毕业照了 拍照前孙收到了她对象送的花 虽然我知道520的时候我已经收到过花了 但是拍照的时候没有花只能拿着学士帽去摆拍 还是会心里有些失落吧 因为拍照前她在调那个拍摄设备的时候让我帮她抱一下花 我就拿着看了镜头一下原来拿着花陪着学士服那么好看 我知道如果我说我想要他也会 ​​​ ...展开
