明天又上班 ​​​
我不想说话 回消息时候 就是我不想 我们只是朋友 我不想给你情绪价值也合情合理 ​​​
yeap
真神奇 ​​​
还好独居的快乐 我大三就体会了可能会有点孤独 在我给自己做完好吃的饭 洗完衣服收拾完卫生之后 但是太累了 也忘记了这份孤独现在研三 又独居了 我真的好喜欢前两天 教我转码 实验 论文的师兄 吞吞吐吐和我说他被骗了七万多 被女人 我很无语 然后我累了 我不喜欢安慰任何人 并且第一晚我是说了的  ​​​ ...展开
李佳琦超话 双十一有昔又大排灯吗？没怎么看过直播，几点直播呀 ？是在桃吗 ​​​
我师兄是真好啊 我实习还安抚我 明明都毕业了 我真的很幸运 在上海遇到的我们组 ​​​
我的青春
我靠
之前总觉得 我没那么喜欢努但是今天我发现 在我成熟一些之后遇到的困难都是他成为我的力量 我很爱他 ​​​
老公啊
我靠 这是我见过shownu最帅的视频
#于朦胧去世#和欧豪一年的快男 记忆长的很美 ​​​
这不就是我
可爱死啦 
【【monsta x】shownu孙贤佑/做梦向//安心的存在】  ​​​
