又开始自己做一些老派的事 ​​​
分享图片 ​​​
合影留念，祝贺韩天尊结婴成功#凡人修仙传# 二百余栽风雨兼程，在列强面前委曲求全，极阴岛弟子，给蛮胡子让柱，给风希炼翅，伪灵根散修也终于成功碎丹结婴，立子为了成功受苦了 ​​​
最近爱上了坐公交，特别是避开上班高峰期坐公交去工作，不堵车，少人，还能看到天上的天和云，看到地上的车和人。随着车辆行走外面的树和人略过，眼睛接收到动态场景之后脑子里bgm就会自动响起，思绪也会自动开始飘散，脑内马杀鸡开始。只是会经常被停车发车的刹车打断。相反地铁，放眼望去只有人 ​​​ ...展开
我正在听GT三次方的《EP 09｜27岁后的女性叙事空白：谁还会问“还好吗”？》，分享给你听听～网页链接（via @小宇宙播客App） ​​​
最近读书的欲望爆棚，在读福格博士的行为模型的时候，发现书评里提到了《认知觉醒》这本书，点开发现原来22年就已经被我收藏到书架里，一直没打开。想来当时也是在生活的归零状态，急需补充一些精神力的时候，跟现在也差不多，看到这个藏书票有种开时空隧道了跟3年起前的自己对上话的感觉 ​​​
念念不忘不一定有回响，但是一直念念不忘说不定就会有回响，10年前的西瓜捡起来又啃了一口，幸好还是甜的，还是继续玩儿吧，学习流畅表达，学习面对交锋和冲突，学习以立体视角看待不同问题，变得更强。 ​​​
灵笼超话#灵笼# 白·旧世界杰出脑科学家·资深老中医·攻腥计划第一人·玛娜生态面壁者·碳基永生但以身入局者·月魁：这是计划的一部分 ​​​
全网吹爆这一集，文戏巅峰之作，好的文戏比打斗戏跟更让人血脉喷张血气上涌，没有白费等待，艺画开天你是坠牛的！#灵笼#灵笼超话 ​​​
我们p人就是会多调几个闹钟的，28岁，太阳才刚升起来没多久 ​​​
打台风下雨就适合在家看点攒劲儿小节目灵笼超话#灵笼# 跳海要裹床单的微博视频 ​​​
叶真先生又准确地踩中了了我的弱点大学时期是我全能感最强的一个阶段，高考成绩是我整个高中成绩最好的一次，全班第2全级第15全省3000名，天啊哪里有过这种成就，上了大学我以为我能办到任何事，我是最牛的，我是king of the world，谁都要为我让步啊，老娘想干啥就干啥。好了，毕业之后出来工作， ​​​ ...展开
生日额度还剩10分钟，今年是我最忙碌的生日啦～车我妈去上班去医院去理疗去找神婆，晚上车她一起去吃饭，吃完饭半夜9点半发现原来没吃蛋糕，跟我爸开着车在蛋糕店下班前买了两个蛋糕，回来点了蜡烛唱了生日歌，然后跟我爸看剧吃鸭脖喝啤酒。平时自己做的事情，有阿爸陪着似乎有点不一样，有人跟我碰杯 ​​​ ...展开
久违了加班🐶 ​​​
