最近西贝火出翔，我女儿从小就不爱吃西贝，带她去过两次就再也不肯吃，也不让我进了。反而从小就喜欢跟我在外面吃干锅牛蛙，火锅，现在我们出去吃饭，除了肯德基汉堡王，都是川菜系的。 ​​​
今天听到一个抖音博主说，你永远记住，这个世界上最爱你的人只有你父母！怎么说呢，如果你真相信这句话大概率就好不了了，而且会很受伤🩼即使我自己，也不敢说对孩子的爱是无私的，而且为了掩盖自己的目的，也会对孩子也说谎。父母的爱是肯定有的，然而被欺骗被伤害也很多，只能有限度的去 ​​​ ...展开
上个月从日本旅游回来，我们家每天一个西瓜🍉，我每天泡澡，本来想要换个智能马桶，后来觉得麻烦，还是用以前的手持式冲水🚿 ​​​
我婆婆跟我妈是截然不同的性格，如果从原生家庭来讲，她家的重男轻女更加显性。但是有一点好，就是重男轻女是不假，但父母对小孩的爱更温柔。比如她对我女儿，虽然遗憾不是儿子，但是头1️⃣两年确实尽心尽力帮我带孩子，会哄孩子，对比我妈妈，没有重男轻女的观念，但是对孩子爱的有点粗鲁，嗓门大动 ​​​ ...展开
其实我妈妈那代人太不容易了，生活在工人家庭，父亲严厉母亲懦弱，只有兄弟没有姐妹，从小到大就被贴上了笨的标签。工作也很辛苦，后来又被优化，有几年只有最低工资一个月几百元。也就退休后收入稍微好点，主要是工龄有34年，比家里女性亲戚稍微高点，但终究也是工人级别的退休金。我妈太缺爱了， ​​​ ...展开
江南好，风景旧曾谙 ​​​
