越扒越干净本身就是一个很好的人这条下鱼在乎 那条小鱼也在乎 ​​​
笑死，一发🐟一些🤢的人就开始关注了指向性可真明显哈 ​​​
他妈的一些煞笔账号别关注我真TM的恶心令人作呕 ​​​
小鱼真的是知世故而不世故 ​​​
逆光这首歌最初是朋友推荐给我的当时我的理解是困境中不放弃再后来对这首歌很抵触了因为总有人莫名的把歌往不喜欢的方向带但现在听到小鱼唱一点不反感很喜欢他的追光吧的首秀小鱼是一个本身就钉钉的很好很好的人 ​​​
//@小钟同学919:我想到之前看到的一段 但是具体的记不清楚了 大意就是有时候我们期望伴侣/朋友怎么样 其实并不是期望伴侣/朋友本身 而是更期望有那个能力的自己 所以每个人都会被一些在自己身上没有或者说想要有的品质吸引 慕强可能本不是因为慕强 而是因为 她想变得更强
还真是
乖巧 善良有道德感只会被人吃干抹净 ​​​
了解一个人之前确实要做背调不然都不知道某些可爱外表下的人是人还是鬼 ​​​
不要寻求安慰和陪伴，你要做的是默默扎根。 稳住自己，专注目标、直接、冷静、高效。 ​​​
对所谓的大佬祛魅 ​​​
//@用户7465041709:真正的突破建立在痛苦和对抗之上。
//@知吾不知_:没错，就是概率判断问题。 读的大学层次相当于已经从智力，自律性，执行力，专注力等一些方面进行初筛，有些人会说我中专我大专也做得很好啊，只谈个例意义不大，特别对于规模比较大的讲求效率的公司而言，没那么多时间去拼小概率事件。
反正这段时间我只学到了势力自私 ​​​
深度思考的朋友
君子之交淡如水
要早刷到就好了//@大头mun:我刚毕业那会，也很多大小周和单休的，不过这样的公司我统称为不正规的公司。不过那会工作不难找，双休+五险一金+交通便利就是我找工作的底线。没有这些的我就不投或者不去面试，别浪费我时间。
丛林法则
//@下午去发呆吗:想到一句话，既怕兄弟苦，又怕兄弟开路虎
不就是信息茧房吗
//@赵云大战史文恭:不管多难，都不要下桌。念念不忘，必有回响。
