出租车司机
众合的老师们都好可爱，我能说我是因为老师们而爱上法学的么
假如你想要一件东西，就放它走。它若能回来找你，便永远属于你。#生活手记# ​​​
#生活手记#生活就是这样有点忙有点烦有点苦偶尔也有点甜偶尔会emo但积极向上才是我的主旋律普通人普通生活普通过山高路远，独善其身看世界，爱自己希望你快乐 无论和谁，无论在哪 ​​​
#生活手记#去看精神科时医生说，你没啥抑郁症，你是真的惨。 ​​​
学习
