已经看了五遍技能五子棋了笑得脸都酸了谁懂 ​​​
上条转的等级制和侠义，想到了延禧攻略。魏璎珞就是侠女，一个背负着血海深仇的主人公。在情义面前，可以放弃生命和自由，对傅恒的爱如此，为皇后之死触怒皇帝如此，保护明玉、为皇后复仇如此，杀了尔晴和皇帝决裂如此。很前现代的感情，很中式幻想。 ​​​
在最残酷的等级制中幻想人情义气//@透明人間的蒸气:看繁花的时候 还挺喜欢 主要是被其中的“义气”和“人情味”打动（非常早年 TVB 的人情味和义气）。 不过之前看韩剧就想过，东亚名为“人情味”这种东西，可能是严酷的等级社会滋生出的补偿方案。也许它让人感到珍贵的地方，就是它不稳定，不曾承诺谁 ...展开
想起我伟大的朋友们
被韩剧诈骗过，过多少年提起来都要说一句恨!
难怪我一直没用小红书，是一点财富都没有
古二为了创作是榨干自己了，王家卫和秦雯做什么了？喔，他们一块压榨古二了。把古二当金刚钻使，瓷器活上只有大导演大编剧的名算怎么回事？再是艺术家也得先做个人吧。//@南淮橘生010:其实大家之前基本把他拍电影磨人的行为当做一种精益求精的美谈，只不过最近爆出来他折磨工作人员的瓜（这个工作人员 ...展开
秦雯和她的朋友们剥夺原编剧署名，辱骂古二，当患病的古二查资料、写剧本的时候，秦雯满世界飞着旅行说自己没有假期
高调 高调！//@ieaber:如果有人问你同人女的上限，你就转发这个。爱讲故事的人了不起
我们搞同人的就这样伟大
分析写得比小说好看，看得人想打开94看周芷若cut了//@透明人間的蒸气:重看灵蛇岛发现了好多华点。在谢逊口中，这个岛（其实是灵蛇岛边上的一个岛）是隔绝了政治和敌我立场的世外桃源，正好用来恋爱。但对于周芷若来说不是，周芷若一开始就被张无忌分派了照顾蛛儿的任务，困在山洞里，甚至因为照顾上的 ...展开
这个真的很好笑
梦到自己偷了张元英的钱包里面有201块人民币 ​​​
打开韩剧，精致到不像真人的演员的脸 ​​​
恭喜辛芷蕾！明天就上映好吗好的 ​​​
白天没睡晚上也睡不着，恨。 ​​​
好艺术 好喜欢//@TaylorSwiftCollection:it's an art❤️‍🔥
潘多拉是最早开盲盒的人 ​​​
妈咪妈咪妈咪这条新闻确实得配上啊啊啊啊啊阿啊啊啊啊啊啊啊啊啊啊
夜里已经没有知了声了，现在是蟋蟀的声音。还有狗叫。 ​​​
待着不动得到的，不只是呼吸，还会有疼痛。 ​​​
这个思路蛮有意思的，赘夫宣言：我不是来加入这个家的，我是来拆散这个家的。与此同时也可以解释笑傲里是令狐冲是想赘岳家而不成，赘了任盈盈且拉着她一起隐居
推上说的好，我要是有这么辣的照片我也倒计时让全世界知道
好喜欢这种睡前有悬念的生活，前两年是等惊喜曲目和服装，现在是随机掉落霉霉姐的小动作
我学
//@QueenTayEra:停止//@午夜味美乃滋://@我床垫湿了:啊啊啊啊啊//@蘑法少女://@笨舞霉娘传奇://@TheLifeOfChristin_13://@大乐透爱吃coconut:妈妈//@iphify://@thelife
showgirl概念本身
it feels like a perfect pop album
全美第一播客我们来了！
想看无忧渡纯剧情版妖怪们出来的部分都太精彩了 ​​​
在逛商场，看到这张珉奎被帅得愣在原地姐每天被我拉着看17的团综，说没想到珉奎居然这么欲我说门面是这样的珉奎给ck拍的这组太帅了 ​​​
王小利的段子里说黄蓉为什么不自己学降龙十八掌，其实我看金庸也有类似的疑问，比如女的为什么不学辟邪剑法。 ​​​
you can't spell awesome without me
太丰富了，我这就去找姜河那的物料看//@Roleoomy:而且他夏天的时候不会把洗衣机里的衣服晾干。因为觉得反正出门了都会干，所以索性把湿的衣服穿身上出门溜达。
李秀妍你知道我有多恨你吗（握拳
这个角度
屎指相扣。。。嘻哈，我的梦想人格
雁林山上讲风声的部分，分析李冰冰的表演，说李宁玉在经过武田的审讯之后，整个人心理防线完全被摧垮，那种痛苦的状态一直延续到后来的所有场景中，再也没能恢复。我突然意识到，我的痛苦从高中开始那一天，可是高中毕业都已经十年了，还是恨得要死。那个觉得自己有希望、有某种未来的状态，再也回不 ​​​ ...展开
雁林山上有关色戒的解读很新的一个点，是胡兰成现实层面引入。邝裕民和易先生是一体两面这种解读很多了，但雁林山上说这个体就是胡兰成。恨死的部分写成邝裕民，活得虚伪死得窝囊，还要被王佳芝甩个冷眼；爱的部分就写王佳芝自己死了都还要爱。这种分析太妙了，有利于解开人的心魔。没办法接受一个混 ​​​ ...展开
雁林山上做的演员演技分析和导演解读系列特别精彩，我就这样从下午沉迷观看到现在。之前只是下意识觉得演员会演得烂，表情乱飞或者木木呆呆，现在知道了好多专业词汇，知道那些下意识觉得不太对的地方是演员的姿态、面部和身体的肌肉控制、表演的节奏、呼吸的停顿、眼神。很喜欢这种把模糊的东西界定 ​​​ ...展开
