三战结束
窗外在下雨 ​​​
khuntoria forever🥹❤️ ​​​
4599 ​​​
真的会有人因为喝不到酒就哭吗原来是我 ​​​
哎
豆泥
一定要幸福
我真崩溃了 ​​​
爽  ​​​
艳火 (Pyrojewel;)
//@时里雨:就是见
求也得排队
我的产品你们真的骗了我好久 我一直在哭
。
原来20岁是这样酸涩 痛苦 又幸福 ​​​
又通宵了 ​​​
论文论文写不出来 睡觉睡觉睡不着焦虑到想死 ​​​
宝宝
亲爱的xzl 我爱你 亲爱的 ​​​
//@开心快乐每一天smilesunshine:我真是敬佩这样一个正义勇敢的女性。
好喜欢过生日每年最期待生日 ​​​
看cekai延禧攻略解说不知天地为何物了傅璎看到明玉下线我真绷不住了 2025年了 我还在磕傅璎有没有救.. ​​​
莪一直在哭
//@吾是闲散人也:愿千千万万个房主任可以勇敢逃离
等湿透的心听雨声 ​​​
//@曇9_cloudnine:我们女人也关心俄乌，也关心伊以，只不过这种话题并不喜欢和关系一般聊不来的人谈罢了，更愿意和交心的人谈，而不会像村口大爷那样随意到处显摆，因为这种话题并不像电影明星美妆二次元这种话题那样轻松愉快，这是真正的现实中关于人的严肃话题。
我不行了
文学让我谦卑的看世界
当我开始听张悬的时候我就知道我又不好了。 ​​​
//@isD_li:我始终觉得 他只是走出了时间 而不是结束了生命
我以后人生：
//@小心熊比://@合金妖王刘成文:好厉害！//@24年不易我们很好:我记得他背着百度地图的设备（很大很重）走遍了理塘的小道，自己采集了家乡的地图数据。。。唉，当时只觉得很萌
又是艳阳天接武汉艳阳天 ​​​
便利店随意拿的打火机 好巧 ​​​
文学是现实生活的解药
//@松鼠牌榴莲牛奶ing:别说是刘静阿姨了…就是咏梅本人都是这样好的人
向前看别回头 ​​​
//@张怀民出来玩:朱媛媛去世后陶虹写的“无常拿走了的仿佛也是我生命的一部分”也给我留下了很深的印象。
把俗女1二刷了刚好今天看完亲爱的陈嘉玲我想对你说谢谢你 我爱你 ​​​
正在经历
严正声明//@展台手册:声明//@王太弱:声明//@Cassio小仙:声明//@噗叽咕咕咕:声明//@夏目家的小诗哥:声明//@石头断情绝爱版:我声明//@QueenTayEra://@Beehowyoung://@她的公主病://@软糯鼻史://@爱定思痛://@米妮喵喵喵屋://@桔梗花迷失湘北:我
我始终相信城市和人是有联结的。不，其实是城市和心的联结。我的十八岁的心留在了苏州、厦门、巴厘岛。我十九岁的心留在了大阪。那我二十岁的心呢。我不知道。也许在东边，也许在西边…也许在地球的另一边… ​​​
又想去巴厘岛躺了这辈子还有没有救 ​​​
复杂的情绪只会让我变沉默… ​​​
我现在状态：
我：
//@-唐唐小雅-:男的真的很喜欢假设一些“不得不”杀害女人的场景，哪怕是刘慈欣这样的大作家（男）也是。让我想到古代将军杀了自己美妾煮了给将士充饥，最可怕的是，从古至今的舆论都是赞扬将军大义
//@有效改善腋毛分叉:《men who hates women》，大陆也引进了，译成《隐秘的角落》
老公
折腰 你不要走 卡机嘛 ​​​
//@霜降柚子茶:牛麦杀死了比赛
//@jeaimelarisque:哈哈哈哈哈哈
//@一切皆为我赋能_发财:我一定忘本
好高级
我是车银优的狗
权威
//@吉尼儿斯:两个水果引爆了中美战争
//@花泽奈奶包:来看哪吒三首映了
//@Jurique88:“您不只是问「你还好吗？」，也不是说「不要理他们」，您告诉我：「姨妈半夜一个一个在检举那些人。」”，这里我真的泪崩😭😭😭
ppt还钱。 ​​​
好漂亮
爸爸妈妈
泽善党笑到最后
我靠 怎么又在改ppt啊你xzl ​​​
//@一个语言矮子:马丽老师就沈马组合发表重要讲话
这辈子能不能不再因为前担流眼泪 ​​​
//@李不言silent:一直没有围剿过她，希望她越来越好
//@企鹅批发八十稻羽分店:啊啊啊啊啊这个好厉害教得好有趣…！hapi也好萌啊哈哈哈哈哈
//@小智煎饼:别对别人的朋友圈占有欲太强 管好你自己
3199
点了
//@纯欲逃犯牛小莉://@0x007e://@苏坡蕾蒂://@用户956953://@苦炼括约肌夹断负心人://@LOVEDlCKgirlneverdie:媒体见死了//@枝钕釹籹nv://@让妳永远觉得安心:这标题是在？？？？？？疯了吗//@今天一点睡你://@终于等到这一天改名字了哈哈哈://@愿意嫁子期:最可怕的是列车员知道他们是爷孙之后就不管了， ...展开
“我拥有的都是侥幸啊，我失去的，都是人生”好切身的体会了这句话 突然明白工作不是目的 生活才是 ​​​
//@星星宝蛋:我们女生集体风流
//@ZRbes:保佑她 保佑熙娣
怎么又是周一//@aaableeququ:怎么又是周一
 ​​​
如果我能到听焦安溥唱歌不哭的年纪那我想我是真的长大了 换言之 我变得比现在更加坚韧勇敢又温柔了 ​​​
好喜欢下雨天 ​​​
你别管了//@插花大师:这条也截了//@月眠千葉山:别管我//@人可以老但不能胖:别管我//@小狗斯特:别管了我自有用处//@话多专家周树人:你别管了肯定能用到的//@我就是李清华:对不起啊//@豆你玩:我念旧//@一个生姜:感觉每张截图都很精品舍不得删//@Empty_404:坐高铁坐飞机没网了还睡不着的时候
偏头痛滚出地球 ​​​
看到一篇北大学生的小红书突然很感慨原来这个世界真的有人这么像洛枳🥲 ​​​
王安宇注定会是我的老公。 ​​​
想去意大利 ​​​
想去英国想去欧洲 想要看世界 想要很多很多钱想做完手头现有的事 想搬出去给自己煮饭把自己养的很好 想每天都有时间健身散步去图书馆学习想拥有自由的空间和时间想自己独立的变成很厉害的人我一定会做到的 ​​​
好饿 ​​​
Sakura生日快乐！
幸福！ ​​​
我不知道今天会是今天。一旦想到明天，明天就不再是明天。而今天就是今天。日子 (Fleeting Days;) ​​​
//@正山红眉:有的！ 我最近在给小鼠做肿瘤治疗，每个都要肿瘤给药。把打完的小鼠放下去的时候，其他小鼠会来舔他，摸摸贴贴这样，尽管有些是刚刚挨过针。
//@燃烧的雾港水手:通过嬷化来赞美男人，削弱男人身上的攻击性与有毒男子气概，我觉得是最应该警惕的。你认为这个男人像女人一样温柔细腻美丽，可这个男人实际生活中却是厌女的，这就在某种程度上默许美化了男人对女人造成的伤害。
这个全智贤怎么美成这样
什么时候戒 ​​​
想对世界说一句 我操你大坝 ​​​
好喜欢和朋友一起在街上当街溜子 ​​​
等
//@纯欲逃犯牛小莉:然后挨个被开盒//@苏坡蕾蒂://@豐饒海之子:我直接全部發表在微博//@郵差Philiptoafterlotus ://@音乐停下来我不离场 :我直接全部发表在微博//@PINEAPPLE之淚 :我直接全部发表在微博//@回笼觉教主nfs :我直接全部发表在微博
//@七七原来叫芦苇-:真的 被爱的时候最想说的还是谢谢。
//@费加罗夫人://@黄腿肠://@招来安抚tingrr:“希望你一切都好，希望所有俗套的祝福语都在你身上灵验，希望你万事如意、寿比南山，希望你春满乾坤福满门，希望你生日快乐。”
