我的一天：起床 咒骂 假装努力 摄入食物 毫无原因地犒劳自己 岁月静好 恨所有人 睡觉！ ​​​
祛魅
不想上班 想去伊犁
因为小时候没上过兴趣班，所以长大了没兴趣上班。#打工日记# ​​​
#泳者之心##鲁豫观影团#@鲁豫观影团 这是一部非常励志的电影🎬讲述了上个世纪二十年代一位普通的美国女性泳过英吉利海峡的故事。看似俗套，结局也一定是成功的，但是整部片子诚意满满，有笑有泪。整体的叙事有起伏，从一开始女主生病到战胜病魔，就奠定了她不服输的性格，再到她加入游泳协会，一路 ​​​ ...展开
周一周一 生活不易#周一# 打工人加油 ​​​
好事发生
周四打工加油！马上周末！ ​​​
每日学习！
今日打工感悟：明确你的人生主线 ​​​
