哇偶哇偶 明天舟舟的微博视频 ​​​
是个大工程 ​​​
好可爱想养 ​​​
水果大餐 ​​​
完美 ​​​
分享图片 ​​​
爬坡30分钟就为这一口 ​​​
美神降临
这个光盘能力哈哈哈哈哈哈哈哈 ​​​
我正在参与#我为学校赢莲子#活动 ​​​
?碰碰车过分了 ​​​
大早晨被外卖员语言霸凌我真服了 ​​​
电影院味黄油减半一点都不甜 好喝好喝 ​​​
碰碰车我是不会原谅你的 ​​​
#冒个泡# 老王哥好帅 终于找到个不显我颧骨的帽子了 ​​​
边爬坡边背单词才是真正的酷刑 这两件痛苦的事情在一起 ​​​
老天爷 强化课像线面一样繁殖 ​​​
已经忘了上午怎么疼的了 ​​​
俺真不中了 巨想拉💩拉不出来肚子疼的要命 大姨妈你第一次这么对我 ​​​
😍喜欢鼠了
开心说我晚上学习太辛苦了 要去给我拿牛奶喝 一打开冰箱门小萝卜罐子掉下来砸脚了 可怜的小孩一瘸一拐的给我送牛奶 ​​​
人性如下雪 各有各的隐晦和皎洁 ​​​
 ​​​
我胳膊上粗壮的拜拜肉什么时候才能瘦下去 ​​​
日照小狗这家店真的有小狗 吃粉一类的我就喜欢先吃配菜 然后再嗦粉 这样导致最后只剩粉看着不是很有食欲了 ​​​
感觉小时候吃千层吃伤了 我只喜欢吃中间芒果部分 ​​​
背单词对我来说真的是一大酷刑每天背单词感觉自己快鼠了 就算减少数量也还是痛苦 ​​​
一个小时力量➕20分钟有氧星期一增加到40分钟 我的歌单全是跑步听的超燃英文了 ​​​
好喝 去掉了椰子水的缺点增加了黄瓜的优点 ​​​
想点冰美式选成热的了我发现我好像不是咖啡过敏 之前喝了咖啡很困可能是剂量不够 今天喝了加浓美式就不困了 昨天1:30睡的 ​​​
我准备好了！
故地重游就像刻舟求剑 ​​​
爽爽爽爽！
#生活手记#小孩 ​​​
我姑姑说我头发塌塌的还中分太丑了 让我明天跟她一起去烫个颅顶我在日照剪头发三次只成功了半次风险太大了 ​​​
小开心抢到了周杰伦演唱会的门票 我和姑姑还有他三个人沉迷在激动人心的时刻我姑父一脸茫然说你们三个激动什么开心“我抢到票了！”我姑父还是不感兴趣哦了一声开心有点生气“你知道我抢到的谁的票吗？！”“周杰伦！你知道吗？！”其实小开心也不认识周杰伦 ​​​
哇 ​​​
好有食欲的西红柿鸡蛋 ​​​
早晨起来我姑姑送完孩子回来买的糁汤 说小开心这两天很喜欢吃老是要去店里吃我姑父：他就是想去看电视那个早餐店里天天放动画片 ​​​
20多岁了第一次自己去配眼镜 有点小紧张感觉我的散光度数应该涨了不少 ​​​
宿舍会议 ​​​
这个死快递📦搞得我快神经了以后着急用的东西再也不寄快递了 怎么也得塞行李箱里 ​​​
傻逼他咋啥都知道 ​​​
俺奶奶问我想吃啥 我说我想吃炒丝瓜“那我给你炸个鸡柳吧” ​​​
Zzh：你这个手机壳这么丑我：你猜多少钱Zzh：pdd 8块我：傻逼 知道这是什么壳吗Zzh：200？我：那是必然Zzh:告你妈 识相的快给我钱我：你去吧 你说了你妈也不信 ​​​
悄悄 是别离的笙箫 ​​​
变！ ​​​
我妈买了个新豆浆机并教给了我奶奶怎么用 然后我奶奶每天都换着花样榨豆浆每天早晨都早起捣鼓豆浆机 ​​​
点了瓶可乐因为想加点冰块所以要了个大杯子 然后服务员以为是酸梅汤 趁我不注意加满2次了 ​​​
终于候补到了 也是体验了一把直接从家到济南东的感觉 不用再坐那么久地铁了我也想9.9回学校 ​​​
分享图片 ​​​
好快 明天就回家了 ​​​
今天一天都不会吃饭了 ​​​
史迪仔～也是在红跑车报复性消费了感觉这个短袖越看越顺眼了 ​​​
我：今天有鱼皮哎 超级好吃张硕： ​​​
@张凌赫z 你的脸上都是小飞虫 ​​​
#杨颖好权威的一张脸#内🐟颜永一 ​​​
鼻鼻姐这张脸真是越看越爽！
杀死我的不是分手的那刻绝情 是我平静下来的某一瞬间突然想起我们有过美好的曾经 我将其称之为凌迟 ​​​
他怎么越来越奇怪了 ​​​
这个饼干长得像电蚊香片 ​​​
买了双重奶酪芝士贝果🥯明天的早饭如果起不来就是午饭了 ​​​
张凌赫超话 在济南今天晚上吃什么@张凌赫z  ​​​
#张凌赫颐莲喷雾节# @繁星虽美却不及你的万分之一 @泡芙卷卷小猫咪 @许愿糖果右转弯 好运连连
#张凌赫颐莲喷雾节# @许愿糖果右转弯 @泡芙卷卷小猫咪 @繁星虽美却不及你的万分之一 
给小猫猫买了小鱼饼干 ​​​
孤独的小孩 ​​​
俺不要毕业🎓 ​​​
分享图片 ​​​
诀别书 更多让我感觉到的是 在某一个轻松无事的午后 微风轻轻吹过 我突然意识到 原来他真的不在我身边了 ​​​
猜猜我有多爱你 我的手举的有多高我就有多爱你 ​​​
乌龙茶➕牛奶还是太猛了 ​​​
我还对他有过这么柔情的时候 ​​​
大三了 学习还是要配齐工具才有心情学习 ​​​
嘴被悦鲜活养刁了 在超市随便拿了一袋纯牛奶兑到东方树叶里感觉清汤寡水的小小地超什么时候能把悦鲜活上架 ​​​
学校致死量的毛毛 ​​​
死毛毛能不能滚出地球🌍扁桃体炎加鼻炎俺真不中了 ​​​
直接发截图了 好玩的事留个记号 ​​​
每天背单词压的我喘不过来气 ​​​
英语课的同桌真的是我可靠的追剧搭子 雁回时更新一集我俩就头脑风暴一次 ​​​
减肥减出来了巧克力瘾 ​​​
达美乐你别太过分 ​​​
明天……一定……要吃……葱油鸡太痛苦了 饿的想啃床 ​​​
分享图片 ​​​
好想再去一次南京感受夏天的梧桐大道 ​​​
