“人生优势，身心健康，充足睡眠 ，保持学习 ” ​​​
《年龄是一种感觉》没有任何年纪都需要意义而更为重要的是拥有了主动或被动的人生经历回望过去的年纪 且坚定说出“当年的自己其实哪儿都挺好的，很完美呀”这本书让我痛快的经历了一生（有了经验） ​​​
感觉今晚会很好睡明天开始居家阅读 电影 播客 电视剧 动漫… ​​​
古人度假要爬那么多楼梯的话体力可真好🌲  ​​​
西园寺 二进宫吃面🍜  ​​​
出行前 必失眠选手🙌 ​​​
思绪和现实随时落不了地 但快乐啊哪怕自嘲也是 《热水用完了，问题还没想明白》 ​​​
得到评价：反结构，反规则的精神贵族 ​​​
新书到家更新又悄悄看完了几本 《一个青年艺术家的肖像》《都柏林人》《岁月的泡沫》《热水用完了，问题还没想明白》《年龄是一种感觉》《太阳的阴影》 ​​​
2H30mins终于等来了 Its_already_yours的微博视频 ​​​
晚上聊天很容易一不小心就会走向深刻10年的朋友 也是从学生生涯一起走向社会虽然彼此国籍不同 性别不同可不免都遇到社会节奏一样的问题和疑惑看着周围的人都结婚生子而我们还在继续努力的寻找自己 对内心世界的贪婪虽然还没有答案 也没有方向 可能过程也是答案之一但我觉得我朋友说的对“虽迟 ​​​ ...展开
“我对知识都贪” ​​​
周日下午读完《激情》：两个人交织错落，即便有交点，如果人生就是尴尬，还是会回归到个人课题处理的方式，但如何回应感情的尴尬？激情只是一种方式，可两人分别回应感情尴尬之处，便是珍妮特这本小说回味最动人的地方了。 ​​​
每一个时代都又好又坏 ​​​
7年前的今天 溜达去Juan les pins 的图书馆 （南法永远不缺太阳） 真是有点感恩有记录习惯的自己 把那些快要忘记的缝隙 透过风 又再次吹向我
终于等来了《圆桌派》第八季 第一期学到的“让世界来迁就我就好了”“适当跟频率不同的人一起，会有更多碰撞”“时间快慢对人的影响，都有双面性”“信息流有好处，但需要节制” ​​​
希望每个平凡打工人把这句话反复强调“不如选个不存在的老板” ​​​
我有点想念住了几年的南法studio步行不到10分钟的图书馆不到5分钟的书店与大海 ​​​
一个小时的夜读 看完了一本口袋哲学《如何过好这短暂的一生》古罗马塞涅卡在意的 也是我现在在意的他们的时代 也是我们的时代内容太丰富了 看完意犹未尽我会放在随手能看到的地方 反复看我勾画和留下的笔记📝果然人还是在特定时刻会主动靠近哲学 ​​​
“结果里夹杂着太多短期的运气与随机性” ​​​
天亮了
理想国的新书到家了《为了活下去，我们给自己讲故事》很大 一点点重 也是放在待读TOP里😚 ​​​
阅读拖延？我也有的尤其是大部头经典文学作品 内容深 厚度大9月2号拆开了 拿起又放下无数次 还是没读完反而犹犹豫豫期间 读完了其他几本书周一发懵的时候 适合反思自己 ​​​
有些好久没联系的熟人和同学微信主动找我 都是同样的问候“你好几个月没发朋友圈了”“你最近在干什么啊，朋友圈也不更新了”而我：我的人生还真这么多观众，等我更新啊 ​​​
《寂寞的游戏》友人赠书一本，告诉我会很痛。看完后，我觉着我反而理解的不是痛苦而是一种自我视角，理解他作为极致敏人眼中的世界，他的文字很有直击人心的魅力（对于高敏人而言），像是流动的画面，能看到，闻到，摸到…可能🤔这就是极具天赋的通感写作。很喜欢这本（每一个短篇），他眼里的 ​​​ ...展开
这一周密集看了好多法国电影为《女学生和亨利先生》流了好多眼泪 任何一个拧巴人都有一个理由，但爱意永存。法国人拍电影总爱穿插一些人生哲理的思辨，就正如：在当下去做任何你喜欢且擅长的事（包括接受一些努力去做却不那么擅长的事，哪怕结果不好），漫长人生也不能只靠成功和失败来定义，不是 ​​​ ...展开
朋友的一句话：太清晰是掉进了模板里迷茫是因为人生可以走的路太多 ​​​
《在工厂梦不到工厂》确实很遗憾 日记般的工厂文学还不太是我的取向不过当中有些思考 直白却深刻 ​​​
直到这辈子到头那天 我都是文艺女观影 阅读 是我的一部分让我知道自己是有血有肉的一个人 担心 害怕 欣喜 颤抖 恐惧 偷乐 满足 享受 焦虑…都是我 有它们才是“完整的我” 当然不完整也是可以的在我这里飘零坠落也是被允许的 ​​​
这是必然
激素导致的困倦是女性最大的敌人 ​​​
Vraiment !
《想象的生活》阿尔维托·曼古埃尔 精准且笃定表达阅读与书籍带给他的一切一个跟我在同一个阅读世界却更会表达的智者 ​​​
祝自己永远有梦可做！ ​​​
很喜欢辛芷蕾写的这段话：不着急，是对时间的态度，不着急，尊重万事万物的自然规律；不害怕，是对结果的态度，不怕失败，没有方向才可怕；不要脸，是对别人评价的态度，任他人怎样闲言碎语，我自岿然不动。 ​​​
最近好书多 什么都想赶紧读  嗷嗷读！ ​​​
得允许所有的好坏想法存在 任何一种极端clicking都会跌入漩涡🌀 ​​​
这一周的运动状态和精气神感觉回到了刚上大学时的样子 ​​​
大晚上 我突然很想西园寺的这个菌菇素面  当然还有配备的辣椒油 有种四川的味道 看来我得找个朋友 和我再去一次面面奔赴
今年最近开心的一点不断在认识精神层面相互support的朋友 ​​​
Keira Knightley在这部电影里美的过分抛开电影故事本身 我真的好爱看欧美古典造型 ​​​
欢迎波伏瓦女士到家！bienvenue chez moi !期待很久了 上海译文出版社的《第二性》和《老年》终于等到简体中文版的《第二性》台湾版本的竖版和繁体字 确实挺为难我的而且邱瑞銮的译本 评价一直很高纯纯粹粹的细糠 ​​​
开始拜读陀翁的书新译本 无比期待 ​​​
等待想看的书到家 ​​​
《独生女儿》 瓜达卢佩·内特尔 第三本书🔚她通过三个女人各自链接的生活用更具落地气息的故事来讲述：生育自由 母职惩罚/代偿 父母责任 生命力 家庭影响 动物属性 女性议题 自我觉知 等等给我带来的震撼不必多说。只有读后才能体会其中的秒处。包裹着的不是是非黑白的观点，而是故事是如此发展， ​​​ ...展开
7年前记录回旋镖的重要性 结束巴黎实习 短暂回国休息 等待时间的项目 再次到来
舒适的夜读时刻 📖 ​​​
8月阅读的最后一本书已收尾《红鱼之姻》可我个人还是更喜欢作者的《真正的孤独》💧 ​​​
在8月底的雨里摇摆 ​​​
上海依旧是夏天吹空调看书不出门也快乐 ​​​
恰好 每个人都有自己的痛苦和病例 《痛，或我嘴巴的故事》 ​​​
还有那么多热爱值得欣慰 ​​​
洗完澡 躺回床上 看漫画的快乐 除了开心 缺点就是笑到肚子有点疼还有《女校之星3》什么时候出来啊？ ​​​
能读懂黑塞 可我又不想太懂他因为他的作品表达里 有跟我性格底色相似的地方 大多数人通过阅读他的作品 想要找到答案而他 而我 我们只想找到同类《在轮下》 ​​​
无论何种生活方式和环境不一样的是不同的生活态度任何人都是…《我们仨的好时节》PS：捕捉生活细节 确实是最大的财富 ​​​
抽不出精力来看书的这一周里感觉精神世界要枯竭健康真的很重要小小感冒给人干倒下 好在慢慢恢复了终于可以舒服的看书了 待读的书是救我命的“十全大补药”（感恩的心） ​​​
值得质疑任何历史观《刺猬与狐狸》 ​​​
谨记：来到这个世界就是成为你自己的 其他都没必要
上海的毒株太猛了 ​​​
最近依旧是看好多书 各种情绪波动过的好日子 ​​​
这段时间发现了钢笔速写的魅力尤其是用惯了小毛笔软笔之后 控力没掌握好  算毁了硬笔尖带给我的：管它呢  没轻没重随便来 ​​​
🐸 ​​​
我的钢笔也可以用来鬼画符了 ​​​
要相信白羊座搞抽象的能力 ​​​
越来越期待《退货儿童》剧情发展了，编剧才华的魅力才是演员表演的底气。韩国在社会议题中的敢言敢拍，是他们压抑社会的救赎和反抗：人性经不起试探，优绩主义的极端…像是开膛手打开禁锢住每个濒临死亡人最后的气口，向死而生。 ​​​
《秋蛙物语》结果不重要过程中的新感受 才是开始的收获 ✅为什么会有人用钢笔就可以画出这么治愈的小故事 ​​​
告诉朋友我周末准备要试试彩铅她让我不要设限我的内心是：我也拿不准自己可以鬼画符到什么程度 ​​​
“作为怪物 格格不入”《真正的孤独》可比谁都懂 但却不需要的孤独短篇里的每个故事 无一不古怪而又灵气 有细腻女作家的情感作为衬托擅长抓住日常过于醒目而忽略的事物来让人知道“真正的孤独”与“独特”夫妻与个体 植物园与盆栽 仙人掌与自我医院与病例 拍摄与特征 残缺与修复别墅与小屋  ​​​ ...展开
我…首先摇了摇头 ​​​
鲍曼“骂”的都对！一本书里面的各类话题，一下让我解开这近五年来的大部分疑惑和焦虑。《无法独处的现代人》今年心目中最值得的一本社科 ​​​
审美和创造力 不可再生也不可培养最低程度也是大部分靠天赋取胜 ​​​
静下来这件事 不是靠大脑来控制的而是身体会自主选择好多年的经验告诉我 身体静下来的时候 周末可以一天看好几本书 练练字 做做瑜伽轻松进入心流状态身体亢奋躁动的时候是干什么都不行的 还不如随意点 “浪费时间 什么也干不了” 其实需要这样的方式去过渡不是每一天都得干点什么 ​​​
又到了反复看宫崎骏动画的时候了 ​​​
特别欣赏女性保持某种泼辣，甚至是保留某种泼的能力。“泼辣”可以是褒义词，不讨喜，但足够有力。 ​​​
Part28月待读新书又到了 《仙症》《秘密花园》《我播种黄金》 ​​​
每天随便写点什么 就能和自己潜意识建立联系内在生命力会变强 渐渐的那条路也会出来 ​​​
读完第三本斋藤环的书《母女关系的精神分析》他作为男性学者和精神科医生可以很客观公正讨论女性议题，值得一看。 ​​​
跟所有的喜欢度过一下午 ​​​
画简单的画写很自然的文字享受本身是不必要擅长 ​​​
8月新书到家留念《母女关系的精神分析》 - 已读完《故园风雨后》《茶馆》《海格尔的存在与时间》《无法独处的现代人》 - 已读完《红鱼之姻》《真正的孤独》《独生女儿》 ​​​
社科类书的魅力在于：一本书中你不懂的词汇和表达偶然间 在下一本毫无关联的书里突然得到最好的解释 ​​​
第二本 卡夫卡日记📔《我喜欢相爱的人们》特别适合我每天随手翻个几页卡夫卡的自由精神状态 工作懈怠 八卦…看作家碎嘴日记 非常解闷感觉卡夫卡要是能上脱口秀毋庸置疑夺冠热门候选人 ​​​
上海让人平地有了高反感气压太低了 ​​​
