纪念孙老、纪念所有保卫祖国和文明的英雄//@英雄志作者孫曉:背影 查看图片
以孙老的水平和思域就算不写书当评论员或大V甚至...也绰绰有余了。这个愿景包含了罗斯福新政的革新、人类命运共同体的格局、“unifcation and peace”的希冀、兼顾各方悲悯民众的情怀，就是中美共兴、驴象合力、睡懂同心那有一点天绝“二圣同朝”的难绷但懂王是一个总能带来惊喜的人
大家知道为什么英雄志进度如此缓慢了吧
//@昭昭一只:欧洲想劝一起跪，但幸好有老孙的文章，东大看了后坚决出手 查看图片
不平则鸣拔剑相助，正是属于武侠之路
英雄志超话
又回来了 查看图片
哈哈没想到你小子真人最快
小学时玩的还津津有味，特别是神话资料说明很详细，算是我对西方古典三大神话体系（希腊、埃及、北欧）启蒙认识。已经入手了，这重述版模型都做成高清细致是一大亮点，另外听说第一个DLC便是中国神话，好奇怎么建构我们这么浩大繁杂的神系
还以为褒姒了，看来这个顶级乐子少不了了
黑神话官方超话#恭喜黑神话悟空超话粉丝破10万#明天必过熊熊 ​​​
支持一下
敢问路  在何方～
大圣在捉妖是吧
大圣在捉妖是吧
#黑神话悟空微博联动# 重走西游之路现已开启。参与@黑神话之悟空 福利抽奖，每日发博互动、参与超话可获得抽奖机会。天命人，微博等你！ ​​​
#黑神话悟空微博联动# 重走西游之路现已开启。参与@黑神话之悟空 福利抽奖，每日发博互动、参与超话可获得抽奖机会。天命人，微博等你！ ​​​
重温经典——2021年黑神话实机演示PV三界  四洲无所求  不可救长夜  今朝是非黑白  颠倒有情众生爱恨贪嗔生死交织人欲  便是天道——世尊说，众生之苦，多因不守戒律，放情纵欲，要我说，放屁！不杀生，仇恨永无止息不偷盗，强弱如我何异不邪淫，一切有情皆孽不妄语，梦幻泡影空虚 ​​​ ...展开
康康牢原你有没有大的
英雄志超话转载一篇孙晓老师讨论 #西游记# 的文章，通过对胡适定性的论战，阐述了他对西游记内涵的理解，个人感觉观点非常通透，并蕴涵着一些对历史政治深厚的认识，而且这篇也只是他对西游记论述的一个引子，简明精悍，感兴趣可以一看～孙晓：西游记是「游戏之作」吗2013-05-08 ​​​
白骨之后，重走西游——还有六天，重温一下梦开始的地方~ 昭昭一只的微博视频 ​​​
英雄志超话剧需要平台统一安排编排，就算制片方也是不确定，大家安心等吧、不必太患得患失，快的话可能哪天来了就是惊喜 ​​​
这优化远超预期了，还能再战 查看图片
//@游民星空:《黑神话：悟空》游民试玩：现在香槟派优势很大（《黑神话：悟空》游民试玩：现在香槟派优势很大）  《黑神话：悟空》游民试玩：三年间画的饼全吃到了（《黑神话：悟空》游民试玩：三年间画的饼全吃到了）
黑神话官方超话艾玛居然这就有泄露了，那些机构真不靠谱…还是像尤卡说的那样那样吃好喝好、看书睡觉、屏蔽剧透，好好备战、迎接天命 ​​​
 查看图片
黑神话官方超话阿弥陀佛么么哒 ​​​
奥运会也进入倒计时了，这段时间还是刺激过瘾的，我们大概还有十多个夺金点吧，期待
人太多了，啥人都能有粉。另外除了日本频繁买热搜撒钱外，捧他的可能是润人或精神润人那种，通过树立一个偶像消除自己内心的扭曲不安//@无心简影:1、我哪句话黑了他？2、全世界比他厉害的球品人品好的多了去了，凭啥他天天上热搜？3、开口“你们新看球的”已经成为饭圈标准用语，乒乓球是中国国民运动 ...展开
黑神话官方超话目前预告出现的变身已经有15种左右可变身的妖怪基本是小头目级别本体里面的怪物和能变身的只会更多加上可能是跨越地图的动物，如狐、犀、蝙蝠等再加上一些植物，如面对巨和尚变成的枯树大概率不少于三十六变，七十二变也不是梦就算三十多种也挺充足了，这种堆量也可见游科诚 ​​​ ...展开
国产里七彩虹将星系列还是不错的//@七彩虹笔记本官方:《黑神话悟空》最终预告片发布！期待了好几年的大作终于要来了！转发本条微博，抽一个惊喜小礼品庆祝一下！
钳龙啊
黑神话官方超话
黑神话官方超话#黑神话还有一部预告片#好好好 ​​​
黑神话官方超话#黑神话悟空# 这次预告表现的地图主要还是黄风岭、黑风山、小西天、紫云观……能分清游戏还是现实吗？ ​​​
人物做的也精细，动作看上去很流畅！ 查看图片
头把交椅靠大海，温酒稳坐钓鱼台//@-杨奇-:明明7分钟前还有200个文件上传。。
祈祷今晚东哥救你吧
国乒虽然风采依旧，但这次反映的问题真不少，特别是整体梯队建设和运营。另外对于年轻选手，一时挫折说不定是好事，未来终究是他们的，但前提是要先打破自己、突破迷幻，才能打破一切阻碍、成为新世代的GOAT//@PEACEMINUS·ONE:恭喜陈梦卫冕🏓女单冠军🥇孙颖莎也很棒 祝贺国乒包揽女单金银🇨🇳
巨吵//@Vickyzz29:真的非常膈应。明明两位都打得很好
试试
#樊振东vs张本智和#加油！ ​​​
原现在逆天运营+逆天营销+逆天剧情+逆天角色+逆天孝子，人设、服饰、建模、配乐、活动全方位越来越拉，大好开局自己作死
咱们看西方“表演”几十年了，对此类种种早就心如止水波澜不惊了，无非是见识下物种多样性和文明疯富度罢了，倒是某些群体果然迫不及待跳出来挑事……吃瓜的同时外网已经惊诧到索多玛再世了捏
奥运首金开门红
🇨🇳加油！
#特朗普遭遇枪击#不在枪声中永寂，便在血色中成王—— ​​​
你绝区零战斗打击感确实算亮点，但放在今时今日也没这么突出了，另外这种美式街头朋克风+日式二次元低幼建模、再加上一些没什么意思的日杂元素，确实兴趣不大…相比原崩少了史诗感和探险气息，似乎要往都市风和社区文化靠，但目前来看塑造也一般般，箱庭地图小镇感…… 查看图片
#国际禁毒日#
人文的西游记很经典，平装微信读书有，珍藏版有戴敦邦的插图值得收藏。另外中华书局的李天飞校注本也不错，注释很详细。
“天地英雄气，千秋尚凛然”写的就是刘备，这样的理想主义者在后世被黑成伪君子、厚黑，一个原因是功利浮躁社达的风气还有就是三国演义把他刻画得过犹不及，就像鲁迅说的“显刘备之长厚而似伪”。历史上的刘备是游侠、志士与英雄。
我在#森林驿站#帮助了雪豹，掉落一块拼图碎片，据说集齐有奖励呦。#熊猫守护者#们，快加入驿站一起玩吧！森林驿站 ​​​
整体感觉差不多，只是应该更多点严肃、更为抒情 ​​​
这道题权重给的是Fe功能，即外倾情感，也是同理心和关系协调的来源，它的对头一般是Fi（内心情感）和Te（客观规则）功能
我在#森林驿站#帮助了大象，获得了爱心和动物卡片。#熊猫守护者#们，快加入驿站一起玩吧！森林驿站 ​​​
#黑神话悟空预售开启#踏平坎坷成大道，斗罢艰险又出发🐒 ​​​
高考加油｜能不能早日见到金榜题名
期待
我在#森林驿站#帮助了大象，获得了爱心和动物卡片。#熊猫守护者#们，快加入驿站一起玩吧！森林驿站 ​​​
#人人公益节##熊猫守护者##和地球自拍#予人为乐，与己而乐。我在“熊猫守护者”项目捐款成功！@中国绿化基金会  ​​​
英雄志超话      摘选一段孙晓老师2013年在讲武堂的聊天记录，对方跟他讨论当时大陆与台湾的形势问题，他却以超乎一时的视野和气概写下了一段胸怀广阔的文字，满怀着对中国和中华民族的热忱与期待：“是的，我个人在大陆并不顺遂，事实上我到哪里都不顺遂，但这不会影响我对中国的感情，我绝不 ​ ​​​ ...展开
英雄志超话预告片是谁传出来的又拉期待了建议莫总严查，只要不查到你自己身上就狠狠地告虽然不长，但足以看出，构图很出色，好几个场面，比如卢云自缢圣光盈满那一幕、苍茫黄昏中侠影笃定那一瞬还有最后柳昂天观海云远柱立的构图，仿若画像一般渲出了浓重的氛围感不过剪辑出来的剧情 ​​​ ...展开
还在这顶风作案？前两句就是骂造谣者全家的意思，用女性代表全家还不够尊重？ 另外#台湾必将回归祖国怀抱# ，到时「台湾回归祖国」了，孙晓作为居住在台湾的人跟着一起「回祖国」有什么问题？ 查看图片
说孙晓独的真是贻笑大方，但凡了解过就知道他比简中部分人还正，造谣的有一个算一个⚡
英雄志超话祝各位朋友新春快乐、龙年大吉[送福]希望在新的一年里都能得偿所愿，比如武汉的天少些雷暴雨、国外轻型纸能顺利进口、印刷厂的重重守卫没这么严密、再也没有什么疾病流行以致影响，世界形势要好点以免影响某位作家的思绪……希望英雄志后续和电视剧能早日到来、红红火火吧[光崽舞龙] ​​​ ...展开
英雄志超话#英雄志# 神机乍现，亘北原，奔流梦海无边永乐开疆、隆庆倦，英武昂来霸先六道佛怜、魔炎怫怨，云雨当及远万里银汉，雄星几照人间！思接烟岛君前， 蓦然天命降，气血难凉——泪涌崩涟、仍仗剑，峥嵘尽作笔尖青龙醒渐，离焰覆新篇，壮事齐跹千载谁愿？酒映丹心同见 ​​​
快了
英雄志超话#英雄志# 孙晓：写给剧组（四）之英雄志的创作目的与一般描绘英雄的故事相同，英雄志的创作目的亦在表扬英雄、赞美英雄，然而英雄志在建立主角的英雄形象后，却又拆解了他们崇高的形貌，将之还原为人，甚至是贬低为罪人。这便是小说里尝试的「建构」与「解构」。 这里先介绍英雄志 ​​​ ...展开
英雄志超话#英雄志##杨肃观# 孙晓：写给剧组（三）之英雄志主要角色简介四、杨肃观——我建超世志、必至无上道        英雄志最隐讳的角色，就是杨肃观。他出场时年仅二十四岁，是主角当中最年轻的，他的家世惊人，父亲是景泰朝内阁大学士杨远，师父更是少林寺最有威望的神僧天绝，他七岁代父 ​​​ ...展开
英雄志超话#英雄志# 据我暂时已知人员的粗略统计英雄志电视剧剧组里太阳天蝎座占比最多居然在五分之一以上这或许预示着这部作品立意内涵上将有一定的时代超越性，虽不大，但会有因为天蝎是社会宫位的最后一环在此完成了人世与凡界的历劫和浴火重生此后便迈向了充满神性的宇宙之上在冥府 ​​​ ...展开
英雄志超话#英雄志##秦仲海# 孙晓：写给剧组（三）之英雄志主要角色简介三、秦仲海——他日若遂凌云志担心书透剧透的话可以看了原著再看以下内容三、秦仲海——他日若遂凌云志        如果我们把目光放到另一个世界里，跳脱出我们对某些唯心价值的歌颂，跳脱出我们所认定的正义公理，重新 ​​​ ...展开
英雄志超话#英雄志##伍定远# 孙晓：写给剧组（三）之英雄志主要角色简介二、伍定远——公门之中好修行担心书透剧透的话可以看了原著再看以下内容二、伍定远——公门之中好修行        英雄志第一个登场的男主角，就是伍定远。时为三十四岁。严格来说，卢云虽是纵贯全书的男主角，但伍定远 ​​​ ...展开
英雄志超话#英雄志##卢云# 孙晓：写给剧组（三）之英雄志主要角色简介一、卢云——乱世文章不值钱担心书透剧透的话可以看了原著再看以下内容一、卢云——乱世文章不值钱        从「乱世文章」到「英雄再会」，从店小二到纤夫，到书僮，到卖面郎，再走到状元知州，历经沧桑与繁华，最后又 ​​​ ...展开
