感觉快变成一个淡人了 对什么都提不起兴趣。 ​​​
分享图片 ​​​
有你就是幸福➕1 ​​​
结局是好的 今天还是开心的。 ​​​
幸福的时候希望时间慢一点。 ​​​
随后便是春暖花开。 ​​​
晚安安 好梦小崎 ​​​
今天脑子里只有一个旋律 『不敢打给你 我找不到原因』 ​​​
天天想你。 ​​​
开心点吧 尽管没有好新闻。 ​​​
慢 慢 来。 ​​​
爱的可能性让我们变成平稳的灰色。
我会一直陪着你 直到你可以全部地接受我。  ​​​
😴 ​​​
我的春天 快点来吧。 ​​​
吃饭店里的驻唱第一首唱的港岛妹妹 实在没绷住 草。 Pig_canfly的微博视频 ​​​
希望所有女性都能够得到尊重和获得平等的权利 节日快乐🎉
这种感觉真坏 ​​​
朋友问我为啥突然变开心了 我说他给我发了狗头 应该开心点了吧 希望一切都能好起来 慢一点也没关系。 ​​​
我就说有喜事发生 已开心 慢慢来吧 嘻嘻。 ​​​
还会有喜事发生吗。 ​​​
自责要短 但要长久铭记于心。 ​​​
小猪配崎。 ​​​
喜欢我的话 为什么总会忽略我的话。 ​​​
写一句情话，或者变成你外套里的棉花。 ​​​
想拥有一些钝感力。 ​​​
心情不好的时候才爱听歌。 ​​​
梦要和现实反着来。 ​​​
我要稳稳的幸福。稳稳的幸福 (电影《越来越好之村晚》主题曲;) ​​​
幸福的有点过头了 呜呜。 ​​​
从明天的事情到失落沙洲到言不由衷 ​​​
完全幸福了。 ​​​
在相爱很久后的今天 突然发现好像爱来爱去也就那样 我需要的爱是什么呢二十四小时全天候的陪伴 不是 我接受不了如此亲密的关系 但我也讨厌若即若离的感觉 我想要的是确定的爱 忠贞的爱 我也总是有在不被爱时走开的勇气 于我而言 爱不爱是瞬时的 不爱当然也是客观的 爱来爱去好像结果也就那样 所以 在 ​​​ ...展开
今天没生气 只是有点不开心。 ​​​
我是个很喜欢热闹的人 不知怎么回事 在特殊的节日里总显得落单 甚至有些开心不起来的孤独。 ​​​
特别安稳的感觉 很幸福。 ​​​
对于所有吵架不分手的情侣 还大骂对象的那种 建议锁死 别来祸害人 没人共情你 带着你那点破事和你一起埋了 滚 ​​​
蹲坑时听见楼下马路上估计是 喝多了的男人和崩溃的女人在争吵 感觉又让自己回到了那些失眠的夜晚🌃 ​​​
想回到过去 去年的这个时候我真的是个自由人。 ​​​
来惹 ​​​
准备好小板凳了
在最上头的瞬间清醒 ​​​
又是一个重复的夜晚 是这个月最后一个属于自己的夜晚 然后 立冬快乐。 ​​​
🍂 ​​​
燥候
我可以一直吃同样的饭 反复听同样的歌 我不喜欢新鲜感 我喜欢安稳的一切。 ​​​
我要完蛋了 ​​​
我要开始喝中药了 ​​​
撞吧撞吧 小爷8号考完回家过年去了
早早早 ​​​
无底洞
十月对我还不错 十一月请对我再好一点。 ​​​
优衣库的鸟鸟上天堂确实有点东西 ​​​
过12点 给他发完生日祝福就睡 嘿嘿。 ​​​
天呢 研究了半天星座… ​​​
暧昧总让人受尽委屈。 ​​​
美好的夜晚。 ​​​
讨厌明天的期待 我要的现在就要。 ​​​
天冷了 路边的狗都有对象了。 ​​​
#刘雨璠 只是没有被喜欢而已#请你一定要优先地爱自己。 ​​​
天呢 一个八百年不联系 且本身就不熟的人突然找我 以为被盗号了 就没回 结果又托人找我 这是在干啥 关键找我的时候 就问一个在吗 谁理你啊 神经… 有事不会说事吗？？？ ​​​
可爱鹅子。 ​​​
好听到发疯 这两天又循环上了。
悲秋。 ​​​
好喜欢😍
为了哄自己学习罢了 ​​​
讨厌被突然地打乱计划 今天忙了一天 累得到家后瘫在地上不想动也不想去洗澡 感觉玩了好久手机还不想睡 报复性玩手机了属于是 但是也很困了 晚安 ​​​
一天到晚看那个破公告 心脏都要跳出来了 ​​​
我亲爱的朋友 希望你们天天都开心。 ​​​
天天想你
#高雅cp终于约会了#彭高真的太真诚了 ​​​
图书馆劳保 还没看书呢眼睛就干的不行 ​​​
真的蛮牛逼的。
好深刻 好泪目 抱抱siri。 ​​​
顺丰特快 你真的是又贵又慢@顺丰官方客服 ​​​
#沈以诚清空动态#估计是和jmq吵架了。 ​​​
#沈以诚脱粉#老早就脱了 还是徐秉龙火的时候喜欢的 后面越来越抽象 两个人都。 ​​​
在每个焦虑感受到困难的时刻 我都会被幸福包围。 ​​​
我仍认为热辣逼逼机是我最爱的播客  嘻嘻 ​​​
好美。
感觉所有合家欢的剧情本质上都是一场悲剧。 ​​​
不是打粉。在写题目的间隙 打开云盘里lala的无眠 想起应该也是在差不多的季节遇到过一个很好的人 虽然结果也是分开了 但是给过我很多值得铭记的moment 他好像说这是他最喜欢的一张专辑 我便也循环了很久 近未来至今也一直是我的微信铃声 嗯 想到这去云村搜了一下 结果意外发现这张复刻的专辑💽 熟悉 ​​​ ...展开
喜欢！
#逐步延至男63女55或58周岁退休#我还有42年才能退休 然后我真的还能再过这么久吗 ​​​
#张家诚拍的蒋奇明#小声开麦 拍得没毛病 ​​​
每次发现一个有品的博主都想把他所有的同款扒一下 如果性格很好的话 就更加爱了一点 几个软件来回切换 了解完互联网上公开的已知信息 就到此为止了 就像我每次认识一个人时 都是从欣喜到无聊 在看完完整的他之后就想抛到一边 多和我讲一句话都嫌烦 只是喜欢爱上他的过程 以及暧昧的拉扯 保持距离 然后 ​​​ ...展开
图书馆里这群男的可以去卖yw 怎么大早上就开始臭臭的 脚汗味贼大 ​​​
『我之所以在这个舞台上说，不是因为浪漫或特别。是因为我长到现在，以我眼见的生活和信仰，告诉我一句话。这个世界，没有天生的好人，只有被约束的文明者。』 ​​​
我也要开始发疯发微博了 ​​​
接受
一段在我看来算是很亲密的关系正在慢性死亡。 ​​​
alin都唱跳了 徐la女士啥时候也跳一下 ​​​
再等等 ​​​
最近的生活 是压抑又很即墨的 ​​​
年上男
抽我
需要一些yin乱de生活来缓解一下我的压力 ​​​
#1 起的很早表扬自己一下 ​​​
力不从心de感觉好差劲 ​​​
好累 厌倦了现在的生活和自己 ​​​
