四本书 一轮终于结束…讨厌法案 ​​​
好累😔 终于能吃饭了 ​​​
背书背到哭为什么总是记不住啊烦死了 ​​​
豆包真神了 又能改题又能陪我背单词 ​​​
好讨厌翻译 明明单词基本都认识就是不能写成通顺的句子 ​​​
第一次学这么久…谁能想到咳得遭不住了还在写作文 ​​​
我们都要好好的过每一天 ​​​
非粉也很心痛
到底怎样才能把字写好啊越写越快 越写越乱气死了 ​​​
前几个月我还喜欢刷点腹肌之类的 最近真是一点兴趣都没有 ​​​
好爱柴荣老师 又一次全对据说17年的阅读都特简单 明天做后面的试试 ​​​
第一次做新题型 是我的错觉吗竟感觉有点简单 ​​​
天啦 和有娃的人沟通咋这么恼火（流汗小黄豆表情） 你的娃儿是金子啊 人家一宝的牙齿就是拉链那么可爱 ​​​
抖音访客你有毒吧 我明明关了为什么还是给我打开了这下好了 访问了一堆人呵呵呵 ​​​
终于背完了 终于能吃饭了 ​​​
2025年8.25 下午5点20分 我确认我终于做出了一篇全对的阅读理解其实后面一篇只对了两道题 ​​​
一到我的强项就很有自信 ​​​
好恼火 好想大吃特吃一顿…… ​​​
你的浏览，我的催吐剂 ​​​
好甜 像我一样 ​​​
越长大越不敢撒谎  错过了500元 ​​​
依旧背单词背到直接睡着咋会这么困 ​​​
即使这样也挤出了时间看短剧 ​​​
第一次刷题刷到崩溃真的好想哭 恨自己为什么做不来 幸好有豆包 清晰的解题思路 ​​​
昨天晚上背单词直接背到睡戳了  咋会这么困 ​​​
学到经济学我怀疑我没上过高中 ​​​
第一次做新完形 前五个全对哈哈哈哈哈本来还在拽瞌睡 一下就来精神了 ​​​
今年一定要耍朋友 ​​​
好累啊 ​​​
20道阅读，对了3道我去我真爱国 ​​​
怎么还不退毕业生的钱 成都东软 ​​​
我好讨厌英语…… ​​​
第一次学到这么晚 ​​​
气死我了😤死czy 冷暴力很好玩吗 ​​​
难耍的千户苗寨#西江千户苗寨#  ​​​
就这样毕业了#毕业# ​​​
室友宝宝送的毕业鲜花偷偷准备惊喜 ​​​
我补药毕业啊 ​​​
感谢姜姜 已经拿证啦@姜姜是个小叮当 #教资##教师资格证# ​​​
今天还没过半发生的事情就很乌龙1️⃣ 去领教师资格证坐车坐到半路想起来忘记带身份证了2️⃣ 给外地人指路坐公交让人家坐上了反方向的车（对不起 我也是差点坐反才意识到）3️⃣ 刚准备换乘 辅导员给我发消息让我去他办公室领取教师资格证哈哈哈 ​​​4️⃣ 两个月前买的胸贴今天准备拿出来用 粘 ​​​ ...展开
好累好烦😫 ​​​
#一条plog告别五月# ​​​
我正在参与2025#微博电影之夜#线上荣誉推荐活动，快来和我一起推荐张新成 ，为#微博网友年度瞩目影人#闪耀光影时刻助力！点击参与推荐&gt;&gt;&gt;2025微博电影之夜
厌学 ​​​
为什么又又又又梦到他了真烦人这次做梦还是没能梦到亲嘴 ​​​
中教史终于学完了 外教史争取20天内拿下 ​​​
以后真的不能吃晚饭了 吃了就不想动 ​​​
再也不想听见任何人叫我宝宝 叫宝宝一律拉黑 ​​​
刚试衣服往镜子前一站 我操好胖啊千万不能吃了一定要瘦下去刷了会抖音 等下一定要吃酱香饼死嘴别吃了好吗 ​​​
一想到他们说我都20多岁了还不懂事就好想哭 我不知道怎样才叫做懂事 在别人眼中我很幸福 我自己又感觉不到 ​​​
一点肥也不想减 好想吃饭好想吃烤肉火锅呜呜呜 ​​​
好崩溃明明对他也没有很多的意思 可是就是很难过 ​​​
图书馆的厕所是新型网吧 进去了就不想出去脚都蹲麻了 ​​​
真的讨厌所有不回消息的人 ​​​
晚睡的惩罚 听室友的性生活 ​​​
//@宫一萱已瘦36斤:五一要去贵阳旅游的  请收好我这份贵阳吃喝住旅游攻略
宿管阿姨弥补了没有人叫我宝宝的遗憾 她每周都是：宝贝 阳台有头发记得扫了哦 ​​​
烦死了 帮室友交资料来回跑几趟 还花钱帮她打印了 一句谢谢都没有 昨天帮一个同学交资料发钱请我喝奶茶又是说谢谢的 今天都还发了20给我（不过没收）不想说了没有对比就没有伤害 ​​​
我滴妈昨天室友打游戏打到四点过 我也很到一起四点才睡 今天八点过就醒了 跑去交资料 下午听课一直拽瞌睡 ​​​
数学逻辑解释英语 ​​​
我也是有病 坐在人家店门口等一杯咖啡 等了快半小时 ​​​
感觉胸口闷得很听歌越听越难受不晓得为森么 时间过的好快 明天就要答辩了 一定要过啊！！！！ ​​​
忘记自己来姨妈了 点了一杯冰吸生椰拿铁直接双重buff 痛的想死 ​​​
我讨厌你忽冷忽热态度… ​​​
Jatt大王叫我小宝 我真受不了啊 ​​​
孔孟荀 你们仨 我真的不想说什么 ​​​
学了一天 第一次有了恶心想呕吐的感觉 ​​​
我讨厌突然闯进我生活的人然后又突然离开 ​​​
我一定会遇到更好的人对吗 ​​​
我滴妈啊小姐姐你有毒吧 看看你在说些什么活该你谈不到恋爱为什么我要脑子一抽问人家是不是约我打游戏有病啊真是的 ​​​
熊血旺是有毒吧 吃了之后我ku'ku喝水给我干死了 ​​​
该死的烧烤 肚子痛了一天 叫了一天 还拉了一天 ​​​
一顿烧烤的威力太猛了 本来都要下125了 直接飚了两斤 ​​​
分享图片 ​​​
好希望自己有过目不忘的超能力 ​​​
其实你可以直接拒绝我的……… ​​​
永远学不会主动 永远等着被爱 ​​​
差点以为又遇上了… ​​​
怪不得越长大越不想跟父母交流 实在是没法交流  ​​​
哎 心头好不舒服 ​​​
已经加上后男友的微信了 ​​​
天塌了 室友拉了个“网友”开黑 我俩疯狂对队友输出开麦甚至还骂了有颜色的话打完后问网友是哪的人 见他支支吾吾 室友：你还不好意思说自己家是哪里的啊我：你该不会是咱们学校的吧网友：啊 对直接给我们整沉默🤐 ​​​
气得我睡不着 打个游戏遇到两个神金饼掉分 b站也不退我钱简直就是人工智障@哔哩哔哩大会员 退钱 ​​​
该死的 又在下雨 最讨厌下雨了 ​​​
小红书你他妈是不是有病啊 老子发个求内衣分享的帖子 你说老子低俗让人引发联想？？？ ​​​
为什么过了快十天才发出来
#一条plog告别二月#2025年只打了几场麻将 一共输了500多了 今天想买点护肤品算下来也刚好五百多 刚好失去了护肤品的能力求求自己能不能别去贪玩麻将了打得又菜瘾又大 还没能力赚钱 ​​​
该死 又熬夜了 明明说好了十一点过睡 ​​​
今天有两件很开心的事情1:好朋友结婚了 我真的喜欢看别人结婚 会为别人的幸福而感动 希望她在以后能够一直幸福下去 永远被爱包围2:大学的好友考研初试过线50多分  真的好为她感到开心  看到她说的一番话 我又想起了每天一起吃饭的时光 谢谢你 我的饭搭子 ​​​
该死的毕设 能不能爬远些 ​​​
留个位置  ​​​
听到来财来财就恼火 怎么会有这么傻逼的歌 不晓得咋个火起来的  这个歌手的每一首和老子听了都想吐 ​​​
老子真的天塌了 ​​​
最近好火的一句歌词：请容许我小小的骄傲，因为有你的依靠。  第一次听到以为是形容友情 没想到是爱情 但是形容友情也好贴切 ​​​
分享图片 ​​​
前几年好像特别想谈恋爱 而且也会频繁的接触不同的人 现在反而好像越来越害怕接触别人 ​​​
病了三天 还没好…到底要怎样现在又长了两个溃疡 ​​​
没有乐趣的新年 ​​​
跟他联机打游戏内心：哇塞哇塞 主动打电话现实：死手你快按啊 咋跳不上去求求别嫌我菜该死的人类一败涂地 太难操作了 ​​​
#小年##身边的年味# ​​​
