马上就可以放假了^ ^ ​​​
化工专业情侣必做25件事1.一起去看《高等数学》2.一起去看《线性代数》3.一起去看《大学物理》4.一起去看《无机及分析化学》5.一起去做无机及分析化学实验6.一起去看《有机化学》7.一起去做有机化学实验8.一起去看《Python程序设计基础》9.一起去做工程训练10.一起去看《物理化学》11.一起 ​​​ ...展开
分享新鲜事 ​​​
🎐高一之后提问箱就渐渐被我搁在了回忆的角落 昨天一时兴起把它分享到朋友圈里 本意是想和那些追星认识的的小女孩们聊聊天沉浸式掏粪一下 但却意外收获了许多温柔的问候 谢谢你们这样肯定我、祝福我 你们又何尝不是特别美好的人 是这些话语 静静落进心里 给了我更多往前走的力量 ​​​
@用户7992088897  ​​​
太好了 每次看到新进展我都会很幸福 ​​​
分享图片 ​​​
分享图片 ​​​
原谅自己比做到完美更需要勇气 眼泪和坚持一样伟大 ​​​
根系在暗处悄然缠绕 枝叶却在风中刻意疏离在光与影的交界处 用芒刺守护着内心深处不肯熄灭的、对另一株植物的隐秘惊叹 ​​​
写给一个女孩的一段话：我们的根系早已深扎进彼此生命的岩层。你是我荒原里不期而遇的月光花田，是人海中最精准的归航坐标，是值得用一生珍藏的天才女友。 ​​​
此生最痛恨的，莫过于那些从幽暗角落编织污秽谣言的手。它们无需凭据，一经抛掷，便能在无数猎奇的舌尖上疯长、变形，成为他人消遣的玩物。纵使真相如明镜般清晰，竭力的辩白也常被淹没在喧嚣的浪潮里，徒留无力回天的窒息。这岂止是造谣？分明是几次三番、摁头围剿的下作霸凌，其行径之卑劣，令人齿冷 ​​​ ...展开
我会为你放弃一切 ​​​
全职高手超话 我成功集齐了&quot;为全职国家队世邀助力&quot;的全套小卡！快来看看我的卡册吧~点击网页链接一起集卡~ ​​​
Night
收到你写给我的短笺 就像收到了一颗心中的流星 ​​​
再次看到这条微博还是想转发 也没有发生什么 但很赞同
穿越人海 只为与你相拥 世间美好与你环环相扣
不定时的宝宝洗澡记 ​​​
我们就听这个了
最近闲下来很无聊又因为减肥还没有成功一直很焦虑 总想去做做义工帮助一些更需要帮助的人 比如福利院呀敬老院呀 想自己去做去看去感受一些以前从未接触过的 刚刚研究了半天终于研究明白了注册了身份 以后希望能做一些更力所能及的事情 ​​​
一只萌狐儿
也是最近 ​​​
亲爱的看到你一步一个脚印走到了米兰我的内心真的思绪万千 Prada给你的文案前缀是“如期而至” 而几年前的玩笑话到今天终于也如期而至 不过属于你的时代才刚刚拉开帷幕 以队长的身份在这次时装周完成你的首秀只是一个开始 以后的路我们会越走越远 今天你出色的表现是给我最好的生日礼物 辛苦了志鑫 无 ​​​ ...展开
高考前夕，在我万分紧张和迷茫的时候，小渠在一个只属于我们的小角落偷偷的写下“她那么可爱又努力，像一座开满鲜花的山拥抱着生命呼啸而来的风，我实在是希望她的路能够更好走一点，希望她现在的愿望都实现，让她有机会自己选择走哪一条路。”想到这里我不再感觉孤独害怕，谢谢你们让我更有力 ​​​ ...展开
我这个人开始对你产生意义了吗 厚蛋烧的外置大脑的微博视频 ​​​
我每天吃的太健康了 ​​​
我想我欧尼了
我要感谢一些女孩@这辈子想当个美女- @遗失叻一只猫@泡泡鱼丸吃小鱼干  @心肝多又多 ​​​
如果世上有人愿意给我真心 我希望是克罗心 ​​​
The Cure
📑 ​​​
我坚定的相信了//@仁啊仁_:@厚蛋烧的外置大脑 是你！
同手同脚
我想说一些话 想和一些人翻脸 想不再对讨厌的人和颜悦色 但我做不到 很多人很多事上我都做不到 ​​​
一天的疲惫都消失了
分享图片 ​​​
：
MeYouMeYou 厚蛋烧的外置大脑的微博视频 ​​​
妈妈我爱您…小小的我和妈妈的唯一一张合影…&gt;_&lt;… ​​​
谁能给我做dy上特别漂亮的一个英国留学生的那个白马王子汤 我看的食欲大开了 ​​​
你们在家都不穿校服外套吗 我初中穿小学的 高中穿初中的 现在穿高中的 我觉得校服外套是全世界最舒服的。 厚蛋烧的外置大脑的微博视频 ​​​
高考还有 30 天 - 目标日: 2025-6-7 星期六 #倒数日 ​​​
我是真的觉得和有的人相处下来觉得你人品有问题 和有的人相处下来觉得道不同不相为谋 那我们只能默默的分开了 抱歉 ​​​
#曹政奭百想影帝#我叔实至名归的 ​​​
我有一种预感 我二模能考的特别好 ​​​
化学课离二中特别近 于是我去二中对面买了一桶巨水… ​​​
我想要给你一百个棉花糖的拥抱…
博主今天午睡前在抖音上发现了一个很萌的特效。 厚蛋烧的外置大脑的微博视频 ​​​
暖暖
"@厚蛋烧的外置大脑   翻开它, 拿走一个简单的答案和暗示  预言链接-&gt; 网页链接 第112/320页 ​​​"
课间翻相册中…按时间顺序排列，就这么一点点长大了。 ​​​
