不要害怕自己的努力被浪费转而放弃努力选择颓废。 ​​​
小时候真的希望没有寒暑假，可以一直上学。因为只有在学校的日子比较轻松，也想赶紧上完学好出社会工作。 ​​​
今天路上的车格外得多羡慕过年过节有自己的家可以回的人 ​​​
又要回一个不是我的家的家了~ ​​​
❤️【人怎么可以争气成这样】22给给他抽嘴硬的签25年他成了嘴硬的签 ​​​
❤️室友搬新家了，很羡慕，希望有一天我们也能搬进我们自己的新家 ​​​
【吃货骆老师】每次自己出去觅食的时候都不敢轻易尝试新品因为怕吃不饱因为不好吃的话我是真的吃不下去和骆老师一起出去的话我们就会点一份我本来就喜欢的再点一份我们想尝试的新品因为如果不喜欢吃的话可以给骆老师吃骆老师真的是不挑食的昨天我们买了点油炸的南瓜条我问他吃不吃他说不吃 ​​​ ...展开
【雪饼】又想到雪饼了不过今天去超市没有买今天买了其他的零食我想雪饼以后不再是我的必买品了记得小时候别人来告知吃酒席的消息时一般都会送点吃的，雪饼很常见有次爸妈不在家我拿到雪饼那一刻就好想吃于是就没经过爸妈的同意就打开包装吃了妈妈回家后我就被打了一顿说我怎么那么嘴馋那个 ​​​ ...展开
❤️💙都是白衣服，好喜欢 ​​​
❤️【我们真的不要小孩了好不好】29号晚上我们出去玩的路上车上骆老师突然跟我说其实他很抑郁了他说别看他一天笑嘻嘻的其实是实在没辙了我说你说真的吗因为和他在一起那么多年感觉他都挺开心的心态很好似乎不管遇到什么事都能看得开所以我可羡慕他了很想成为他他说是真的都这个年纪了一事 ​​​ ...展开
以后再也不要和别人合租了 ​​​
【包场看电影的体验】骆老师说我们去看电影吧我说要不我们就在家里看吧他说：电影院有人陪着看有氛围在家估计我们看不完一部完整的电影就是电影院人多你那笑声得收敛点（上次一起看哪吒二说全影院就我笑声最大）9点过几分才到电影院只能线下买了选座位时问还有哪些座位可选前台说这场电影才 ​​​ ...展开
谁说撒娇的女人最好命？男人撒起娇来更要命好吗？骆老师只要一撒娇，我就买，要么就干家务，骆老师没少捞到便宜。 ​​​
梓渝超话 我在梓渝超话收集了10张卡，来看看我的卡册吧～点击网页链接一起集卡～❤️终于集齐了 ​​​
"我用#不背单词#搞定了176个单词,每天坚持一点点，单词没在怕的→_→（来自@不背单词App）网页链接 ❤️失眠的时候记记单词吧，记着记着就困得不行了 ​​​"
又是晚睡的一天，最近睡得都很晚，其实我也想早点睡的。又回到了当初写论文焦头烂额的时候。所以最终也会和论文一样成功吧。 ​​​
很好听哟
确实可爱
很好看啊
梓渝超话 我在梓渝超话收集了9张卡，来看看我的卡册吧～点击网页链接一起集卡～还差第二张 ​​​
#我的超话卡册#谁能换第二张呀 ​​​
#我的超话卡册#还差第二张 ​​​
梓渝超话 集卡互助ing~送你一张“#HBDTo梓渝#”R卡“23岁限定小渝卡”~速速来抢，手慢无！点击领取网页链接 ​​​
梓渝超话 集卡互助ing~送你一张“#HBDTo梓渝#”R卡“23岁限定小渝卡”~速速来抢，手慢无！点击领取网页链接 ​​​
梓渝超话 我在梓渝超话“#HBDTo梓渝#”活动中成功抽到了SR卡“23岁限定小渝卡”，快来一起收集卡片吧 网页链接 ​​​
❤️【月饼🥮】今天骆老师吃月饼咬了一大口然后边嚼边嗯~做享受样正当我想让他给我尝一口看是什么味道时他说全部给我我就知道他其实觉得不好吃要不然我最多只能从他那分到一半而不是全部被我拆穿了后我们相视大笑他赶紧找补说是豆沙馅的（是我喜欢但他不喜欢的口味）然后那个豆沙馅的月饼自 ​​​ ...展开
梓渝超话 谁有第二张呀，能送我一张嘛 ​​​
#我的超话卡册#谁能给我一张梓渝的生日小卡第二张 ​​​
#我的超话卡册#谁懂，第二张抽了好久还没抽到 ​​​
田栩宁超话 睡不着来看看 ​​​
骆老师今天起床了后就出去钓鱼了，然后下午五点多就回老家了，回老家也不跟我说，我晚上十点半左右给他打电话问他为什么还不回来才知道他回老家了。问他为什么不跟我说一声，他说他以为他说了。气得我不想跟他说话。刚刚凌晨一点半左右问我是不是还没睡，我没回他。其实想他想得要死。但是不能让他知道 ​​​ ...展开
我时不时也会想，如果她都可以，为什么不是我。我觉得我也可以陪你，照顾你的。不过又想了想，好像我一直都是被你照顾的那一方，所以你找了个能照顾你的。那天从她的口中听到的你和我认识的你很不一样，我就更加确认了这一点。这样也好。朋友能长久，爱情不一定。这句话我好像也跟你说过。想想其实那时 ​​​ ...展开
梓渝超话 集卡互助ing~送你一张“#HBDTo梓渝#”SR卡“23岁限定小渝卡”~速速来抢，手慢无！点击领取网页链接 ​​​
梓渝超话 集卡互助ing~送你一张“#HBDTo梓渝#”R卡“23岁限定小渝卡”~速速来抢，手慢无！点击领取网页链接 ​​​
梓渝超话 集卡互助ing~送你一张“#HBDTo梓渝#”R卡“23岁限定小渝卡”~速速来抢，手慢无！点击领取网页链接 ​​​
#我的超话卡册#抽到呀 ​​​
#我的超话卡册#一定可以的 ​​​
#我的超话卡册#强迫症 ​​​
#我的超话卡册#再来一张吧 ​​​
听你的，专注自身，越来越好
#我的超话卡册#梓渝的还差一张 ​​​
时不时地就会想，要是人不需要吃饭和睡觉也能活得好好的，那该有多好，少了很多麻烦事。 ​​​
无数次我觉得自己的人生就要完蛋了后来发现只要自己还活着人生就不会真的完蛋一定会柳暗花明绝处逢生但这种花明和逢生不是我的环境突然改变了而是我对很多事情想通了人生不会走进死胡同但情绪会 ​​​
有时候要学会和各种各样的人在一起学学他们的阴险，看看他们的城府如果时间宽裕的话不妨再品品他们的演技 ​​​
后来，代替你陪着我的，是被你改变的那部分我。 ​​​
邓布利多 你说的对 爱是这个世界上最伟大的魔法 ​​​
我们无法判断某个瞬间的价值，直到它变成回忆。 ​​​
❤️💙【他其实是女字旁的她】睡不着冷不丁又回想起一些往事多少有些遗憾和悲伤故事是关于他和她的她是我的一个发小小学时最好的朋友形影不离的那种他是我发小的大学同学放假时他经常来她家玩于是我们经常一起去河里游泳冲浪她说他是她在学校最好的朋友她说他对她很好比如在学校时她的脏 ​​​ ...展开
梓渝超话 集卡互助ing~送你一张“#HBDTo梓渝#”R卡“23岁限定小渝卡”~速速来抢，手慢无！点击领取网页链接 ​​​
梓渝超话 集卡互助ing~送你一张“#HBDTo梓渝#”SR卡“23岁限定小渝卡”~速速来抢，手慢无！点击领取网页链接 ​​​
梓渝超话 集卡互助ing~送你一张“#HBDTo梓渝#”SR卡“23岁限定小渝卡”~速速来抢，手慢无！点击领取网页链接 ​​​
梓渝超话 集卡互助ing~送你一张“#HBDTo梓渝#”SR卡“23岁限定小渝卡”~速速来抢，手慢无！点击领取网页链接 ​​​
梓渝超话 集卡互助ing~送你一张“#HBDTo梓渝#”SR卡“23岁限定小渝卡”~速速来抢，手慢无！点击领取网页链接 ​​​
梓渝超话 集卡互助ing~送你一张“#HBDTo梓渝#”R卡“23岁限定小渝卡”~速速来抢，手慢无！点击领取网页链接 ​​​
梓渝超话 集卡互助ing~送你一张“#HBDTo梓渝#”R卡“23岁限定小渝卡”~速速来抢，手慢无！点击领取网页链接 ​​​
梓渝超话 集卡互助ing~送你一张“#HBDTo梓渝#”R卡“23岁限定小渝卡”~速速来抢，手慢无！点击领取网页链接 ​​​
梓渝超话 集卡互助ing~送你一张“#HBDTo梓渝#”R卡“23岁限定小渝卡”~速速来抢，手慢无！点击领取网页链接 ​​​
啊啊啊啊啊，看看老爸在线啦觉得今天超级好运，小卡集齐了呢 ​​​
田栩宁超话 我在田栩宁超话收集了10张卡，来看看我的卡册吧～点击网页链接一起集卡～ ​​​
田栩宁超话 我成功集齐了&quot;未完待栩·生日抽卡&quot;的全套小卡！快来看看我的卡册吧~点击网页链接一起集卡~❤️终于集齐了，好开心 ​​​
田栩宁超话 集卡互助ing~送你一张“未完待栩·生日抽卡”SR卡“未完待栩”~速速来抢，手慢无！点击领取网页链接 ​​​
喜欢
田栩宁超话 集卡互助ing~送你一张“未完待栩·生日抽卡”SR卡“未完待栩”~速速来抢，手慢无！点击领取网页链接 ​​​
田栩宁超话 集卡互助ing~送你一张“未完待栩·生日抽卡”SR卡“未完待栩”~速速来抢，手慢无！点击领取网页链接 ​​​
田栩宁超话 集卡互助ing~送你一张“未完待栩·生日抽卡”SR卡“未完待栩”~速速来抢，手慢无！点击领取网页链接 ​​​
田栩宁超话 集卡互助ing~送你一张“未完待栩·生日抽卡”SR卡“未完待栩”~速速来抢，手慢无！点击领取网页链接 ​​​
田栩宁超话 集卡互助ing~送你一张“未完待栩·生日抽卡”SR卡“未完待栩”~速速来抢，手慢无！点击领取网页链接 ​​​
田栩宁超话 集卡互助ing~送你一张“未完待栩·生日抽卡”SR卡“未完待栩”~速速来抢，手慢无！点击领取网页链接 ​​​
#我的超话卡册#希望集齐呀 ​​​
田栩宁超话 集卡互助ing~送你一张“未完待栩·生日抽卡”SR卡“未完待栩”~速速来抢，手慢无！点击领取网页链接 ​​​
分享单曲 同手同脚 (@网易云音乐) ❤️谁懂，听到你在直播时用钢琴谈了这首歌的前奏 ​​​
梓渝超话 集卡互助ing~送你一张“#HBDTo梓渝#”R卡“23岁限定小渝卡”~速速来抢，手慢无！点击领取网页链接 ​​​
梓渝超话 集卡互助ing~送你一张“#HBDTo梓渝#”R卡“23岁限定小渝卡”~速速来抢，手慢无！点击领取网页链接 ​​​
梓渝超话 集卡互助ing~送你一张“#HBDTo梓渝#”SR卡“23岁限定小渝卡”~速速来抢，手慢无！点击领取网页链接 ​​​
田栩宁超话#田栩宁0919生日快乐##田栩宁熠岁廿八祈望星愿#希望田栩宁老师天天开心，生日快乐。 ​​​
田栩宁超话 集卡互助ing~送你一张“未完待栩·生日抽卡”SR卡“未完待栩”~速速来抢，手慢无！点击领取网页链接 ​​​
田栩宁超话 我在田栩宁超话“未完待栩·生日抽卡”活动中成功抽到了SR卡“未完待栩”，快来一起收集卡片吧 网页链接 ​​​
#我的超话卡册#好想集齐呀 ​​​
#我的超话卡册#还差三个集齐 ​​​
❤️没想到你真的发歌了，以为开演唱会你只是说说而已，没想到你已经在行动了，好好听，声音很温柔，歌词很有故事，不断循环中~
田栩宁超话 集卡互助ing~送你一张“未完待栩·生日抽卡”SR卡“未完待栩”~速速来抢，手慢无！点击领取网页链接 ​​​
田栩宁超话 我在田栩宁超话“未完待栩·生日抽卡”活动中成功抽到了SR卡“未完待栩”，快来一起收集卡片吧 网页链接 ​​​
我在田栩宁超话抽到了SSR卡“未完待栩”，快来试试你的手气如何！网页链接 ​​​
❤️会买一些需要的，又是自己喜欢的人代言的 ​​​
❤️看着这一对一对的，幸福多了🌹 ​​​
❤️顶峰相见的具象。（最近没看你们的比赛，但是看到你们的冠军合照还是忍不住保存了下来，希望你们越来越好，我也加油，争取洛杉矶去看你们） ​​​
田栩宁超话我成为田栩宁超话超FUN啦 发帖纪念一下~ ​​​
梓渝超话我成为梓渝超话超FUN啦 发帖纪念一下~ ​​​
❤️【回老家】骆老师：跟我回老家我给你100块钱我：1000的话可以考虑一下骆老师：你实在是有点贪得无厌了于是骆老师一个人回老家了然后大晚上的不睡觉来试探我睡了没我现在也有点后悔没跟他一起回老家了他也有点后悔回老家了的感觉还是两个人在一起有意思可以在被窝里一起蛐蛐别人 ​​​
谁懂，这么晚了，想睡又舍不得睡的感觉~ ​​​
❤️我家骆老师现在试探人有没有睡觉的方法越来越出人不意了…… ​​​
❤️觉得很好看，忍不住又买了一个火锅砚台。现在感觉自己收藏品最多的就是笔墨纸砚了。 ​​​
❤️祝贺大头 @王楚钦___ 夺冠，大头真棒👍。 真好，你们又一次顶峰相见了。
❤️祝贺莎莎 @孙颖莎 夺冠，莎莎真棒👍
大雾四起，我在无人处爱你。大雾散去，我爱你人尽皆知。 ​​​
“深耕自己，才是最好的破圈”《人民日报》里说：“当你找到一个热爱的领域并深耕下去，你会发现，随着知识和经验的积累，你的不可替代性会越来越强，人生的道路也会越走越宽。”·把一件事做到及致胜过把一万件事做的平庸·深耕自己，才是最好的破圈 ​​​
"我用#不背单词#搞定了37个单词,每天坚持一点点，单词没在怕的→_→（来自@不背单词App）网页链接 ​​​"
希望你在另一个世界幸福 ​​​
❤️雷朋请平安健康幸福 ​​​
还是要多出去走走，要不然怎么能有钱途呢 ​​​
