有没有组队8.10从成都出发去香港看GD的演唱会#香港演唱会##权志龙香港演唱会#权志龙超话 ​​​
BLACKPINK超话 花了3598买了2张1499的票，会被骗嘛已经给了定金了，好怕被骗 ​​​
BLACKPINK超话 快冲
好爱
#jisoo#kimjisoo超话#jisoo新歌# 可以听啦 好好听 我的jisoo 真的太棒啦 ​​​
想要就真的有 事事有回应 ​​​
上课的时候充满激情完成 哈哈哈 ​​​
