其实缺的从来不是酒钱而是能一起喝酒的人。 ​​​
Repost
完结了？好的我沉睡前快速过一遍
每次看神夏切片都会瞬间又爱上伦敦 ​​​
好吧
Repost
不会给任何人看我手机也没有看任何人手机的欲望……
谁允许你们在楼里练钢琴的卧槽了 ​​​
Repost
原句显然很有道理但是评论一堆理解不了的笑死我了//@秋山不慕远:原句是把对同性的爱当成嫉妒，把对异性的嫉妒当成爱，改成啥了牛头不对马嘴的
好羡慕那种已经明确知道自己想做什么的人（research or industry wise）问我更喜欢做别人已经研究出来的东西还是更喜欢做别人从来没做过的东西我根本不知道，我只想知道哪个更赚钱 ​​​
除了工作以外的地方我讨厌这种，如果是工作学习那么我瞬间来劲了
好希望十年后的我穿越回来给现在的我一点暗示… ​​​
笑死我了
真的没有人投诉她吗
全世界最垃圾的administration ​​​
三年至今每一天都在说please could you veuillez pouvez vous svp ，法语的话tu是平语vous敬语，我只用敬语称呼。
我以前就巨喜欢看他切菜现在切得更娴熟了。。
感冒扁桃体发炎失去了喝酒的自由 ​​​
深夜突然好怀念小时候。 ​​​
终于有人说到点上了。看这段想起曾经现生中很多碎片。
保一世荣华富贵 ​​​
许我耀眼比安娜好看多了。。。后者太压抑了我一直不是很喜欢。 ​​​
第六集真的很爽。。许妍成为我最喜欢的老露角色 ​​​
许妍讲了这么多她姐就一句你爱他吗我真的服了……没见过这么蠢的
人生不过就几个重要节点开始之后的那两句我说过无数遍
虽然现在很流行大女主但其实真正有野心的女人屈指可数。。。大部分都是自己以为自己有事业心，而且事业心也并不代表野心。。只能说野心包括了事业心。所以很多人都无法理解非常有野心的女人（比如许妍）会问出“为什么要这么努力这么争取有用吗”这种愚蠢的问题，只能说燕雀安知鸿鹄之志，但你却看不到 ​​​ ...展开
我真的太理解许妍了因为我完全就是这种人，尤其是第五集和姥姥说京州太远了然后打开冰箱发现桂花酱然后回头看外面的时候我的天，一瞬间无数flashback，眼泪立刻下来 ​​​
老天我太喜欢许妍了最喜欢的人设类型 所有价值观人生观我都完全认同 ​​​
能不能少点乔琳的剧情，只想看许妍 ​​​
这群女生真的知道191有多高吗。。。BG有必要这么高？我感觉只有BL并且是古耽幻耽这么高还符合逻辑
Repost
agree
//@-泪像柏林一場雾:无差挂嘴边的话听一次吐一次
为什么不能是tu me dis quand t’as envie et je te dis si je suis dispo? 我的人生就是许妍，呵呵 ​​​
很奇妙地磕到了男女主 ​​​
许妍：好的 ​​​
受不了了好想看女主扇除了她以外所有人 ​​​
我太喜欢这种女生一个人不惜用一切手段往上拼的人设剧情了，这是我从出生起就最喜欢看的剧情gossip girl以前我也超爱jenny ​​​
老露真的特别适合这种“全世界都与我为敌但是我一个小白食人花在暴风雨中逆转狂澜”的人设 ​​​
这条微博用来存喝过的红酒，誓要喝遍法国所有红酒。
新目标，喝遍法国（先超市其他的再说）所有红酒（一个如此省钱的癖好） ​​​
冥冥之中一切终于恢复正轨的感觉终于度过了兵荒马乱的前两周
感觉我终于恢复了对学习的热爱 ​​​
啊啊啊啊
那必须是friends
公主……
可以伪造男大气质（不是）总感觉苹果手表很适合男大
书中自有排骨肉🥩
其实狠狠用了你才会发现原来这个世界上的东西都很抗用。。当年苹果8p玻璃机我前六年都没有戴手机壳，摔在地上三四次几乎毫发无损，终于第六次碎了然后直接买新手机了……
 ​​​
我不行了//@Pistachio_18:legend//@奶酪吐司加豆蔻:but意料之外最好笑的是 查看图片
//@艿头铂启的泉力:111年龄差最显著的一回//@不怕冷十级选手:哼哼唧唧这么萌一只大猫呢🥺🥺🥰🥰//@Basshien: 查看图片 //@IJUSTDONTCAR:破锣嗓子撒娇
哦真的受不了我们学校教务处了 ​​​
不过话说回来最完美的病娇年下疯批反而应该是慕声那样的（所以作者很牛逼）喜欢那种表面无辜明媚还茶茶的但实际上内心病娇如果表面已经很病娇了内心就应该是超级正派善良反差感才是最萌的 ​​​
Repost
怎么听出engine manufacturer的
我落落落起的一周 ​​​
我不行了为什么我遇到的每一个🇲🇦的男生都超级无敌好一次两次三次我已经有滤镜了。。。这个国家盛产好男人吗 ​​​
我的人生就这样上一秒下一秒极限反转，这个世界上没有人能受的了我 ​​​
我的天这个教授和这门课完美到四个小时时间过得飞快毫无体感就像四十分钟我又找回了学习的乐趣
我自己都受不了自己了卧槽我刚刚上完了开学以来最完美的一节课遇到了最喜欢的教授，啊啊啊千万别给我换课我给教务处跪下了，就让我昨晚那封邮件消失在邮箱里吧 ​​​
金发碧眼185男人//@狂喜之诗666:什么叫赛级白人？赛亚人的赛？德意志正黑旗什么鬼
这辈子最讨厌看普通男的自称alpha
谁发明的这个连上四个小时十五分钟课的课表？（btw连上指的是坐在同一个教室同一个课不动地方）我的天我本科最长纪录是四个小时，这都能超越 ​​​
好了我已经调整好心态了，呵呵 ​​​
无解 ​​​
好喜欢太阳的后裔虽然重温这么多遍但每次看都很难出来。这次重温完感觉爱的迫降根本和这部无法相比（虽然男主演员我更喜欢后者但剧里人设前者秒杀了）至于剧情那更不用说，爆杀的程度。一般每次看完太后我都会连着重温爱迫，但这次感觉爱迫后期剧情其实真的很无聊，太后相反完全从第一集精彩到第 ​​​ ...展开
Repost
笑死//@Pistachio_18:烦死了//@一百万绵羊攻击:花钱买了年卡不得不来健身房好想哭的我 查看2张图片
朋友抽的电子烟完全没有任何味道，我再也不说我现实中不喜欢看人抽烟了，前提是没有味道➕电子烟。。。 ​​​
之前最喜欢的一直是Once Again这次重温第一次爱上这首，主要是E15结局这首响起的时候太完美了……
这首也太好听了我天😭 ​​​
//@__Alhazar__:甲骨文维斯塔潘F1车队
对抗路情侣在这里//@Collapsarouroboros:Max：有时候我们会对彼此过于严格，但这就是我想要的，他需要能在我是个混蛋的时候告诉我，我也应该能在他是的时候告诉他
Repost
电视剧男主死亡的范本就是太阳的后裔。。毕竟观众都知道男主一定会活，那么怎么拍怎么演怎么写才能让观众在知道这个未来会发生的事的基础上还能感动得稀里哗啦，就是所谓的灾难片心理。以前经济好的时候大家为什么喜欢看灾难片，就是喜欢这种看主角悲痛欲绝但又置死地而后生带来的多巴胺分泌。。导演和 ​​​ ...展开
啊啊啊
听红昭愿又想起老丁和大理寺少卿游了，虽然去年年末关注老丁的时间很短但不得不说那段时间每天都超快乐，感谢老丁演古偶，只想问下一部古偶什么时候上。。 ​​​
祈祷我换课成功🙏 ​​​
🆘 ​​​
可能像RB一样触底反弹，我的生活终于好一点了呵呵 ​​​
好喜欢牛皮真的太帅了……GP也很萌 ​​​
心机潘
Repost
这合理吗今天才周二，而且这居然是开学第二周的周二，而不是毕业前最后一周的周二 ​​​
Repost
感觉我已经抑郁到前所未有的境界了，看到这种级别的帅哥我的快乐都无法维持超过五分钟，现在已经没了 ​​​
我的天长得这么好看就算了为什么我遇到这种级别的帅哥都同时具备衣品这么牛我的天我要死了我刚才还感觉我要死了现在依旧感觉我要死了但完全不是一种死 ​​​
我真服了卧槽长成这样坐地铁？？？？？我靠我以为我穿越到了秀场卧槽
我就这样，本来坐在地铁上哭，抬头看到对面站了一个帅到我全身上下水流成河的帅哥然后我在两秒之内破涕为笑喜笑颜开了 ​​​
这个网怎么能破成这样，独自活在2G时代是吧 ​​​
和女的讲话好累真的，和男的讲话就没那么累，我的天承认这个事实很难吗 ​​​
不行了三年这个比喻太恰当了
只可意会不可言传 ​​​
懒得再弄一杯咖啡了但是这一杯美式根本无法解决早八 ​​​
真的无语了为什么早上的时间过得这么快，刚才还是6:54怎么现在就7:09 ​​​
这段太会写了吗的攻控看爽了……真的只有资深攻控才能懂。没有一个字浪费。 ​​​
RB证明当人生触底的时候可能下一秒就反弹了……
祈祷//@爱吃枣子的兔子_ff:这情商 这领导能力 红牛铁定OK啊未来几年
