人变的太快 我不明白 或许一开始从未真正拥有 ​​​
#方大同去世#不敢相信 ​​​
为什么总是莫名其妙地想流眼泪 ​​​
真的要减肥了胖到110➕了。。。。附一张最近拍的一张照片 ​​​
很严重的容貌焦虑……为什么眼睛不能再大点为什么不能再瘦点为什么皮肤不能再白一点为什么嘴角是向下的…… ​​​
