请问您是什么藏图的神仙吗？
快看看这是哪里的大手办！好可爱呀！
机械战甲，帅气无敌
粉他就对了
老大演技杀疯了
谢谢摩饭姐妹的物料！老大歌喉杀疯了
老大造型杀疯了
老大造型杀疯了
如此善良的主包！让我们这些看不到演唱会的外地人感激不尽🥹
摩登兄弟超话 在她大段大段说些废话的时候，建议先学会做人。 建议劣迹艺人滚出娱乐圈，我只想在我力所能及的范围内保护老大。 ​​​
#九万字 (Live版)# 我的评分：#微博音乐影响力榜##张靓颖摩登兄弟刘宇宁九万字 (Live版) 面对老大对你扭腰卖萌，谁能说出一个不字呢！老大！你值得一切美好 ​​​
#书卷一梦# 我的评分：刚刚刷完折腰这种权谋剧，剧情画面和优质剧情都是满分💯，所以刚开始看这一部会觉得穿越这种剧情有点单薄，哪知道越看越上头，20集以后会让我反省到底是应该像女主角一样在开始奋力试图反抗但是后期着实无力反抗的情况下只能顺应命运的安排而接 ​​​ ...展开
激动的心颤抖的手 
来pick你最喜欢的角色！ 来pick你最喜欢的角色！魏劭 我的点评：#超会评开分#演技细腻，极致表情管理 ​​​
