爱唉哎
不爱和学姐打交道 但你例外 ​​​
后来才知道 这样伤心又开心的心情 原来是是想你 ​​​
语言早就通货膨胀了 宝宝只是在吗朋友的意思 ​​​
到底什么时候才能勇敢说我喜欢你 ​​​
恰恰相反 我每天都在想你 ​​​
每天都是：睡觉 起床 上课 水课 吃饭 晕碳 休息 上课 结束 ​​​
下午睡午觉的时候做梦梦到又去了一次苏州 坐在路边小店里吃苏式汤面🍜这是苏州旅行结束至今 梦到的第二次了 希望有机会再去一次～（汤面还没吃完被准备上课嘈杂声闹醒咯） ​​​
“爱从不曾保留 才勇敢了我” ​​​
她说我以后要是要做自媒体 很适合这种（plog）我知道如果开个新号的话会很好引流 但其实晚日图发的作品从来不是吸引流量的 更多的供将来的自己来回忆的 它也陪伴了我7年 ​​​
周五🧩 ​​​
💭·❤️‍🩹 ​​​
在一堆人不理解的目光下坚持自己的选择 ​​​
“在你的身后 计算的步伐 每个背影 每个场景” ​​​
我要做幸福的创造者我要做幸福的亲历者 ​​​
那就以后养英短和柯基 ​​​
这短发可太棒了每次睡醒就像唤醒了一只沉睡的雄狮🦁 ​​​
慢慢学着成为不带着情绪过夜的人 ​​​
会特意解释干嘛去了的人 还挺可爱的 ​​​
如果喜欢你造成你的负担 那还是不要喜欢好了 ​​​
“祝福你 真的可以睡得好” ​​​
算了 有算了的道理 ​​​
幸福🥰🤲 ​​​
永不分开的秘诀 就是永远不在一起 ​​​
想和表盘上的人关联一起 连同我的脉搏 ​​​
不知道如何爱你试图听懂你朋友圈发的歌是我唯一能做的 ​​​
“我觉得你俩有点腻歪了”“像小情侣一样天天互相送东西” ​​​
未来遇到爱的人  邀ta同我一起看我最爱的《恋恋笔记本》 放着喜欢的歌 在蓝调时刻一起听R&amp;B相拥  养一只小猫&amp;小狗 雨天赖床不起  或者干脆什么也不干只是发呆 有时间就去看喜欢的人的演唱会 闲暇时一起旅行 一起过慢节奏生活 还有还有 永远不会忘记见面时带上一束花. ​​​
“只要 那幸福在心底 哪怕我一人演戏” ​​​
“OK绷 遮住痛 要把苍白都填充” ​​​
乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的 乖乖的  ​​​ ...展开
如果命苦是种天赋😇 ​​​
这生物钟指定是有点说法的 ​​​
从此 《花海》刻上了与她有关的记忆锚点 ​​​
突然想起来今天去T的宿舍门口给她送奶茶 开门的时候还转移视线 留我在回宿舍的路上疑惑 ​​​
藏匿心事 足够安全地度过有她在的四季 ​​​
总后悔没勇气说许多话比如：晚上熬夜会胡思乱想吗除了打游戏还会做什么不开心的话可以和我说你会害怕打雷的声音吗今天的雨下得真的好大有你在感到真的很幸福 ​​​
拒绝动物表演❌ ​​​
雷雨夜 为自己点一首《Time Machine》 ​​​
哎哟喂 能不能只喜欢我一个人哇 ​​​
世界上最可怕的事情——咖啡因免疫 ​​​
慢慢把喜欢耗光 ​​​
我爱你 你可以是任何天气 ​​​
人和人的缘分 不是一场不出门就能避开的雨 ​​​
每个人都有自己独享的时间 ​​​
“你为什么对每个人都一样好”“没有吧” ​​​
㊙️ ​​​
从前 我是个很没耐心的人 ​​​
不要迎合别人 你就做你自己 好吗 ​​​
爱让生活得以忍受 ​​​
看见你 心里在放烟花 ​​​
幸福 ​​​
3.24陶喆福州站开票 ​​​
终于上王者了 ​​​
🦋 ​​​
能不能别逼弱智读书.jpg ​ ​​​
春天是精神疾病的高发期 ​​​
每次刚泛起动容的痕迹 又一下子被现实抽离 ​​​
幸福的话 忘记什么都可以 ​​​
倘若你遇到了真正的爱 那就永远幸福. ​​​
活在缘分里 而非关系里 ​​​
她说她很讨厌“厚此薄彼”这个词 ​​​
要慢慢开始戒🚬 ​​​
有心者无条件 无心者图新鲜. ​​​
好想看陶喆演唱会 ​​​
“如果我是男的我要和你谈恋爱”“那我下辈子喜欢女孩子 我要追你” ​​​
🎨 ​​​
算了 好可爱. ​​​
天气晴 情绪回南. ​​​
“暗恋一点都不痛苦” ​​​
“你好 一杯春天 去冰加花” ​​​
★.· ​​​
擦去你眼角的泪. ​​​
她好像超人一样无所不能 她一定很累吧 ​​​
「2024年11月9日 爱」嗯 喜欢.「2025年 3月9日 唉」嗯 不说. ​​​
“一张照片 半句再见 尘封的纪念” ​​​
