相信自我姐
说的对啊
元气早餐超话#元气早餐##今日早餐，三明治🥪 ​​​
财家班，我来啦
好感动
#羊气-阳阳的红包#哇！好运来袭！我抽中了@羊气-阳阳 的现金红包，你也快来试试手气吧，比比谁抢得多！ ​​​
买到一个很喜欢的冰桶#生活手记#不可辜负的美食超话 ​​​
学起来
#生活手记#穿搭超话 找到一家古风手作店，今天穿的旗袍和背景很搭～ ​​​
三伏天马上就要结束了养花超话#生活手记# ​​​
只有一个人敢于破除偏执，承认世界的混沌和无序，才能欣赏人类有缺憾的美，才能欣赏那个即使有缺憾，但也值得自我肯定，值得拥有心灵幸福的自己。
#生活手记#不可辜负的美食超话 晚餐，烤排骨～ ​​​
有鲜花，心情美～#生活手记# ​​​
秋天的第一杯奶茶🥤，云一下#秋天第一杯奶茶##日常分享##生活手记# ​​​
超用用的北京游攻略#在微博过暑假# #亲子大玩家#
孩子学习最大障碍——情绪和杂念 学习的本质，从来不是知识的堆砌或技巧的比拼，而是一场与自己的战争。
#生活手记#财宝宝超话 早～ ​​​
烤羊排，用烤箱出品太适合夏天了 ​​​
喜欢糕妈，独立清醒智慧女
说得好对
旅行一网打尽
假期看起来
如果一个人真的溺爱自己的孩子，是应该让他千锤百炼锻炼出来，而不是把他守护在身后一直保护他，你能保护一时，你保护不了一世。最后要与现实对抗的，一定是这个人自己的真本事。
天津张爱玲旧居太好拍了，适合文艺女青年～#生活手记#财宝宝超话天津超话#张爱玲##天津旅行# ​​​
#生活手记#雨天💦，喝一杯养生茶～ ​​​
周末快乐#生活手记#财宝宝超话 ​​​
不错
不可辜负的美食超话#生活手记#早～ ​​​
一家人吃一顿，开心🥳#美食时刻##生活手记# ​​​
买了了两年，最满意的是鹿王那场的白色裤子，面料超好，穿着舒适不显胖
腊八节——愿好运“粥”而复始，诸事“粥”全～ ​​​
晚餐～ ​​​
分享图片 ​​​
周末，番茄🍅牛肉锅 ​​​
喜欢💕
周末，番茄🍅牛肉锅 ​​​
喜欢💕
每一个都喜欢
#生活手记#纯肉小笼包，美味😋 ​​​
午餐超话每日一餐分享超话#生活手记#今日午餐，牛肉饭～🍆饭～ ​​​
大一新生准备清单～
👏👏👏
//@中考高考冲刺墙:“高中数学再难，无非就这26页” ​​​
#相信、信任# 孩子过几天要去环省游，十天十四个城市，她很期待很兴奋，自己下单了出行必备物品，一次性浴巾毛巾坐便套、洗发水浴液分装袋，列了出行必备清单，又细心又全面。昨天已经开始打包行李。昨晚又在完成领队老师布置的任务，每一项都很认真。我在看她做着一系列的事情，感慨孩子太需要家长相 ​​​ ...展开
#陪一颗心长大##送孩子进校门的那一刻，我是佩服孩子的勇气和坚定的。高中生的学习是辛苦的，压力是巨大的，人际关系是微妙的，睡眠是不足的，考试是繁多的。我开始理解孩子的难，设身处地的，不是以往口头的关心与开解。陪一颗心长大，我们都在学习做最好的自己。我们约定以后要么闭嘴要么就讲好话 ​​​ ...展开
可以解锁各种小爱好
松弛感
入伏吃饺子🥟，肉三鲜～角瓜鸡蛋～🍀晚餐超话#每日一餐分享# ​​​
人生箴言，努力做到
#边界、分离、自我成长# 上高中的女儿提出要买一部属于自己的手机，她以前都是用ipad，因为苹果的联动功能，手机和ipad 信息是一体的，她除了用自己的微信号，其他用的APP都是和我共享的。她提出要和我分开，要有自己的空间，我很高兴，孩子在自我成长，我们在不断分离，越来越有边界，她在逐渐成为她 ​​​ ...展开
有道理
看起来不错
早～🍀 ​​​
节日快乐 ​​​
新春快乐
幸运女神
洗地机
两头都回，离得近
假期开始 ​​​
加入书单
