粉粉的，很安心
无脑🦐，人人喊打
祝祖国生日快乐！
我爱我的祖国！愿山河锦绣，国泰民安！#新中国成立76周年# //@成毅:#新中国成立76周年#  我爱我的祖国！惟愿山河锦绣、国泰民安！
每天开心哦，淇淇～@成毅 #两京十五日# ​​​
宝宝哥，可爱的过分了
生日快乐！🇨🇳
优秀作品#赴山海#，优秀演员#成毅# ，值得大家共同守护
永远记得奋起反抗的勇气和不怕从头再来的决心。江湖路远，侠义永存，@成毅 我们一直在路上。哥哥，下个角色见
温暖的祖孙情，祝曹奶奶健康长寿
二哥，剧里恨你恨的牙都快咬碎了谢谢你喜欢我哥支持我哥@成毅 ，是你们每个人在赴山海的努力付出，才让我们看到这么一部优秀的长剧作品。谢谢你
君临天下李沉舟，寂寞如雪红颜恨。再见了，帮主。再见了，我的秋水。@成毅 江湖路远，下一个角色见！#成毅赴山海##赴山海##成毅萧秋水李沉舟肖明明##cy# ​​​
君临天下李沉舟，人生寂寞红颜恨
跟随@成毅 的讲述，重温这些烽火画卷。铭记历史，吾辈自强！
铭记历史，吾辈自强！//@成毅:#这些画每一笔都是刺向敌人的利刃# 很荣幸用旁白传递这些画作背后的力量，那些在纸上挥毫的，不仅是线条，更是刺穿黑暗的刀锋与守护山河的信仰。重温这些#烽火画卷#，铭记历史，吾辈自强。
早安，淇淇@成毅 正在研读#两京十五日# 拍摄一切顺利～ ​​​
秋水
哥，你这喝水的声音
@围脖侠  @娱乐生态观察站  @微博管理员  @微博安全中心@中央网信办举报中心 @来去之间
放任此等行为不管，这个⭕️还有救吗？
为哥哥骄傲，为我的同担们骄傲！
热爱一个人，而不让他孤立，引来他人的记恨，也是一种爱。看哭了，崔老师
恭喜#成毅赴山海# #赴山海# #成毅萧秋水李沉舟肖明明# #cy# 
别刀了，已经麻了
恳请平台方 @腾讯视频 @爱奇艺 能够关注观众的反馈，协助推动剧集优化，助力《赴山海》以更完整的版本与观众见面。
去杜甫草堂顺道走到了浣花溪公园，没成想这竟是浣花剑派的来源。还记得当时在公园石头上坐了好久，心静的很。
哥哥继续发光，iejj是你坚强的后盾
早安，淇淇@成毅 两京拍摄一切顺利 ​​​
萌萌哒的宝宝哥，萌而不自知
#成毅萧秋水李沉舟肖明明# #成毅赴山海# #cy# #赴山海#
#成毅萧秋水李沉舟肖明明# #成毅赴山海# #cy# #赴山海# 
#成毅萧秋水李沉舟肖明明# #成毅赴山海# #cy# 
#成毅萧秋水李沉舟肖明明# #成毅赴山海# #cy# 
#成毅萧秋水李沉舟肖明明# #赴山海# #cy# #成毅赴山海# 
期待与富贵儿早日见面//@成毅:#狐妖小红娘王权篇剑心不悔预告# 不惧不悔，剑心不灭。王权富贵，终于找到属于自己的“道”了。#狐妖小红娘王权篇#
想花花了啊我的帮主啊
我哥一人拖航母，幸好iejj给力
秋水
开机大吉
ee，开机大吉
#赴山海# 这个结局刀麻了#成毅赴山海##成毅萧秋水李沉舟肖明明##cy# 哥，下个角色见@成毅 祝#两京十五日# 开机大吉！ ​​​
#赴山海# 我的评分：结局让人意难平，无论是秋水，沉舟还是明明。所谓侠之大者，为国为民，你们仰无愧于天，行无愧于义。这不仅仅是一个武侠故事，更是一场关于侠义，责任和牺牲的深刻解读。再见了，秋水。再见了，帮主。再见了，明明。 ​​​
眼睛哭肿了，我的帮主和帮主夫人
编剧的心比二哥还狠
每个角色都好爱
舍不得，秋水
赴山海打戏封神，成毅，谢谢你
赴山海打戏封神
期待富贵儿
成毅超话#超星动告白信箱#有期待才会有相见，你继续发光，我努力跟上 ​​​
为你骄傲，哥//@成毅:感谢@新华社 的采访。江湖路远，不断尝试、不设框架，希望能在表演中找到更多新角色。#赴山海#
优秀的演员优秀的作品，让我们一起维护
不惧不悔，剑心不灭！期待王权富贵//@成毅:#狐妖小红娘王权篇剑心不悔预告# 不惧不悔，剑心不灭。王权富贵，终于找到属于自己的“道”了。#狐妖小红娘王权篇#
江湖路远，来日方长，期待哥哥解锁更多新角色//@成毅:感谢@新华社 的采访。江湖路远，不断尝试、不设框架，希望能在表演中找到更多新角色。#赴山海#
俺不中了，帮主
都是你的模样
#成毅赴山海#早安，淇淇@成毅 ，期待今日#成毅狐妖小红娘王权篇# 物料，一起追剧#赴山海##成毅萧秋水李沉舟肖明明##cy# ​​​
成毅眼神戏，打戏和微表情都非常棒！
支持崔老师！
成毅超话#成毅赴山海#早安～@成毅 #赴山海##cy##成毅萧秋水李沉舟肖明明# ​​​
就是这么宠
赴红尘-成毅 赴红尘-成毅我的点评：#成毅歌曲赴红尘##巅峰潮流榜超会评#成毅超话非常棒的一首歌曲，让我们一起逍遥红尘里吧 ​​​
沧海一声笑-成毅 沧海一声笑-成毅我的点评：#成毅歌曲沧海一声笑##巅峰潮流榜超会评#成毅超话最喜欢的一个版本，成毅的声音让我看到了上世纪经典武侠的再现 ​​​
不简单
崔老师，感谢您发声支持#赴山海# ，在这样的时刻，我们需要更多像您这样坚守职业操守，不忘初心的媒体人。
希望清朗行动落实到实处！
与成毅@成毅 穿着伯希和一起奔赴自然#成毅伯希和全球品牌代言人# #冲锋衣选伯希和# 
成毅老师这是跟e人过不去了
手伸不进屏幕的无力感，懂？太欺负我家秋水了
成毅塑造的每个角色都太立体了，不止打戏行云流水，表演在各个方面完全没有短板，表演细节处理的非常细腻。现实中帅气真诚极富人格魅力，俺不中了，这个坑我是出不来了@成毅
早安，帮主～@成毅 我申请加入权力帮 #成毅赴山海#剧情越来越好看啦，今晚一起#赴山海##cy##成毅萧秋水李沉舟肖明明# ​​​
漫画脸的具象化
呆毛淇
帮主还是太权威了
ee
支持清朗行动！最近热播的武侠剧赴山海，黑热搜一天好几个样，甚至上升到对演员本身的恶意造谣和诋毁！究竟是谁在背后破坏网络生态，又是谁在拉动粉圈对立！长剧市场已经如此艰难，某肖姓演员跟这部戏八竿子打不着，他的粉丝却忙的上蹿下跳，又所图何为？大家心知肚明。支持国家出手整治这些网络乱象， ...展开
哥就是这样的人，清醒又真诚。就算重新诠释哪个，我相信他也能做的非常好，他有这个实力。但是从小看武侠长大的都懂，经典不只是经典，还是刻在我们心里伴随我们成长的印记
狗哥在，我就不担心我家ee受欺负了
早安，哥@成毅 ，一切顺利 ​​​
帮主帅的太权威了，秋水在帮主眼里还是个小趴菜
哥哥
早安～，哥@成毅 ，周末愉快！#成毅赴山海##成毅萧秋水李沉舟肖明明##cy##赴山海# ​​​
秋水
帮主
加油
文戏武戏没有短板，人格也极有魅力，真诚是他的必杀技，对自己负责对观众负责，成毅是我还关注🐟⭕️的唯一原因。
谦虚敬业，努力真诚的人不该被辜负，支持优秀演员成毅！
低调谦虚，努力真诚的人不该被辜负，支持优秀演员成毅
🌊你应得的
哥，你在干啥
身处🐟⭕️这个大染缸，他一直真诚努力不忘初心，清醒又自律的人谁又不爱呢？
真诚又努力的优秀演员成毅
早安，淇淇～@成毅 周末愉快哦，晚上再一起追剧吧～#成毅赴山海##赴山海# ​​​
超级喜欢哥的眼神和表情
我宝太萌了
让我学学怎么让眼中有寒意
哥哥，想你啦，晚上一起来追剧啊
相信自己的力量，公道自在人心。感谢杜老师，让我们一起维护江湖正义
哥，早安～@成毅 每天都要开心哦，晚上一起追剧吧 ​​​
哥，这睡衣贴身穿应该比打底舒服
