//@草莓大棚徐律:新华社好会拍啊！看的我心里暖暖的~
。//@白皂樱:想起那个让阳刚先生们不要出境家暴的温馨提示
感觉是广东发生的事…//@小狗派送中://@下饭专用://@小野泰瑞://@ieaber://@数知实验室:“婚姻宣传片”#司法观察# //@famfamfam:家暴能够一早就按故意伤害正常判的话，男方也不用丧命，女方也不用坐牢了
看完《南京照相馆》我be like： ​​​
老粤你收手吧从周日下到现在没有停过的大暴雨/暴雨/大雨，这个天气牛和马会躲进棚里，牛马还要想办法上班的 一条咸鱼师傅的微博视频 ​​​
点了//@用户7994368151:我要感觉，那些人嘴里说宗馥莉哪里哪里不行。其实如果宗馥莉是儿子，杜那边都是女儿，他们就变脸要夸了//@番石榴猫仔:因为她是老宗的女儿，不是儿子。这是我觉得骂她这些人唯一的逻辑。
点了…我什么时候能过上稳定入账个体户的日子…
端午节前食堂做了特别多好吃的，苯人还带走了一块提拉米苏做下午茶。窗外在下大雨，吃饱喝足躺回我的小折叠床睡大觉。 ​​​
人活着是真的要上班吗，困得发晕 ​​​
🥺🥺🥺
好困嘞…降温了…想马上回家拉上窗帘打开香薰睡大觉… ​​​
苯人的超绿色自炊周末落下帷幕🍚🍃 ​​​
商场的妇女节留言板前，两个女高中生在写字 查看图片
一个吃饱喝足的幸福猪周末🐷🍺 ​​​
返工第一天本人开始浏览： ​​​
//@矮周迅://@王太弱:我今年反思：//@狗派天下第一:祝半身不遂长命百岁//@柠檬通心粉:莫名其妙不认识就在背后骂我的：你这辈子上班迟到都赶不上公交
室内抽烟的领导同事能不能死一死 ​​​
今天中午食堂的香蕉看起来死死的，和周一的我一样😰 ​​​
好好好
昨天突然想吃麦当劳和糖水，和朋友一合计立刻出发。坐在朋友小电动后座，一起开车三公里只为了去吃一顿麦麦。 中间走错路还绕道，好在是在饿死之前到了，吃完麦麦又去吃了开心果麻薯。 然后坐上小电动后座一起返程，肚子饱饱的，什么都不用想，闭上眼睛感受广州十月清凉湿润的夜风。
点了//@闯关侠智斗恶龙:笨蛋人生糊涂过
🥺🥺🥺//@相忘于江湖的洛洛:外婆的顶针，外婆走了以后，我舅妈忙着逼问外公，要他的存款。我只是问外公要了这枚顶针。 我妈说，我刚生下来那会儿，没有衣服穿，快冻死了，外婆熬夜给我缝制衣服，以前晚上的时候，外婆看不清，做不了针线活儿，而那一次，外婆竟然能够看见了，给我缝制了衣服… 它 ...展开
//@miaice冰棒:还有德剧《我们的母亲，我们的父亲》不也直接被翻译成我的父辈
1111
照顾好自己已经很了不起了
