只想做我想做的 ​​​
重庆好，重庆有你在@时代少年团-刘耀文 ​​​
好难受一定要考上好吗 ​​​
最好的宝宝生日快乐@时代少年团-刘耀文 
wpp是真的又恶心到我了 🤮🤮🤮🤮🤮 ​​​
最好的哥哥 🥺🥺🥺
刘耀文超话 宝宝生日快乐 愿你永远自在幸福，想要的都得到！#刘耀文 生日快乐##刘耀文0923生日快乐# ​​​
最好的刘耀文永远爱你@时代少年团-刘耀文
宝宝你要永远幸福快乐！！！@时代少年团-刘耀文 #刘耀文0923生日快乐# 
想你宝宝 19岁的最后一天@时代少年团-刘耀文 ​​​
甜甜的@刘浩存 
致敬//@时代少年团-刘耀文:#英雄回家# 为国家牺牲的英雄，我们从未忘记。#接30位烈士遗骸回国#
宝宝宝宝
坚持，一定会有好结果的！ ​​​
老婆
七夕快乐 永远爱你 最帅的宝贝@时代少年团-刘耀文 
张婧仪超话七夕快乐老婆 ​​​
一想到开学大四 我就难受我就崩溃 ​​​
小口袋宝宝
老公你就是最帅的宝宝啊啊啊啊啊啊#刘耀文大连我们来了# #刘耀文神图# 
期待宝贝#刘耀文大连我们来了# 
老公你就这样帅飞世界@时代少年团-刘耀文 
 ​​​
闪 ​​​
 ​​​
 ​​​
我真的无敌讨厌wpp 看到就恶心。。。。。。 ​​​
生日快乐仪#生日快乐# 张婧仪超话
宝宝
刘耀文超话今天是我关注超话的第1600天，希望能继续伴你一路前行～ ​​​
老公@时代少年团-刘耀文 
我在刘耀文超话抽到了R卡“飞吻萌物丸”，快来试试你的手气如何！网页链接 ​​​
我在刘耀文超话抽到了R卡“就是爱你丸”，快来试试你的手气如何！网页链接 ​​​
我在刘耀文超话抽到了SR卡“脸颊比心丸”，快来试试你的手气如何！网页链接 ​​​
流水不争先，争的是滔滔不绝 ​​​
困死我了 ​​​
马嘉祺你特别棒
天塌了为什么手又开始疼 我请问呢 别搞我 ​​​
宝宝@时代少年团-刘耀文 
听力已经心如死灰 感觉这次100分都没 ​​​
妈呀我要爱死耀文浩翔了#生活手记# ​​​
老婆！！！
求好运#接好运##好运到##添好运##好运护体##好运锦鲤##好运连连##锦鲤星座##转发好运锦鲤##转发好运##锦鲤转好运# ​​​
//@时代少年团-刘耀文:懂！现在这状况就是：夏天到了，我们可以一边吃荔枝，一边看#电视剧长安的荔枝#。#长安的荔枝今日开播# 今晚19:30不见不散！
老公帅我一大跳@时代少年团-刘耀文 
吸氧#生活手记# ​​​
老婆级别的
我的天呀老天开眼了！感谢金主@素质美女鹅，感谢@微博抽奖平台！一起分享我的喜悦吧&gt;&gt;&gt; 网页链接 ​​​
宝宝端午安康
毕业快乐！！一切顺利！
救命，一听到刘耀文的声音就幸福的不行了#刘耀文# ​​​
帅！#刘耀文加冠礼演唱会# 
艾玛，这么帅
我在2025#微博电影之夜#荣誉推荐活动中获得专属纪念票，这张闪闪发光的电子票根，成为热爱电影记忆的勋章！电影不止于银幕，更在每一次讨论中熠熠生辉，快来推荐你心中的最爱，见证光影荣誉诞生吧！ 2025微博电影之夜 ​​​
宝宝
#张婧仪凸凸棉品牌代言人# 
宝宝！！！！
可爱捏
哎呦宝宝我爱你@时代少年团-刘耀文 
越看越心动#生活手记# ​​​
驼女士的小小小天地超话 好紧张好紧张 下午面试呜呜呜 ​​​
宝宝
宝宝
宝宝
！！！好美宝贝
#母亲节一万杯奶茶送妈妈# 最好的妈妈节日快乐！愿你眉间带笑，岁月不染眉梢 ​​​
天哪 怎么会有人帅成这样  老公@时代少年团-刘耀文 
没精神一整天，拜托今晚一定要睡个好觉好吗 ​​​
狂风骤雨 就应该一直躺在小床上  ​​​
老婆！
权威
夏天快乐宝宝
宝宝最帅
好难过又要上学了 ​​​
爱让悬崖变平地
宝宝！
我宝最好
宝宝我永远爱你@时代少年团-刘耀文 
黄杨钿甜超话我在黄杨钿甜超话连续签到30天，获得了“签地自萌”头衔，发帖纪念 ​​​
张婧仪超话我在张婧仪超话连续签到30天，获得了“签地自萌”头衔，发帖纪念 ​​​
刘耀文超话我在刘耀文超话连续签到30天，获得了“签地自萌”头衔，发帖纪念 ​​​
老公
全场焦点
老公@时代少年团-刘耀文 
昨晚梦到耀文和浩翔 就在我身边 好近的距离呜呜呜 太幸福了以后这样的梦多来点#生活手记# ​​​
票房大卖！我的公主
宝宝
每次都想早起去图书馆，可每次都很困睡到这会 ​​​
宝宝
我要疯了 ​​​
我真的觉得偏苦味的那种丸药好好喝 ​​​
最好的宝宝！！@黄杨钿甜 
期待宝宝！
老婆级别的
好大的风 ​​​
五一见！！老婆@张婧仪 
期待宝宝！@黄杨钿甜 
宝宝宝宝宝宝！！@黄杨钿甜 
好美宝宝
太美了老婆
