请以罪犯的名字命名案件。
理解。支持。
贾西贝还是不知道自己错在哪里，对顾客傲慢惯了
轉發微博
轉發微博
轉發微博
“把男人对女人做的恶单独圈出来予以重新定义，给足道德豁免，本身就是一种结构性的欺压” —- 说得太对了
多么勇敢聪慧的女孩啊
//@星野恵瑠NC://@内燃器官://@祝您喜乐_:tui//@汪有:微博就是人人为我我为人人，要发声的//@木析AlexanDENG://@Steed的围脖://@天冬:虽然我转发过了，为了右边的话，我得再转一次//@Psilopeganum:以前我总是觉得我微博只分享好看的植物，但是这种事情不发声（虽然发声也没有用）将来肯定会报应到自己 ...展开
期待女大王
女人创造生命，女人是生命的主宰。
轉發微博
//@桃子与司康:“这才是真正的女权”就是自曝语哈，男权惯于给女人分等级、让女性内部分裂互相消耗、给一部分女性授予“好女人”勋章来帮自己巩固利益，从古时的后宫后宅到今天的“什么才是真正的女权”都是一回事。但不好意思，什么是女权轮不到男的来定义，你的想法不重要且无人在意～
It’s all about power.
不忘历史
多么美好🌹
恐怖的现实
轉發微博
每个女性头上都笼罩着系统性压迫的网络
说得对👍//@见不得倒打一耙的:跟谁姓对男的不重要，男的又不生无痛当爹。对女人很重要，女人十月怀胎冒着生命危险身体受到损害，自己生的还不能跟自己姓？女人生女人带，还跟男人姓？男人传宗接代？随母姓是对女性生育价值和付出的肯定和尊重。只有女性能生育后代，传宗接代本来就是女性特有的功 ...展开
轉發微博
轉發微博
轉發微博
愿每位女性都经常有平静而幸福的一天
真的不一样
真实情况可能更严重
产翁制就是男性抢夺女性生育成果的无耻手段//@自歌自舞无拘束:推行婚姻制度、娃随父姓，就是新的产翁制。
一起改变把受害者推到前台的生态
人类历史可以看成女性被系统性压迫剥削的历史//@小喵喵的主人:性别问题，远高于国籍/种族/肤色/阶级。男人看的很明白，希望女孩子们也真的睁眼看看//@麦卡PU10P:每件事都是同一件事。
红叔不锈肛….//@向我sayhihihi:可以用红哥的不锈月工啊
真相
想换换口味嘛，可以理解
一个她站起来了，就会有千千万万个她站起来！
轉發微博
“就像是即使你没有亲身遭受过某个加害者的明确侵犯，我们也始终处在被侵犯的状态”。
全球移动之家
语言就是权利！希望出现更多女性翻译。//@燃烧的雾港水手:看过@秃炮怪美剧集结站 翻译的几部剧和电影，大巴上的女孩，戴洛赫小镇，布尔切利四人组，小小恶信件……她们会纠正所有的辱女词，会把f开头的词翻译成“他爹的”，总之翻译得特别好和用心，推荐大家关注。语言就是权力，我们需要更多的女译者 ...展开
Q弹狗狗欢乐多😂
再来一遍//@乡下宁宁://@Mr王王王王子:再来一遍，一遍又一遍。
被视作权威的经典著作和教科书其实是男人的胡编乱造，而女人的成就却被苦心造诣地隐藏了。
好有活力
要公开声援各行各业的女性
“精神压力的根本原因，是觉得有坏的后果将要发生，但自己却无能为力，无法控制局势” 说的太好了
污水不停，赞美不止//@桃子与司康:因为低级生物只看钱，还不是大钱而只是仨瓜俩枣（真要是大钱他们又不允许女人争了，大S只是让汪小菲还欠她的2600万和法律规定的子女抚养费，低级生物们都大骂“捞女”）既没有情感认知也没有权利意识，不可能明白什么叫爱与尊重。//@少年斯派维的奇异之旅:把一个完全 ...展开
