就是这样。恨具体的妻母但不上升到抽象层面，污染女权理论。清创要靠切断不靠加强//@用户7994466237:不是，你跌的，二鬼子和鬼子不是一伙吗？甚至在道德上二鬼子还更招人恨。不让受压迫受虐待的女儿恨母的本质是她们本身就是那个会投身父权结构成为妻母的群体，意识形态上要给自己清扫道路。事实上，东 ...展开
再收集一个女权式厌女的经典案例//@女子射箭0级选手:“女性当然可能在各种话题上不同意彼此，但显而易见的事实是，我们没有能力成为自己最大的敌人。”//@赵姥姥曰:“我们甚至还没有论及家暴和性暴力的真实代价。”//@雪球补充道:很符合男权把女性推出来顶雷的策略，也符合他们把男权对女性的压迫转化 ...展开
推荐一篇公众号文章！作者“她的文娱生活”：《当“大女主”仍然是“男也”的故事》。里面整理了很多作品，包括一些女权区强推过的作品中的“男也”味，非常细致，非常深刻，最后总结出了四条追问：是谁在叙事？为何这样叙事？女性角色们是否真正拥有叙事的主权？她们是否终于被默认能够拥有权力？ ​​​ ...展开
女权主义与平等超话//@婙远_重生版:说得太好了！两位姐妹的观点我都很赞同，用一句话概括就是右边姐妹说的：语言暴力“是维护女权立场的手段，而不是转化他人思想的手段”//@GenuineEarthling: 查看图片 
权责对等，所以父权制的主要责任人是女性（第一性）吗？女性（雌性/母）是自然的第一性，这个概念已经比较普及了，具体论证可以去看博主橘子竟。总之，这个概念传播开之后，“人类出任何问题根本上都在于女性自己”的结论也随之出现了。“第一性的权力是决定人类生死”，听着很爽，但这里的权力更多 ​​​ ...展开
这可能是一个非常经典的讨论点了，借此机会整理一下我的观点：一、是女性失权导致劳动价值低、劳动参与率低，还是反过来，劳动参与率低才导致权力地位低？二、女性为什么失权？劳动不是权力。增加劳动不会自动使人获得权力，同样劳动参与率的下降也并不直接导致失权。我的观点在图中表达清楚了，鼓励 ​​​ ...展开
