//@罗大伦:事情是这样的，那时候费玉清去女孩子家住了一段时间，她家房子后面有两棵柿子树，费玉清摘个柿子一尝，很甜，于是就每天吃点。离开的时候，女孩子送他到火车站，拿了个很大的包裹，等火车开了，费玉清打开，原来女孩子把整个树上的柿子都给摘了下来带给他。这是费玉清在一个节目里自己讲的。 ...展开
三八节快乐呀！
恭喜恭喜
希望中奖
4089120835730096940
我分享了 @都市快报 的头条文章  ​​​
3916006345965096940
中奖
3916006345965096940
我也想看看
抽空看！
3846282339801096940
食疗感觉不错！
