伟大容貌
好米
//@云雪旧:艸你们妈的，发微博别人看不见阅读为0，小号也看不见。最关键的是一个几把平台可以在没有任何征兆，没有任何提醒，没有任何违规的情况下屏蔽你，客服找了几天找不到一个活人，煞笔，一群生孩子没屁眼的玩意儿。@微博客服 @来去之间 @鱼姜 @微博小秘书 @请叫我客服队长 @微博会员  ...展开
夹老板一眼丁真//@来去之间:事儿估计是真的，但是大爷要送房，八成不是因为菜好吃吧
@小米公司
@卢伟冰 @雷军 过来解决问题
这是好事啊
@卢伟冰//@陈抱一:小爱的形象已经被舍弃很多年了（那时候好像是唐沐在做小爱音箱）但近几年似乎是官方不想让小爱有一个具体的形象，想像siri一样成为一个纯粹的智能体光团？但现在手机背屏、汽车天际屏、双表盘表情，都急需一个有情绪价值的、具体的形象来承载小爱作为“智能体”的陪伴属性角色。确实 ...展开
万事顺遂🙏🙏🙏//@野比大雄:万事顺遂🙏//@生草字幕组:顺利//@TZ糰子-长谷川暗月://@日本笑死我了:求顺利//@亮亮Christy:
这是好事啊
@卢伟冰 @雷军 @OPPO周意保 @vivo韩伯啸
@雷军 @卢伟冰
这是好事啊
这是好事啊
最支持的一集
@李晨 你配？
人民公仆这一块
为人民服务这一块
烂完了
黑边还是太粗，希望做到1mm//@戈蓝V:#iQOO15# 正面来了，屏幕有木有一眼通透，R角有木有一眼舒服，低温感金属中框相当巴适。十月见，敬请期待。
送我一个
回复@我的一生春和景明:你从丹东来送我一身雪白//@我的一生春和景明:@极客湾Geekerwan 
@极客湾Geekerwan 
这是好事啊
天下为私
这是好事啊
学小米饥饿游戏是吧
世界人民大团结万岁！
回复@支持老公上战场:反差这一块//@支持老公上战场:到了夜晚，他脱下尊贵的行政夹克，跪在地上求你扇他耳光
@来去之间 过来转发
这是好事啊
转载了@你次大椰 的微博图片 ​​​
遥遥领先
听说代言人是章若楠？
回复@小白测评:这是好事啊//@小白测评:🎁转发这条视频，抽送1个「 OPPO 自带线超级闪充移动电源 20000mAh 45W」。
回复@有趣的80正态分布_v1:这群老狗是活明白了//@有趣的80正态分布_v1:在职的时候对不对无所谓，能上进就行，退休了就拿真话博名声，名利双收
这是好事啊
户子：虽死犹荣
我想问一下大家，为啥安卓的大杯Pro机，尺寸不学着苹果的ProMAX，6.9英寸？感觉6.9英寸的大杯也不用纠结了，大尺寸马达扬声器，大电池也都有地方摆了
我想问一下PROMAX的尺寸是多少？//@Cici_老魏:回复@数码闲聊站://@数码闲聊站:回复@都是实话bot:这是@Cici_老魏
牛逼
这个b毛后置摄像头又偷工减料，小米666，后面的摄像头模组里闪光灯变成环闪了，这么好的设计为啥不放在手机上？
