肖战的文笔真好@肖战 
//@主持人文海:真不想对比，当诸多歌手因为表现不佳登上热搜的时候，你只想说，看看人家肖战！//@Sean的顺利:唱得好吧
肖战唱得明显气息很足，好听，唱功好
肖战超话
肖战在哪我在哪
这么魔幻的吗？
这个还没看，不清楚，上一个那个被实名jb的，人家也没侮辱诽谤飙脏话之类的啊，就只说了一个自己觉得不好看而已啊
//@微博智搜:本次烟花活动确实经过乡、村、县三级政府审批，当地生态环境局以&quot;使用环保材料&quot;为由豁免了环评程序。但《青藏高原生态保护法》规定生态敏感区活动必须独立环评，该审批流程涉嫌违反上位法，且高原材料的实际降解能力存疑。目前成立调查组旨在核查程序合法性...查看全部戳-&gt; ...展开
//@seanfly叶子玉:值得一个RS，丢大人了，人家博主1没给他P图，2没骂脏话，3实事求是的讨论剧情，4只是合理讨论台词和演技//@林九言HL:这下更没人敢看了，看一眼都是侵犯肖像权
时不时刷一下老一代港台歌手、演员（他们年轻时的视频），真的是有颜值有作品有演技和唱功，一对比，现在的追星族吃得真差啊。。。。幸好这个时代的内娱还有一个肖战 ​​​
这标题不准确，怎么能说奶奶是偷走呢？奶奶拿之前征询了商家同意的，而且后来孙女又给商家还回去了的啊，其实内心很想要吧，虾虾素质真高
饮·焯·炖·洗 ，一步到位。和@肖战 一起感受安吉尔全球领先的净水科技，乐享品质生活！
纯净新境，全新启程！全新大片来啦和@肖战 一起在安吉尔的陪伴下，共度纯净的一天。
呵呵，那我如果捅别人一刀再全力救人的话，算什么呢？就能免责吗？仅代表个人，永久避雷这个品牌和集团
肖战粉丝超厉害的
吾辈自强//@肖战:山河已无恙，吾辈当自强！#今日中国再不是1931年的中国# ​​​
//@joshuazifeng:正片里面的剧本是自己拿在手上的，洞洞鞋是自己穿的，台词是自己说的，不要什么都往别人身上推，算什么男人
好的
//@皎皎月如你:是的，他全心全意投入作品，也更在意观众是否真正享受到作品，而非用红或爆为自己塑金身，心思不正的人就会被裹挟利用，无所不用其极，肖战永远不会。
//@影视文艺大赏:当时死🪿一直压热度，我看剧时，时不时上来看看这个问题解决了没有，说实话是有点焦虑，也怕破坏自己看剧心情。这句话一出，我就安心看剧了。好强大的一个人，真男人
//@明月梅花映战袍:从斗罗开始，数据平台摆明了要搞你数据，yxh三天两头吓唬粉丝说舆控多重要，谁家舆控多牛。他选择把自己磨炼到最好，相信活人的眼睛，相信积累的口碑，相信自然会找到同行的人
//@贝瓦哈阳:不是肖战哪来这样的配置，光看文其实有点弱的，哪有现在肖战呈现出来的魅力，比如找女主帮忙马车下跪被庄二识破犯错回来被侯爷骂等等，全让肖战演成了高光诶，很多表演细节都是肖战自己二创的剧本里可没写，各种微表情眼神戏让观众一点都没觉得藏海窝囊，反而很高贵平等看不起任何人，全被 ...展开
//@谢_旖_旎:郑导递给了他三个本子，他选哪个拍哪个，所以才有了藏海传。郑导内心属意的并不是藏海，是曹导和他都喜欢这个本子。//@可爱的小女孩688:张本说的，拿到剧本第一个想的肖战，别羡慕嫉妒恨了。
哇哇哇哇肖战@肖战 //@肖战:#谍报上不封顶滴血不漏初见版# #2026优酷年度片单# 任少白的人生法则第一条：谍报和美食都很重要。#谍报上不封顶#
他们还闹着给鹅，是以为鹅就会多看得起他们吗？这不是给了二次伤害吗？//@谁把我兔兔藏起来了:哈哈哈哈，真的好敷衍，连字都懒得打//@自由的天鸥:可是鹅也没有卡点啊，还超敷衍 查看图片 
“被传”所以说是以讹传讹咯，但其他人咋传不起来？因为不会被信，而肖战的会有人信，说明一是黑水，二是就连黑子都清楚肖战的咖位和魅力是内娱无可比拟的//@阿黛dassy:没黑也要强行黑
肖战超话
致敬//@肖战:致往昔、敬未来，愿万里山河永昌，祖国繁荣富强！#阅兵直播##九三盛大阅兵#
宣传委员肖战//@肖战:共赴江南，来看#江南十二场欢聚#😉
//@喜欢向日葵的大萌子吖:没有任何一部非暑期档的剧，仅仅只靠长尾效应就能霸榜暑期档，除了藏海传！
哈哈哈哈哈
致敬人民子弟兵
肖战粉丝小飞侠铭记历史
敬未来//@肖战:致往昔、敬未来，愿万里山河永昌，祖国繁荣富强！#阅兵直播##九三盛大阅兵#
//@秋意正浓M:既然是水军公司，真希望公示出来哪家烂公司买水军做下三滥的事//@酥酥香香小面包:已经到了告水军公司的步骤了吗支持肖战维护自己的权益
//@酥酥香香小面包:已经到了告水军公司的步骤了吗支持肖战维护自己的权益
@肖战 
肖战超话//@白驹过隙yxy:绝对不要传播负面做黑子的传声筒，情绪稳定专注自家。
最好的宣传委员肖战@肖战 //@肖战:经常“刀人”的都知道，这事情一看绝不简单今晚一起来看！
肖战超话
想要@肖战 
好高级@肖战 
//@每日甜氧:恭喜肖战《我们》！
//@白听听安:朋友/亲戚是业内知道，问实锤证据就是没有，但是一定是真的，这种文字我能写100条出来
太专业了
致敬//@肖战:#锦绣山河有你心安# 今天是八一建军节，致敬人民子弟兵！
好高级的样子，喜欢
铭记//@肖战:#日本投降80周年# 铭记历史、缅怀先烈、珍视和平！#8月15日中国人必须铭记#
我舔
#怎么因为啥喜欢肖战的人都有#不说新虾了，就我这个六七年的老虾，每天醒来，都会因为某个点又戳中我，而反复爱上肖战 ​​​
原本就只在追剧时看了一遍，那我得再刷一遍了，肖战的兵不喜欢卡九
奶爸奶妈挚爱神曲
//@起子qqz:转转，哪怕多一个人看到也是好的，天该亮了//@阿f洛d忒:转图澄清//@点点坚果Happiness:转一个澄清帖，哪怕只被一个人看到也是好的 //@可爱的小姑娘萱:证据确凿#肖战告黑胜诉获赔# #肖战状告227超话主持人胜诉# 黑恶必须伏法！
//@菜菜是菜啊DAYTOY:藏海传全球大爆剧
//@mua_藏海向我求婚1005次:连影后余男老师都夸奖的演技，临场改台词，肖战能立马入戏，那场马车戏中，肖战的表演和台词让她完全沉浸角色，甚至忘记监视器的存在。 ‌
有个花絮，拍藏海时，有个群演口误说“yes”，战战愣了两秒，然后故意笑出来，再说“对不起我笑场了重来”（故意保护那个群演，但又不着痕迹，没有高高在上的施恩感，不让群演有心理压力），代入那个群演，好戳心 ​​​
肖战超话 判的轻、没热搜有情绪很正常，但千万不要中招去对立不该对立的，精准的以正制邪，揭露网络黑水那几家就行了 ​​​
是谁在不希望还他清白？谁捂嘴谁心虚
是的，从来都不是所谓的“内部矛盾”，而是小飞侠在打桶除恶肖战超话
咱没做亏心事，不会折寿，咱等得起
#肖战告227超话主持人案判决# 几年前我也是黄 ，转毒唯是因为清醒后发现受到了愚弄和利用。我很知道黄 心态。你们敢说弟弟参与了的话活不过三十吗？你们会各种话术推脱但就是不敢，没有这个底气就是因为你们潜意识其实很清楚咋回事，不过是硬装睡罢了。另外无论别家是否参与，不影响那谁参与了 ​​​
脂粉自然是话术一套套，并且脂粉只是打工并不在乎明星，但是黄桶里的真粉丝（如果有的话），敢说弟弟参与了数字的话活不过三十吗？你们会各种借口推脱但就是不敢，没有这个底气就是因为你们潜意识其实很清楚咋回事，不过是硬装睡罢了 ​​​
对于网暴犯，应该拘留（他们造成的恶劣社会影响和对当事人的伤害，远大于普通寻衅滋事而被拘留的），应该除了罚款还要没收非法所得（如果因为网暴收入十万，最终只判罚一万甚至一千，当然会屡禁不止），应该挖出幕后指使（普通人哪有那么多精力去长年网暴一个不相干的明星） ​​​
网暴和各种对立屡禁不止的原因我猜有以下：1 吃到的流量折现甚至公司工资比判罚金多、其他方面的代价更是低廉、违法后就算败诉也大赚特赚的话，有啥威慑力？ 2 黑帖难ts，澄清帖易被ts 3 道歉信之后，背后老板和传播平台呢？判过吗？ ​​​
越为了什么事而上蹿下跳越说明他们很清楚哪个是真的
现在还是黄桶的，要么脂粉，要么蠢和坏至少占一样//@喜悦鹦鹉鱼玩跳棋:哇王一博的大粉啊，cp粉也好意思磕cp，真是超绝变态了//@取名字是个头疼的事儿:来看看这两人都给谁投票呢？呀，居然是王一博啊，怎么回事啊？两人运营同一个账浩？ 查看图片 
//@取名字是个头疼的事儿:来看看这两人都给谁投票呢？呀，居然是王一博啊，怎么回事啊？两人运营同一个账浩？ 查看图片
迟来的正义只是真相，判了后还要捂嘴真相的，执迷不悟，态度恶劣，且藐视fy
//@3000later:业内都知道藏海传有多火
//@saliyda:业内都知道藏海传全球大爆 查看图片
肖战超话 好多所谓经典，其实剧播时数据也就那样，是粉丝长年吹水篡改了大众印象，2h那部就是典型。咱家有真金白银和真战绩，别家捆绑吹时，咱直接甩出来官方确认唯一、第一的战报就行了，不给别家捆绑抬咖的机会，也别放弃捍卫自家咖位的机会，虾圈活人哪家能比？这种天然优势不用太浪费 ​​​
肖战超话//@chjkwijdbxkai:很多剧都是后面岁月史书起来的，就是不断的被cue，被提及被捆绑不可怕，可怕的是根本不提你无视你，所以有任何捆绑爆剧的地方就是请留下咱们的藏海传，想想斗罗，爆剧盘点很少提，就是当时不是太懂，播完就结束了，这种情况可不能再发生了可以说，今年下半年的重点就是安 ...展开
尽是垃圾场次，还能一直上座率第一，是真牛。更牛的是，说明肖战靠自己，在这个靠资本的内🦈，能到现在，肖战是我心中的平民英雄
大家都低估了他的国际影响力甚至包括粉丝
对//@红梅冬绽:粉丝只有一个功能就是支持
肖战超话 警惕一种情况：各个综艺、各个明星，乐意提他并且并没有贬低他的，是增加国民度，是破圈。只要一提，不分情况就喊打喊杀的，可能是生怕他破圈的披皮黑 ​​​
