充分体现 just do it
真的看报纸都觉得累
妈耶，怎么又帅了
笑死，看脸的世界依旧看脸
不要用自己的经验去评判他人的悲伤。那个在葬礼上未曾痛哭的人，也可能是一个“延迟悲伤者”。
想到那句：dont compromise，if you compromise and compromise，all of a sudden you will find you have no options，you have no choice，you cant go you cant move you cant shift，so be independent！
推进hpv疫苗科普
为什么我始终没有进步
好甜啊
可我的人生里面 就规划了另一半，我想要为一人做羹饭
就是我了，可以在我脑袋装个开关嘛
心跳停止了
今年这种感觉尤其强烈，大抵是因为年纪到了，都有了自己的家庭，有了可以说更多心事的人。我喜爱武侠世界的友情，那种肝胆相照、把酒言欢…，所以就算好朋友不联系了但只要对方在好好的生活，那就足够了，只要需要，我就会在。
最近越发疑惑：结婚是为了什么？
哈哈哈哈，看过一个视频，里面的内容大概就是说：有时候一个人对另一个人的夸赞有时候也是一种pua。
哈哈哈哈哈 被最后一句话点亮了
很认同了，比起得到，我更喜欢保留
扎心了，原来摆烂也有门槛
往里走安顿自己，这是对他的记忆。
混乱，这个词在合适不过。混乱与矛盾同时并存
哈哈哈哈哈，飞这么久不累吗？那里那么暖和嘛
还以为是啥呢，结果是一群废物男在犬叫
每天都很疲惫//@周六野Zoey:你真的懂得“爱自己”吗？每次陷入消极情绪里会不会越陷越深，身体上也产生很多消极反应：头疼、胃疼、能量消沉，反反复复…《你的身体，从未忘记爱你》教你如何按下“暂停”键，听见身体的“求救声”，获得真正的安全感。翻译这本书希望能帮到焦虑疲惫的你！「转+评」我将 ...展开
的确，当我看多了唱衰的言论，我对整个社会都消极。尽管那些仅是碎片化的片段，也不断地重复、构建我的世界观！
太恶心了 网页链接 ​​​
泳者之心，太好看、好哭了 ​​​
现在是越来越混乱了//@崔庆龙_:“人生至少80%的苦恼，本质上都是自己对一些和自己关联不那么深的事情、人、情感，赋予了超出它的严肃性换来的。就像当一个人不知道某个人爱不爱自己的时候，其实答案已经偏向于否定，但人们却会挣扎着保留一份确定。”其实人生就是在不同阶段入不同戏，直到某一天遇到解 ...展开
最近聊天聊着聊着就很容易emo，没来由的，下意识地去躲避一些事情，嘴里咕噜咕噜不知道在说个啥！真服了，好心情就是被出行计划打败，暑假不想去人多的地方，也不想去很热的地方，更不想去那么远的地方，想在家躺着！ ​​​
我们是智人
