太有质感了
震撼
要播了吗？请问？
//@杨紫:#家业制墨文化预告# #2026爱奇艺新生片单# 一双手，守一门绝艺；一锭墨，见一方天地。日复一日，李祯要悟出自己的墨道。#电视剧家业#
致敬//@杨紫:为国家牺牲的英雄，我们从未忘记。#接30位烈士遗骸回国#，致敬最可爱的人！#英雄回家#
#阅兵武器#打击范围，全球。 ​​​
祖国万岁//@杨紫:致往昔、敬未来，愿万里山河永昌，祖国繁荣富强！#阅兵直播##九三盛大阅兵#
#杨紫直播#用心拍戏，她真的。 ​​​
漂亮宝宝
好美
//@SharonKUIKUI:请问贵室 今晚mzy粉丝的行为是贵室授意的嘛？蹬鼻子上脸也是贵室授意的嘛？今晚mzy要给杨紫发微信道歉了
//@奶油芋圆不加甜:是工作室授意粉丝集体带文案求紫米姐给眼神吗？是工作室授意碰瓷大花吗？是工作室主导今晚的事件吗？
#造乐一夏##杨紫何惟芳# yz#杨紫国色芳华# yz#杨紫# 渴望落空了，但我们仍需做梦，否则心灵就会枯死，博爱便无法渗入心田。 ​​​@杨紫 ​​​
#2025暑期最热女性角色##杨紫何惟芳# yz#杨紫国色芳华# yz#杨紫# “晚春那娓娓动听的鸣声，许不尽是我让林鸟带给你的思念。 ”@杨紫 ​​​
杨紫
你心中的2025暑期最热女性角色是？我已为何惟芳-杨紫  推荐了1次，一起搜索#2025暑期最热女性角色#，快来帮她冲刺巅峰！ ​​​
#2025暑期最热女性角色#杨紫的何惟芳。 ​​​
#今年第一爆是哪部剧#那肯定是开年大剧，国色芳华了！ ​​​
好美
她真的好美
#杨紫和小羊生生合照#可可爱爱的小羊和小杨。 ​​​
感恩//@杨紫:感谢你们守护大好河山万家灯火！#锦绣山河有你心安#
做个人吧
#我的成长纪念# 我在微博达成了1000天创作成就，获得了专属「奋楫笃行 臻于至善」勋章！ ​​​
支持下架
#于正 本人近照巨帅别羡慕#他真的是…在艺人的吹捧里，忘了自己的真实德行。 ​​​
真的是无妄之灾//@melody-是燕子呀-:清汤大老爷，简直是无妄之灾啊@微博管理员@围脖侠 
#于正破防删评论#这货嘴里真的没一句实话 ​​​
//@杨紫:跨越千年 品味芳华锦绣❤️希望有更多海外朋友来看中国电视剧 感受传统文化之美～
#杨紫内娱招商的神#招商招商，这不就是有号召力嘛，剧多人看，商自然就来了。总而言之，言而总之，就还是得扛剧。 ​​​
#杨紫李现锦绣芳华开分7.2#我去！这是被黑了多少一星啊！明明比第一季还要好看！！！ ​​​
全世界最好的杨紫何惟芳
真的是震撼！！//@蔡文的鸭:上一次看到这么多人还是香蜜神魔大战//@Ashley璐酱:上一次看到这种大场面还是三国演义
#和杨紫李现沉浸式体验非遗盛宴#这部剧，在我心里第一名。 ​​​
#锦绣芳华大结局#一晚上又哭又笑的，谁懂啊！ ​​​
#被锦绣芳华的糖刀切换伤到了#今天真的痛到我了 ​​​
#刘畅囚禁何惟芳#我擦，他真的好癫，最癫的前夫哥出现了，何惟芳好苦啊甜甜的日子没过几天。 ​​​
#锦绣芳华尺度#16集真的好好看，几处看得哭成🐶了 ​​​
#锦绣芳华尺度#一整个被剧情带飞，第二季真的比第一季还要更好看。 ​​​
#以后cp共浴就按这个尺度拍#整个剧情都无敌带感 ​​​
#芳名远扬的花烛燃不尽一点#集体在给何惟芳和蒋君送蜡烛哈哈哈🤣 ​​​
#芳名远扬海报师征集令#何惟芳和蒋君那种看似有距离，但又相濡以沫的感觉，真的太好磕了。 ​​​
