希望更多朋友看到这个视频，还杨同学一个清白
//@风苇倾谈:我一直很喜欢“斧子和树”这句话。但需要补充的是，斧子并没有停下来。它仍在持续挥动，只是变得更隐蔽、更系统了。我们每个人的人生，其实都还在不同程度上承受着资源分配不均带来的长尾效应——无论是个体发展的路径受限、代际流动的阻滞，还是心理认同与社会归属的边缘化，乃至宏观层面 ...展开
晚上随便弹琴玩，下意识弹出了2557176-5677776765 ——周杰伦的《晴天》。上网找到了钢琴谱，磕磕绊绊弹了开头几句，跟原曲很像。想起当初刚听到这首歌前奏时惊为天人。现在的小孩听到碧梨的 birds of a feather 什么的应该也会惊为天人吧？年纪大了只会觉得华丽动听。好的流行音乐，出现在正好的年龄 ​​​ ...展开
今天校友返校日，距离原因无法参与，不过想起一些往事。十年前也有类似的返校日，当时在学校见到很多校友。毕业五年的，十年的，二十年的，四十年的。我的感受是：我看不出他们是FD的，年龄越大越如此。为什么这么说呢？我当年是能在人群中看出FD的本科在读生的。研究生难很多，校友则更难。感觉人进 ​​​ ...展开
现在大家经常讨论 AI 对工作的辅助作用，让我不爽的一点是：为什么很多人用“he”代指AI？比如 “he is very smart” “he gives stupid answers”首先，AI 是一些程序，没有生命，合适的代称应该是 it。另外，就算想使用拟人修辞，为什么是 he 而不是 she？还记得多年前那部讲人类爱上AI的电影吗， ​​​ ...展开
冰冰姐！//@魚尔布开克:牛逼！！！牛逼！！！！！//@李小呼噜:真服范冰冰这股劲儿，太进取了。
今天聊了一个隔壁组的同事，华人女性，估计比我大二三十岁，现在职级（不是职位）是银行打工人里的天花板了。聊天知道她本硕是top2计算机系，到美国读了phd，在金融行业工作到现在。言语间说起她在东岸同学不多，西岸最多。她硕士导师一直在中国，来美国出差时跟她见面，问她你现在做的事情能IPO吗，她 ​​​ ...展开
过年在家时，上中学的妹妹抱怨生活没意思，不知道人生有什么意义。我爸爸安慰她：等你成年之后会感受到生活的乐趣的。
真好！
本来觉得patti smith点赞古偶就够好笑了，没想到还有更好笑的
今天在gym跑步的时候，想起最近看的科普文章说跑步时散热不好会加重心肺负担。于是把T恤脱了只穿了运动内衣和短裤，果然跑得舒服了很多。早该想到的！ ​​​
Repost
突然想起，以前的我是个很择铺（aka认床）的人。但这次回国，在四个不同的地方住过，却从未在第一晚失眠。这次回 NJ 也是第一晚就睡得很好，时差也很快倒过来了。并不是说整个假期都能睡好，还是辗转反侧过的，但确实没有因为换床失眠。 ​​​
好难过啊，太突然了
评论里说“小时候公开课上多了”
登机的时候人家问我“你的座位在安全出口旁边，你是否有意愿和能力协助”，我第一遍没听懂，第二遍听懂了赶紧点头当然当然。只要能在13小时的飞行中拥有1.5m伸腿空间，谁不乐意 第二张图片是山火后的洛杉矶天空…… ​​​
