父母让孩子应该知道的事情：1，对你不好的人，你不要太去介怀。在你的人的一生中，没有人有义务要要对你好，除了我和妈妈。至于那些人对你好，你除了要珍惜和感恩之外，也请多一些防备，因为每一个人做每一件事情都有一个原因，他对你好未必是因为真的喜欢你，请你必须要搞清楚，而不必要太快的把对方 ​​​ ...展开
看了《繁花》才知道高手是如何拿捏人性！-1.对老人要吹捧，人老了，退休了，就只剩下那点回忆了，多捧着他，他就能为你所用。-2.人靠衣装马靠鞍，穿的衣服可以没有牌子，但一定要有质感。-3.时机未到，该当孙子当孙子，时机到了，出手果断。-4.不要急于报仇，烂掉的水果，会自己从树上下来。- ​​​ ...展开
我的价值不由外界定义，不要把自己的喜怒哀乐绑定在别人的回应里。 ​​​
“”我与黑暗一起，共同孵育白昼的光。”
最近的问题：1.投资餐饮的成功率？回报率？2.评估：投资哪个口味的？3.需要多少紫金，多少精力打理？ ​​​
女孩容易被孝顺、道德等架在那里，心里后悔了，不得不硬撑。  我告诉年轻女孩一个规律，女性在男权社会，总会挨骂的，过得越好，那简直骂名滚滚来；过得不好，仍然会被嫌弃挨骂的。过得不好的，只有当需要利用吃苦受罪的你去打压别的女性时，才勉强夸你两句。  钱重要，名声不重要，女孩，放松点。 ​ ...展开
女性的高维智慧  一，不参与任何无意义的内卷和内斗，冷静地看着别人在里面混战，自己从不浪费情绪能量。  二，心中有目标，而且是远大目标，知道自己未来要去往何处，目前的境况该如何自处、自保、自成。  三，与男性的关系，只合作不依赖，平等交往，分享利益，从无幻想，更不轻信。  #晨曦说# ​​ ...展开
#朋友圈不要删除任何人#凡是定期发骚扰广告的，都删了。不想被多余信息打扰。 ​​​
以终为始，不要等事情到跟前才开始准备。而别人可能两年前已经开始布局？ ​​​
学习心理学课程 ​​​
冲出中年的迷障# ​​​
