我好困明明昨晚睡了快10小时睡眠质量还很好 现在又？怎会如此 ​​​
你会想我吗？ ​​​
不想表达就不表达在小号更轻松自在 ​​​
梦到很久没见的朋友 互动还挺亲切 ​​​
分享图片 ​​​
想搜正经问题 “发现”服了(ーー;)还好我不用吃上面的苦 ​​​
回顾了几秒 我只觉得“烂透了” ​​​
用上新手机咯告别破碎屏幕咯 ​​​
“耐心的人，才可以看见童话”“好好接纳这白发”哇呜 很朴实 真会写👍🏻 ​​​
精神和身体都感到疲惫，我太累了，我得歇会儿 ​​​
我会想念以前的很多时刻但我知道90%的时间 我得向前看 ​​​
嗯 是的 ​​​
凌晨苹果发布会 我这会儿手机屏幕摔碎了 什么意思呢 ​​​
我对自己说：往前走 一步步来 慢点没关系的^^ ​​​
12/30  (๑ᵕ⌓ᵕ̤) ​​​
痛就痛吧 我知道只要活着这就是避免不了的那么在此前提下 我可以再胆大心细一些去闯了 ​​​
不得不承认上了年纪，身心俱疲，累累的 ​​​
怒刷「一饭封神」6集，好喜欢曾怀君的仰头大笑 和黎子安的“结巴”似的微醺感好羡慕评审能吃到各种创意美食（虽然有可能吃到工伤 ​​​
我妈评价我现在这个体重刚刚好，好好保持，别再瘦了。用的话是“你现在的脸很漂亮” 我笑死🤣 ​​​
晚10早6 才一天已经让我觉得这个作息给到的状态、体验非常开心了 ​​​
谁懂一大早进健身房就听到在播方大同的歌 是何等治愈 ​​​
运动完的西瓜汁是人间佳饮千金不换跑步安慰神器新的一天 继续变强 晚安💤 ​​​
睡得好 舒服～～～ ​​​
很喜欢 很满足的一天；） 晚安～～～ ​​​
晚安～～～💤 ​​​
HBD to myself~ ​​​
八月咯
感叹一下快五年没登上这个游戏了（童年最爱的游戏）打开一看：杂草丛生 重新看教程再看游戏里的各个命名 都有种物是人非的感觉 ​​​
十几个小时脑子烧瓦特了 🤒 ​​​
发烧躺了一天晕晕的脑袋怀念健康的日子💧 ​​​
七月了 ​​​
用跑的 去实现 YOLO ​​​
哟 六月了 好久没写东西嗯 不想写就不写 ​​​
晚安💤～～～ ​​​
嗯，比较是偷走幸福的小偷，谨记。 ​​​
五月啦🌸 ​​​
既然还活着 就尽可能活得热烈 丰富 ​​​
喜欢新书的纸张味儿～ ​​​
期待那一天的到来 ​​​
挺住就是一切 ​​​
每天都有在更好一些我是说心理和精神层面即使它有一下子溃败的可能我也会尽力守住&quot;塔&quot;的 就好像这刹那人生一样 ​​​
不记得的东西大多数不重要 才会忘在意的人事物慢慢都忘了也没关系一天天尽量过好就行 记忆这块爱咋咋地 ​​​
喜欢现在的自己 很自我 很洒脱 ；） ​​​
每天练乐器的一小时 是发自内心的快乐 ​​​
老套戏码 扮弱pua的行径 实在瞧不上;) ​​​
我还是多练练琴吧～ ​​​
看到对方刻意讨好新欢 只觉得人的本质都好病态 ​​​
会过去的 就像从前那些也过去的那样 ​​​
为了自己 ​​​
四月了 我还在开电热毯暖脚心碎心痛有没得好方法治呢 ​​​
活着太痛了 ​​​
心痛的感觉时时刻刻会有 ​​​
四月啦～～～ ​​​
Tizzy Bac《You'll See》You&#39;ll See（@网易云音乐） ​​​
没什么要说的 让自己世界大一点吧  不要局限小情小爱 ​​​
放下 ​​​
再见 ​​​
不值得的东西 少看 ​​​
所以我更应该尽力 少留遗憾 ​​​
