救命 为什么让我重拾数学#生活手记# ​​​
你们懂 老师布置做PPT 说是10-15分钟 最后你的同学们每个人都准备了30分钟的量的无力感吗 真的要被卷死了 ​​​
为什么人会突然不开心呢 明明大家都开心#生活手记# ​​​
最近真的挺大起大落的 高兴的事也有 不高兴的事情也很多 唉 人终究活成自己不喜欢的样子 难过的时候总是觉得世事无常 别人的成功可能更会点醒你 或者让你变得觉得自己很差 比较真的很伤害人啊#生活手记# ​​​
今天突发奇想 突然很想直播 觉得很有意思 跟大家聊天啥的 一直在叭叭叭的聊  跟朋友们一直聊天 有点小高兴 又有点烦恼 又有点尴尬 结束之后我想着也挺高兴的 但是确实有点落寞空虚咯 不知道为什么 有点难过 我总是因为别人的成功感到悲哀 总是因为别人的成就觉得自己啥都不是 直播以后的空虚 带给我的 ​​​ ...展开
真的很难过一次又一次的失败 原来极度难过的时候是心一直坠落 颤颤巍巍 生怕错过一个好消息 可惜迎来一次又一次的失败 真的不知道该怎么缓解 告诉自己 不要太在乎了 还是会在乎 还是会在意 ​​​
一个所谓挺重要的资格，我无数次的争取，又无数次落败，努力过了也没办法尽管我很想要，但是内部商定的东西我没办法凭借一些东西改变。如果下次有可能但几率不大，我应该放弃吗？ ​​​
有山有树 等你来 ​​​
长期跟思想不正的人在一起 确实会变得思想不正 要勇于脱离所谓的舒适圈 不要让自己难过打不倒我的只会让我更强大  ​​​
真的由衷的感慨2023年真的过的好快啊 感觉昨天还在进入2023年 今天就进入2024啦 这一年经历了很多事情 一起也好 不一起也好 大家都在奔向美好的生活 疫情结束 大家都疯一般的冲出去 同样啊 我也是的 今年去了一些地方吧 各有各的风味 不同体会 真正能让人感受城市的魅力 人们都说大学应该是怎样的 我偏 ​​​ ...展开
