#生活手记#2块钱坐到终点站的，一路刷手机不操心，真不错哎 ​​​
上次把糖番茄撒的是盐，今天蒸了芋艿，准备撒点糖给小的吃，怎么又是盐，过不去了这是 ​​​
《阵地》抗战剧，勿忘历史，好好看看 ​​​
五行与健康问题 ​​​
#生活手记#找个节目配早餐 ​​​
去看看湾区升明月晚会 ​​​
#生活手记#还要吐槽个啥呢，京东快递，老给我放快递柜，我老遇到延迟取货，以前有过付钱取出来，现在就打电话让重置，太不自由了，现在连京东电话都不高兴接了，体验太差了 ​​​
好多人的时代过去了，张雪峰被封了，王健林限高了，离火运的变化特别明显了 ​​​
电信的网络是差，老是断网，为了省事这个月我都开了流量，一个人用了60G，以为是无线流量套餐，原来并没有，超了，今天用了无线网老是卡，断网，这个先进也是没啥先进 ​​​
#生活手记#早上太能吃了 ​​​
#追剧打卡#最近给我推的都是李乃文的剧 ​​​
#每日学习打卡#继续战高温，这天气也是服了，冷风就没停过 ​​​
#追剧打卡#《陈鲁豫慢谈.窦文涛》好看的很，很多情绪，很多过往，都看进去了。。。太精彩了 ​​​
#每日学习打卡#先天为根基，后天为环境影响 ​​​
#每日学习打卡#土多金埋的象，印旺为病 ​​​
继续追《我叫王土地》一张银行卡面临到期，去办新卡，大中午的，银行居然有人在吵架，就两三个人，为排队的事，精神头太足了，还好我只要机器上办理就可以了，不然我真太受不了这吵吵的氛围 ​​​
第二场旅游推广会 ​​​
我就是看到了一朵祥云 ​​​
#追剧打卡#《我叫王土地》，这剧就有插曲《鸿雁》了 ​​​
看到一个弹幕说打了三针科兴，就爱看这种爽剧简单的快乐，能乐就行《我叫王土地》，林永健演的，2011年的，很久远的剧呀 ​​​
#生活手记#今天煮大虾和白斩鸡 ​​​
在梅州那里吃中饭，姐姐叫的旅游推广会 ​​​
#追剧打卡#《钢的琴》又是好笑的一天哈哈哈哈 ​​​
#追剧打卡#《钢的琴》继续 ​​​
笑死了 ​​​
#追剧打卡#挺好看的《钢的琴》，生活味 ​​​
2014年的剧《钢的琴》，李乃文的，很有生活气息，蛮有意思的，能看的下去 ​​​
#生活手记#今天还有一个大饼了 ​​​
#生活手记#给我推了个《虎口拔牙》，蛮可乐的 ​​​
名以食为天。最怕科技狠活和转基因油。我上个礼拜煎了一块牛排，小的说“妈妈，下次这种合成牛肉不要买。”好尴尬，我说是正规店买的呀，他说跟我吃的口味不一样 ​​​
#生活手记#罗老师伤官合杀，聪明不过伤官，伶俐不过七杀。伤官坐食神，骨子里还是有厚道的一面，自坐偏印，整个八字偏星多，阴性多。这次有点胜之不武呀，对方属于自杀性助攻。家里吃隔夜菜还要顾忌的，到饭店有可能吃到隔年的，而且还要针对家里的宝宝，这个对公众的伤害是无法估量的。 ​​​
哎哟妈呀，罗老师开始求购货源了，有一部分人要提前退休了么 ​​​
今天三个螃蟹蛮大的来。网友说不想做饭去饭店，饭店也不想做饭。扎心了。冰冻是技术活，用转基因油一眼就不能接受的吧。 ​​​
