"美好的first的9天，属于热爱电影人。#first青年影展
#高压之上胆子要大#还是年轻好 ​​​"
露天电影，感觉真好。  ​​​
#First青年影展我来啦今年有空来西宁，来看First影展。很开心。主竞赛单元动画短片有趣，多样，还是从作品上可以看到青年人有着深深地纠缠、矛盾和痛苦，以及他们渴望着更高能量的叙事和表达。  ​​​
晨起湖边散步。  ​​​
听闻「候鸟300」从阿那亚搬来了大理，就冒雨去看，另外遇见小红书慢人节Aha艺术展。 ​​​
🌈 ​​​
大风杀（2025） 我的评分：好看。冷峻又暴力但我看的很享受，感觉是第一次看到用犯罪题材作品来表达与过去/旧时代的告别。第一次看辛柏青老师演反派，很棒。此片北影节爆款实至名归。 ​​​ 查看图片
“在自己的人生中，你有直面挑战吗？”安藤忠雄 ​​​
#你喜欢哪一部电影里的爱情# 我想到的👇 ​​​
贴春联。希望今年大家都「有点福气」。#过年##对联# ​​​
冬天厦门的海  L_凯澜的微博视频 ​​​
