爱吃 对抗路是伟大的
蓉昀超话 *无案件背景，本校园AU没有任何一位同学受到任何伤害，不上升真人，但真的不建议以这样的精神状态在作业本上嗑自己同学（第一张画是咔嚓的，彩色字是大家一起写的，黑白那张是画画的)最后一张是灵感来源，嫌p2字乱直接看p6文字 ​​​
就这样报hs数学组身份证号
上一秒：不想爱了，也不想劳动了下一秒：蛋挞到底在我的热水里加了什么？！！ ​​​
明星大侦探超话        应竹老师点梗@梅影长堤 ，画了大侦探广州展《往日回响》先锋戏剧中原创情节里出现的三小只，P3为原片段出处        这段真的又原作又好笑，感谢剧中演员的辛苦付出和用心创作，回响哪哪都是全是刀子但嘿嘿嘿侦探社永远温暖可爱！        我是观众我同意出90min话剧版本， ​​​ ...展开
蓉昀超话  【蓉昀battle】包子姐：投上头哥的原因很简单啊 ​​​
灯塔 小星星 小贝壳我想起了一些故人…… ​​​
蓉昀超话 我是患者我宣布这就是神医 好了全好了小药片和说明书都好萌ww ​​​
蓉昀超话  *明侦宇宙不上升真人欢迎收看本期《张院长为何那样》正所谓：圆滑世故张院长，不擅交际蓉制药，好人好报甄教授．脑洞来源于p4上古梗图 ​​​
经过长久的无感，一个画手在找参考时发现：嗑火姐记者还是得从他俩完全不知所云哪也不挨哪但至少丑得很默契的OOTD入手。于是就会发现这对和自己的穿搭一样邪门到家了，但好嗑。 ​​​
在最画不出来的年纪糊出第n个最想尝试满意了三秒不到又想删掉重来的草稿在最急于了解剧情的一季遇见最空的空窗期😎 ​​​
蓉昀超话  张飚车不语 只是一昧炫耀找到了自己的异能女主别管了 画一下我cp ​​​
好好好 各种意义上侦十首案真给我看爽了 ​​​
蓉昀超话路遇灯塔组，强如怪物没忍住不犯错，拼尽全力无法战胜……对不起我先嗑了 ​​​
就这样被一些群像拿捏 看得出大家旅行回来是真的更熟了ദ്ദി(˵ •̀ ᴗ - ˵ ) ✧
寸不已这真的很萌……世界上最有杀气的痛包出现了（不等回家拿到灯的别的谷看能不能再多扎一点上去 ​​​
蓉昀超话 这是玫瑰酒店第一萌物杀手，你敢和他们对视超过1秒吗 ​​​
蓉昀超话  Trick or treat！ ​​​
蓉昀超话《似是故人归》“你醒啦，今天是M212年3月14日，距离侦探社团灭，还有不到一年的时间。”S9E5衍生产物，全是我胡诌的，经不起推敲看看就好，借鉴了S6和S7各自最后一案的部分设定 ​​​
蓉昀超话  《新生》摸鱼 有图片参考顶牛组特别戳的一点是共同创伤，，，我愿称之为夜半惊魂PTSD最早私设是两个疯狂合伙人重建新酒店前一致决定把原址一把火烧完了烧得干干净净连地下室也炸了，后来为了给金主节省经费改了（），大概是两人梦中的景象 ​​​
蓉昀超话 阴暗爬行中画了酒店组的努努图纸……不介意请吃娃体模板来自🍠sanga老师，禁二传二改和商用，仅自缝或找代缝可以的搜索“努努缝制教程”即可了解工序，本人手残最多只能做到如图所示了（缓缓倒下），感觉会缝的妈咪一定能做出更萌的宝宝——————分割线——————关 ​​​ ...展开
？
蓉昀超话 ——《又见希罗》bug有，私设有，借用E7的设定侦探们是MG星人，所以对见过的相似的人会出现一些奇怪的幻视（）后2p一些纯享版山海名场面和鬼畜小罐 ​​​
谢谢 好多了
蓉罐就是蓉小祈的六个原因1.都穿得破破烂烂像小乞丐2.都是隐藏的少岛主3.都背地里当蒙面shero(女英雄/女侠）4.都靠盘东西养活了一大帮人5.都拿了年少无知爱自由一心离岛火葬场的剧本6.两个人没有同时出现过综上所述，蓉罐其实蓉小祈，蓉小祈其实是蓉罐玩梗而已别认真（原型都是一个能不像吗喂 ​​​ ...展开
可爱死
