天呐
吸烟刻肺
1
1
下班回家坐车上听到周杰伦的歌好治愈嘿嘿 ​​​
我要瘦回90斤 ​​​
今天染了一个超级爱的发色好开心呀！上次染还是高中毕业19年的时候天呐哈哈哈感觉很多事情今年对应到19年了好神奇 希望今年冬天最后几个月收获满满～ ​​​
瘦回去
九月份了又去年这个时候哈哈哈整个人开始很崩溃情绪状态很差 换大运的时候 今年状态好多了 稳扎稳打吧 不能一口吃个胖子 回想去年比以前进步就是好 认知有提升就是好～ ​​​
真的不能乱吃……整个人又油又肿好恶心 ​​​
今天又去灵隐寺抽签了 今年抽的两次都是同一张一模一样…不得不感叹玄学很神奇。 ​​​
今年一定好好努力，这是给自己的约定。 ​​​
嗯呢
你再摆烂试试呢 再摆烂你的天赋是要被收走的 ​​​
感觉这辈子谈不了恋爱了 ​​​
好想和未来男朋友去日本看雪 ​​​
可以让我碰到一个靠谱的男生吗…想谈恋爱了…杭州奇葩真的多 ​​​
姐想要，姐得到。 ​​​
最近少有的一次emo。难过。 ​​​
胖到史上巅峰了……不愧是我的食神年今年晕了 好想播女装 减不下来肥就不要羡慕别人播女装挣的钱了 我真服了…有本事一次性减下来啊 ​​​
如果你足够虚荣且努力争取 你的报应会是名利双收万人敬仰 ​​​
你马上就会谈到一个会爆金币 人品好 会穿搭 三观正 不开黄腔 尊重你 反差感 真诚 会撒娇专一 分享欲强 主动打直球 恋爱脑 注重细节 不冷暴力 不会乱开玩笑 会犯点小贱 只爱你的另一半 ​​​
回想以前的经历 做了很多的赔钱事情回看以前真的好像sb…而且真的是想当然的去做事…实际理想与现实差的可太大了…就当是试错了吧…做生意还会有赔本的买卖呢…别后悔，做好眼前的事情就好～ ​​​
今天花了一个多小时清相册照片 感觉把我的2023年都大致回顾了一遍…我只能说轻舟已过万重山 后面一定也会越来越好～ ​​​
赶紧恢复好吧🥹在家呆久了好焦虑 想出去疯狂赚钱！！！ ​​​
好想自己做一个服装品牌自己选品卖自己喜欢的衣服…感觉做自己喜欢的事情应该很有意思 因为自我感觉自己审美还不错哈哈哈 但感觉目前来说还是有点遥远 没事不急 一步一步稳扎稳打吧 ​​​
一闲下来就容易焦虑…… ​​​
现在的天气太舒服啦 ​​​
有点难过 ​​​
今年的愿望：谈一段稳定健康的恋爱。好好挣钱存钱。父母身体健康。 ​​​
温岚《祝我生日快乐》祝我生日快乐 @QQ音乐 ​​​
今年许愿谈恋爱想恋爱了……最好是狮子座丙火男❤️ ​​​
开开心心迎财神！！！发大财！！！ ​​​
新年许愿🎋 心想事成🙏🏻 ​​​
新年快乐 2024发大财啦 ​​​
而且我这个人真的特别特别讨厌爱占人便宜的人 之前的跟我玩的两个朋友就因为一点事情跟服务员吵架吵了2个小时还把服务员骂哭了我真的觉得很奇葩所以没在一起玩了…是我我只会把这家店拉黑下次不来就是了搞不懂为什么要浪费时间就因为那几十块钱…只能说不是一路人…而且真的那个嘴脸我看着都难受 ​​​ ...展开
真的很讨厌心眼子小的爱阴阳怪气的女的 背后bb自己朋友一顿跟我吐槽完然后转头puqwb互动又是好闺蜜了这种人真的是不是人品有问题啊服了 ​​​
今年的我一定闪闪发光 ​​​
一切都不过如此 2023好的坏的都过去了 2024我要变的超级无敌厉害 努力 ​​​
