一辈子也抚不平折痕
SmartBoom超话 今天的瓜怎么吃都吃不完？又是上香直播，又是超话涨粉，又是旧号更新，又是前司经纪人，又是疑似解约，又是拉美网站崩溃，今天是不是周二吗？怎么提前疯狂星期四了？十月份真的要出公告了吗？ ​​​
SmartBoom周边中转站超话收卡
SmartBoom超话 所以昨天去上香祈福也很合理了！因为新的开始，要有新的征程了！是吧是吧！ ​​​
不拉踩做不到吗？！！追星是个人自由，但有必要拉踩吗？人家私下不用花钱就能见面。你这冲榜n遍才能有这几十秒的互动。 ​​​
SmartBoom超话路过吃两口
终于看到热得出汗了果然很热啊。
SmartBoom超话好闪！！！真的要晕钱了
SmartBoom超话Love is love. 没有国籍没有粉籍，也不应该有攀比。
膜拜每一位出图的老师
再哭一遍
老师！看到应援咖啡厅的smartboom，真的要哭了
Everyday is about me.This one is just come to the cake and that's all. ​​​
路过得吃两口
这是真的帅！金发碧眼美男具象了。
其实no family挺好的。保护好家人很重要。我原以为是象牙的人上台端蛋糕。但其实，蛋糕出现在粉丝视频之后，也算是粉丝给他端了。不知道曼谷会不会有这个环节。
smb的故事可以更新很久很久，真的太招笑。
我我我我
看过很多人流泪，或心酸或心疼或委屈或怨恨，都是出于一份最无私的爱意。也看过人来人往，为了说好的配平，填补空缺，个人却花了更多的财力精力。粉籍是一个名字。不论来路如何，去往何处。请不要被名字绑架，也不要绑架他人。念随心动。每个人都是自由的。每个人都只代表自己。 ​​​
有意思。独不照我//@太好磕了鸭鸭鸭:哈哈哈哈哈哈好有意思我投1，2多有意思啊！让想起一句话，如果一个人能考0分，那他其实是能考100分的。//@百里_啾啾:图片评论 查看图片 //@如同星的灿烂:什么题目
SmartBoom超话感谢@大外兴人 记录，人生第一个饭撒！！对视到期待饭撒最后成真的激动，全都在那一声惊叫里了！ ​​​
必须支持！！谨记！！！//@太好磕了鸭鸭鸭:哈哈哈哈哈哈我笑死了这俩是我室友的本命//@一杯冰美式HE:谨记好吗//@只泡巨星:笑得我肚子疼//@伤心人类回收站:嗯对//@共情不易:to我cp//@你别说还真是这样:笑死我了支持//@睡了有事明天再说:我草这我前cp//@CJ时笙姑娘:啊啊啊啊//@Ansyy_:我笑炸了
"距离最近一次见你，正好过了24小时。Happy birthday，Smart！You are doing great, I am sooo proud of you.Wish we all happy every day, all dream come true！@CSNP_21 ​​​"
这么帅的表情，这么性感的动作，其实是在签这么可爱的名字。反差感这一块，谁去给smart解释一下，他怎么会觉得自己没有？ ​​​
We have the same wish.
—哪里有彩虹？ —他就是彩虹🌈 —哦哦哦哦！！！！
粉丝无私的爱，更让人动容。 因为有小小mart的一一回应， 所以这些爱更变得义无反顾。
smart=no plan B，感谢老师翻译~
"本来很担心小小smart的心情是否还安好。现在终于放心了，小小闪闪的星星和治愈的曲风，“Things change，and we can do nothing about it, just letting it go, feeling lighter, and becoming filled.”"
让我看看👀👀
感谢每一位助力的粉丝。每一位的真心，都会被看见
分享图片 ​​​
才知道，垂涎四子居然两两各养了一只狗，名字是剧里孩子的名字，花生和乐乐。还有一只粉丝命名的猫咪秋千。谁懂啊。这种分手要争抚养权的事，这辈子都要被三只小动物捆绑的事，谁会去做？谁有勇气去做？建议所有cp效仿。 ​​​
SmartBoom超话玩游戏，准备了两个黑板擦，两个人只用一个擦来擦去。(喝一瓶水的事已经习以为常)
原来爱写小作文是每个真诚的人的共性。第一次的体验新奇又充满挑战。有太多感谢，感恩，幸福的情绪想要表达，太多美好的回忆想要铭记，对未来也有更多期许。
最后luliao~甜死了🆘🆘🆘
论拍MV的重要性。所以剩下两首啥时候来啊 ​​​
🆘🆘🆘 ​​​
SmartBoom超话变相的抱胁宣传活动➕superThai(惊喜团猜测)宣传活动。主办方没有tl，只有wetv和hdl。922日本开始播出，见面会前，正好播到第四集🍯。 ​​​
一直在想smb的特殊性在哪里。原来是因为我。
//@绝情绝爱的代餐机器 ://@以防你今天还没看小动物 :就给她一个完整的//@小小小小磕学家 :哭了//@地狱笑厕厕厕厕 :哎呦//@我都磕骨科了你让让我怎么了 :💧
今日份的笑点。谢谢 ​​​
诚邀观赏//@舟舟舟舟啊_ :他俩在一起的概率为50%（对我而言100%）而你们为0
生成的图还挺好看的。我还有救吗？
SmartBoom超话 每一位粉丝都超级棒！
SmartBoom超话 对视可以是安慰与鼓励，也可以是一种诱惑。单方面的注视，就是肆无忌惮地表达爱意。 ​​​
SmartBoom超话当初被这条彩衣惊艳到来着。出处原来这么搞笑 查看图片
明媚两个字具象化了。
要是艺人道路发展起来，狗子和女团姐结识甚至合作，想想有点刺激(属于是殊途同归了)🆘🆘🆘 ​​​
女孩子就是最棒的！！
