3.16 ​​​
原来时间也是会贬值的东西 我所珍视的也只是如同滴水般穿过我心脏的几个瞬间 ​​​
大半夜翻相册 看见奶奶了 活生生的 而不是冰冷的 心扎一样的难受 ​​​
刚下班 好累 ​​​
这么多年了谁又会真正的和伤害过自己的人和解呢 可能没有吧 ​​​
奶奶前面点了一盏油灯 ​​​
跟奶奶说 我每个月会赚很多钱 自己能养活自己 过年还能给爷爷 爸妈发红包 买好吃的 放心我们就好了 👵你现在这样也是受罪 看着好心疼 都六年了 给自己做了六年的心理建设 真的面临这种时刻的时候 还是会崩溃如果真的有下辈子 希望你投胎做个幸福小孩 好好疼自己 不要一直为别人付出 爱你 我的奶 ​​​ ...展开
尽人事 听天命 ​​​
最近属于满足了小时候的自己吧1、看了场演唱会2、短途旅游3、修好了以前很贵没钱修的坏牙虽然还是没有存款 真的好开心呀！！！！接下来的小愿望就是 攒钱攒钱攒钱！！！ ​​​
半夜出去打水 氛围太恐怖 回来就吓哭了 有时候会想 如果我不是自己一个人该多好 ​​​
立冬啦！哇！竟然立冬啦！ ​​​
飞机延误了 今天是不开心小孩 ​​​
#记录生活# 今日趣事 ​​​
周五蒸了一次米饭 吃了两天半 我要碎了 ​​​
好饿 ​​​
一个雨天☔️ ​​​
一个人也可以做闪耀的星星🌟 ​​​
分享图片 ​​​
今天中午在餐厅里吃了🦐 吃完突然想起来昨天还跟同事在笑 鱼缸里怎么那么多死🦐 ​​​
不要半途而废 不要知难而退 加油加油 你可以的 ​​​
我讨厌黑人的狐臭味 ​​​
分享新鲜事 ​​​
下午再也不睡觉了 ​​​
23周岁生日 八点下班 工作没做完 还被导师催论文 不开心 ​​​
