9月底的周末去北京开会了两天，存存北方的秋天。好干爽！晒太阳真舒服。  ​​​
//@出版人周筠:博主讲得好我的方法是多练习一个小技巧：在想要反驳的时候，给自己三秒钟冷静一下，就数“一二三”即可。三秒钟，就能让自己不再重复应激反应。应激，说明自己的情绪被对方控制了，对方想激怒你，你果然被激怒了。冷静三秒钟，你大概率会找回自己，让对方想控制你情绪的企图落空。试 ...展开
//@出版人周筠://@泰拳刚猛:差不多。个人体质不一样，有那些每天累的受不了，恢复也不好，还要每天跑的，是可能产生过多自由基清除不掉的。不过总的来说绝大多数实验都指向规矩运动（包括跑步）会延长端粒，延长寿命而不是相反//@若有所思的某人:就像很多人担心举举小哑铃就会练出肌肉块一样// ...展开
//@Robert_econ://@马泰奥-Matteo:我是这么说服自己的。第一，不要把这类文章当做学术文献。我们的工资来自于 gov 资助的公立大学，社科的一大现实作用就是替资助者论证先进性和合法性，所以这就是拿钱办事，职业、体面；第二，很多人诟病经济学没有用，经济学的计量工具脱离现实。那么如果能拿所学的 ...展开
25.9.27 4点出门追赶6点多的飞机，第一次坐凌晨的机场巴士。没想到6点机场人这么多。9点多终于到了北京。缺觉，整个人感觉在空气中浮动。参加下午的会1:30~6:30，结束了骑车去找高中的两个发小吃晚饭。9月底的北京，夜晚的秋风真舒服，大家散步，聊天，倾诉。今天一直在骑车，从口岸骑到等巴士的地方 ​​​ ...展开
“等待~我随时随地在等~待~” ​​​
25.9.26 还有一些碎片，存存。 ​​​
25.9.26 和久违的朋友在湾仔。 ​​​
转发
存存它。 -Moonsoon-的微博视频 ​​​
25.9.25 雨后晴天的老小区真舒服，偶然散步路过，前面是社区咖啡店，后阳台上是老板（泡茶中）和他的小🐦。雨后的万物都好有活气。 ​​​
25.9.25 周四。反思：我是一个理智（理性？）的人，但是很多“大”决定又是根据某种直觉，不犹豫，直接做出的。对我来说，直觉就最高的理智（理性？），一眼觉得不对劲、不合理、不喜欢的/有意义的、有趣的、有冲动想要继续跟进的，直觉上就是这样的，于是就依据直觉行动。当直觉缺位的时候，理性分 ​​​ ...展开
25.9.24 我突然理解练肌肉的快乐了。比如读博这种事情就是练肌肉的对立面。举哑铃给我好多即时的、短期的正面反馈，也就是说，哪怕今天的肌肉似乎也没有比昨天的更大，但是我知道再过最多一个星期吧，身体会有新的变化，我不必急；但是写论文就不一样，一方面下一次的正面反馈不知道是什么时候到来， ​​​ ...展开
每日一燃。
25.9.24 用中文写论文的时候，我发现其实对我来说，用英文写才是最稳妥的做法。用中文写论文的时候，我会因为它是我的母语，所以肆无忌惮地去玩弄这个语言。很多时候，写作作为一种很激情的、充斥着灵感、热血沸腾的兴奋事情，很多时候来不及思考语言的本质含义，而是去玩弄它，形成一种抽象的、看似 ​​​ ...展开
25.9.26 台风天到来之前。在2点前再出门散步一下，感受到了1. 人对某个日常活动的不舍，起始于当ta发现这个日常活动不再是无限的。当寻常性被打破，便将其视作珍贵了。2. 为了防止玻璃门窗被台风吹炸，大家用各种各样的胶布贴成米字，作为一个外地人，我看到这个画面觉得好新奇，甚至联想到了小时候的 ​​​ ...展开
转发
存存博三开始此刻的感觉：
转发
25.9 第一次在雨天爬山，闷热潮湿的空气不利于我呼吸，心脏怦怦跳，但感觉到此刻这个环境下的其他植物/动物在雨天里很快乐。打着伞的人类是雨天山里的移动蘑菇。 ​​​
25.9.18 早上来的时候看还是晴空万里，这会儿已经开始打雷了。连绵的雨 台风 乌云又要来了。 ​​​
不出家了，我觉得现在也是一种修行。 ​​​
写东西真难，姐想出家，也想做一只缩头蜗牛。 ​​​
//@芊芊草影:不害怕，害怕没用，不下牌桌总有希望。
25.9.15 随便存存港深的光影。 ​​​
存一份格拉斯哥大学里博物馆的清代的世界地图。平面的也是立体的。历史的痕迹成为山峰与山谷。  ​​​
25.9.7 存晚饭和早饭。 ​​​
//@核桃街魔女:对所有教育工作者的挑战//@绍兴黄酒:跟我和周围同事的经历和感受很像。从教学者的角度，传统的作业，考试，测验，paper作为评估学生的手段，除非是在教室内现场做，不然意义已经很小了，有的同事就把这些都改成现场笔试，这样占用很大的课程时间。就我个人来说，把大作业/任务分成“易上 ...展开
25.9.5 存存周五，汇报结束。 ​​​
//@包特_ExpEcon:人们把孔孟合称，但二者实际差距大概就和泰山与泰山石那么大。孔子是真正的伟人，文武双全，有才华，有建树。在盛世能教新东方，在乱世能扛枪。赚钱、当官、打架，样样精通，自嘲丧家之犬，实际从不被承认的贵族遗腹子爬到一国巅峰，是最大的人生赢家。所以作为成功者，孔子能教给人真 ...展开
//@翻译驴:确实有一些震惊。
//@出版人周筠://@LaosVuitton:在宗教当中，service也会被翻译成“同工”，用于指代“以耶稣及使徒的方式服务众人”，包括语言和情感角度的安慰与具体生活事务上的协助劳作，比较接近世俗社会概念中的“无报酬劳动”。其实无论有无宗教，那也是传统社会基于熟人社交网络的一种几乎必然的合作方式。只是 ...展开
25.9.4 存存开会。第一次来BAAL。这个学校像一个魔法的城堡（——有梦幻的味道，四溢的魔力全宇宙都蔓延到——by TFBOYS）。最近每天的日常：走三公里去开会，在路上被风雨袭击。各种鸟类在城市的天际穿梭。走到会场开会，训练自己的淡定社交能力，训练“真正在意我在干什么的人只有我自己”的心态， ​​​ ...展开
25.9.2 下了一天滴滴答答，八点天边有了一点点晚霞。现在我决定把自己落脚休息的空间都称为我家，所以八点多我也终于回家了。 ​​​
25.9.3 存存。开会前的一天：博物馆，散步，公园，雨天。  ​​​
//@出版人周筠:“早上皮包水，早上水包皮。”扬州人的惬意生活
25.9.3 博物馆语言选词简单、表达清晰，在和观众对话，在问观众问题。没有复杂的“理论视角”，没有抽象的词，就算有，也得解释得清清楚楚。  ​​​
转发
转发
25.9 再存存八月底的记忆碎片。 ​​​
25.9.1再次存存很喜欢的🇭🇰机场。羡慕机场里来自世界各地的、以家庭为单位出游的人，真好。  ​​​
姓杜啊迪拜你。  ​​​
25.8.29 存存胶卷🎞️里的真实人类。 ​​​
25.8.29 存那不勒斯的七月。这次的胶卷🎞️有点辛苦，在箱子里磕磕碰碰了好久。 ​​​
25-26 我的写作伙伴： ​​​
8.26 流汗。 ​​​
25.8.26 silver lining.  ​​​
25.8.23 存存一个周六，和曾老师许老师。 ​​​
转发
