一直都需要学习
妈妈已经无脑到“跟妹妹说一下，为了我们这个家……！”妈妈承受不了爸爸对她的责怪（农村思想，爸爸觉得两个女儿的婚姻问题都是妈妈的责任和原因）每来一次，必催一次。关键是，他俩当着我妹，屁都不敢放一个。（妹是偏爱的老二，幺儿。就在我面前嘀嘀咕咕~我说，妈妈，我做不了妹妹的决定，她 ​​​ ...展开
睡得早起得早今早自动醒，吃完早餐，麻溜儿上学去了！猫咪，我感谢你。#co  co  成长记# ​​​
呜呜呜，谁知道呢？最后是猫咪救我狗命~今天这个点已经获得了自由，孩子已经洗漱完毕，阅读完，背着书包🎒去小姨家和猫睡觉了。 看看小猫的魔力有几天~#co  co  成长记# ​​​
有猫以后的生活取名“瓜瓜”，他和小姨的决定，我觉得很难听，但我的意见没啥用。妹妹抱着它，跟抱娃一样。她目前坚持不婚不育，这也算她的猫孩子。猫猫陪着午睡了，给猫猫留了很大一部分空间。猫猫也来帮我育儿了，哈哈哈！#co  co  成长记# ​​​
猫猫的魔力早上六点起床，开始跟猫咪玩。已经给猫咪铲屎做了早餐，自己也做了早餐。这是原发动力 JL真实的微博视频 ​​​
小姨失踪一下午，买了一只小猫咪回家。co兴奋极了，洗完澡直接奔去小姨家睡觉。听说，还给猫咪擦了尿尿。（感觉猫咪可以实现一些教育意义哦）co，猫咪，小姨以这样的位置，睡在一张床上。而我，回来就躺在沙发上，昏睡到现在。#co  co  成长记# JL真实的微博视频 ​​​
co爸要见co，我约了动物园。进门手一扬，要买两百多的全票，被我阻拦了。我说，四十元的步行区就足够了。两张四十元的步行区门票，孩子免票。搞笑的点来了1.看见代步车，自己主动问孩子要不要坐。我没吱声（我知道贵）。一扫码，150元/时。马上说不坐了，可孩子不干了。我一屁股坐上去了，无奈之 ​​​ ...展开
再看一次还是很感动。他眼里的死亡~
《四季时光》为什么有这么厉害的作者？能看到这样的绘本，真的真的好幸福啊。书里面有一个爱看书的小女孩，一直走路看书。有一幕是，她撞到了路灯。看得我哈哈大笑~同一棵树，不同季节的样子，都呈现出来了。只粗粗看了一点点，因为co还要写作业，恋恋不舍收起来了。值得细细品味很多次很多 ​​​ ...展开
今天读这本~今天和小姨做了一会儿手工，小姨跟他说，好久没有跟你好好说话了。好想念小时候的你。今天给提溜到电梯门口罚站去了，小伙子态度好嚣张啊。真是一岁有一岁的烦恼。前天被请家长，人生首次被请家长是二年级，比预设的来的早了点儿。反思，复盘，调整，再执行。中间省略掉了我的苦闷 ​​​ ...展开
而妈妈今天的收获是被教练安慰！被幼儿园老师安慰！《看见》了他们对于我的支持，《承认》我需要支持和帮助。也《铭记》他们对我的帮助。怀着感恩的❤️继续生活，以我所能，分享❤️，传递❤️。身为单亲妈妈的我，正处于困境中。在面对，在克服。 ​​​
去爬山了跟幼儿园同学见面了只要写作业就困恐龙是我的最爱#co  co  成长记# ​​​
午饭吃了雄鱼。是co和姨奶奶去菜市场买的。他认识雄鱼，这一点比我厉害，我只认识鲫鱼。暑假体验了钓鱼，而且很感兴趣。十一也准备回去钓鱼，不考虑旅游。#co  co  成长记# ​​​
陪妹来4s店我倒车，一下子没倒好。接车的男同志礼貌地说，我来吧。我内心给了一个白眼🙄，快速回答他，我可以。我只是不想挨旁边车太近，好吗？？？ ​​​
虽然是嫌死狗的年纪，但离开时还是会抱抱。请让这个习惯保留的久点吧！调皮的男孩子~早上起来开始看《谁偷了三明治》。如果你真的不爱学习，那我试图让你成为爱阅读的调皮男孩子吧。#小co读书##co  co  成长记# ​​​
本来说好今天早睡可中途同学妈妈来跟我聊书，瞬间激动起来。分享好多书给她，然后现在一地狼籍~自己喜欢的派上了用场，好开心哦！ ​​​
刚手机推给我co和婆婆在一起的时刻#co  co  成长记# ​​​
今天的作业时间是和平的。有个小插曲，造句。👦🏻：“……小明摘了一朵花。”👩🏻马上说：“公园里的花不能摘。”👦🏻：“别说话，等会给你个惊喜。”惊喜就在图片里。今天打完了狂犬疫苗最后一针，还赶去学校参加了烘焙课程，这是这学期他新选的社团。小小的豆沙糯米糍，我和 ​​​ ...展开
这个地面算“一尘不染”吗 ​​​
co昨天拒绝去上英语课，躺在沙发上睡着了。从傍晚七点多睡到十点半，被同学电话叫醒。醒来发了好一会儿呆以后，要告诉我一个悄悄话。“妈妈，我今天没有写作业。”昨天第一次夜宿同小区同学家，这是念叨了一周的事情。拿着拖鞋、手表，提着零食去了。凌晨一点，小姨接到电话，要求小 ​​​ ...展开
好可爱的co哟。已经一去不复返。今天和他一起完成了阅读📖。阅读是我下半年要狠抓的项目，我和他一起。
奶奶刚刚起床去喝水，我听见客厅咚咚咚响。我问她你在干嘛？她单手拿着瓶装水在往地下敲。她说这样，这样敲两下水瓶。水更加容易打开。（奶奶是残疾人，左手从肘部截肢）我听见响声，起来给她拧开瓶盖。埋怨她没有叫我帮忙。她说，你在家我可以叫你，你不在家呢。细想她说的也是，我没再说话。 ​​​ ...展开
开始觉醒，主动学习
童说，姑，你剪头发了吗？“没有啊，姑姑一直这个发型，很久没剪头发了。”童：“那为什么你的头发有颜色？”原来她想表达我的头发染了颜色。“是的，姑姑特意染了这样的颜色。好看吗？等你长大，姑和你一起去染头发做指甲，好吗？”童：“好的！”跟他们讲，就算我没有去看他们，但我心里 ​​​ ...展开
网页链接
