#檀健次震耳欲聋# 期待期待~@MIC檀健次JC-T
于朦胧超话  非粉都被吓死，我还看过他不少电视剧呢，印象深刻的就是《新白娘子传奇》，那个时候，我觉得这个演员不错，应该不会有事的。 ​​​
快点播出吧！等不及了成毅超话#成毅赴山海#  赴山海 ​​​
成毅超话今天是我关注超话的第520天，希望能继续伴你一路前行～ ​​​
成毅超话今天是我关注超话的第500天，希望能继续伴你一路前行～ ​​​
敢当//@成毅:敢担当，卫和平，吾辈永志不忘！#中国人民抗战胜利80周年#
还不知道怎么玩儿超话？我都在檀健次超话是LV.10啦，还获得了翼辉丹火头衔，来檀健次超话找我聊天，我来给你划重点~ ✌️ ​​​
//@MIC檀健次JC-T:成长是一个不断战胜自己的过程 请相信#你比想象中更靠近光##温暖中国#
成毅超话 生日快乐@成毅  #成毅0517生日快乐 毅淇同行# ​​​
#成毅# #成毅0517生日快乐# 生日快乐啊~淇淇~@成毅
#檀健次QQ音乐# #檀健次# 快来听听歌吧~@MIC檀健次JC-T
#檀健次# 恭喜多多又多了个代言品牌@MIC檀健次JC-T
#成毅0517生日快乐# #成毅# 恭喜淇淇又得一个代言@成毅
#我的超话卡册#一起走花路吧！ ​​​
我在成毅超话抽到了R卡“小夷清风闲”，快来试试你的手气如何！ ​​​
支持支持~#成毅#
书破江湖界，心澄日月明。萧秋水盼与各位江湖侠士早相见！#赴山海# 
檀健次超话今天是我关注檀健次宝贝超话的第1100天，希望能继续伴你一路前行～ ​​​
檀健次超话今天是我关注檀健次超话的第3年，希望能继续伴你一路前行～ ​​​
#檀健次滤镜# 哈哈哈哈，看嫂子不像本地人
#檀健次逛动物园vlog# 哈哈，宝贝爱你
成毅超话#成毅#  好聪明啊，这样避免麻烦
想看想看~
多听听歌，多多支持檀健次@MIC檀健次JC-T
来咯来咯，他真的来咯，call他~
#猎罪图鉴2# @MIC檀健次JC-T 期待期待~
分享一下可爱的自己 ​​​
中秋快乐🥮🥮 ​​​
#广州晚霞杀疯了#美美哒！心情愉快~#晚霞#  雁儿最乖啦的微博视频 ​​​
我在成毅超话等级达到LV.5，获得童年果苗头衔，小伙伴们快来加入超话一起聊聊吧！超话传送门→成毅超话 ​​​
成毅生日快乐呀，一淇同行～爱你
成毅生日快乐，一淇同行，永远支持你
