“ 幸福是你拥有的减去你期待的 ”《 金钱心理学》 ​​​
三点不睡觉的人，精神状态可还好 ​​​
摘抄本不要高估你对没有爱情婚姻生活的容忍程度，人最擅长和不爱的人结婚，用一生去怀念爱的人。有些人是山川 是河流，唯独不是可以停泊的港口。如果没有爱情，两个人在一起也许比一个人还要孤独。 ​​​
不善于删除聊天记录的我为了隐藏她的存在我主动与她断联  遗忘的故事 ​​​
鞭炮齐鸣 春来江水绿如蓝句句福收 ​​​
推荐 分享自 @得到 ​​​
我要站在我的角度反对我自己 ​​​
强推到了再砌人走帐清人生苦短一只候鸟飞往高山入冬之时即可回来 ​​​
把你扔到花丛里，比扔到大海里，要容易吗 ​​​
植物会分裂的 ​​​
让上帝眷顾我时，我得多少勇气去杀死自己的懦弱。 ​​​
有个大品牌，在做户外品牌，环保，好早都创立了，可我不明白它每年拿出销售额的百分一做世界环保事业，可是它成名的品牌居然是小动物的皮毛制成的，patanigo           八十岁的人了，换环保材料不行吗 ​​​
她死在你想像中我没有音符变成诗我没有让歌声渲染烘托现实的人和故事我也终究没有把它哲学里的意义是的，现在是现在未来在未来以前也只能是以前  你出生在火热的夏季  是今天  世界上少了一个人  她 ​​​
你和你的生活有段距离不是你爱她的距离是你不喜欢她的距离  这段距离我用美食  我用粉扑和滤镜    那比深夜还深的理想鸿沟比我想象的还恐惧    似乎有一天你想通了 只有死亡可以去杀死恐惧死后的灵魂是纯粹的爱能填满你所有的浮躁不安 ​​​
刀落的时候有几个可以安详的睡着，在每个微小的群体里清醒的时候他是说过五千年前的咒语，不是文明的开始，就是文化再一次的泯灭。  你的每次成长都是逆人性的，你只是察觉不到它的存在。          让它沾染人性的另一面毁灭，组织关系最后的瓦解。  特立独行的猪，猪死的意义在于运动吗 ​​​
早醒是一种好的习惯    早起  是一种美好的生活 ​​​
