看的我泪流满面，似乎又找到了属于自己的光。
外表阳光自信乐观美丽的姑娘都会被PUA，总之不要拿别人的错误来伤害自己，远离内耗的人，让自己永远做自己。
#你好2025#希望自己能调整好精神状态，把计划制定起来，一件一件的去落实，回归初心。 ​​​
不知道现在醒悟可还来得及，爱自己多一点，背负家庭责任感真是一种绑架。 ​​​
