每天都在被人要链接 别人买了我觉得好有成就感 想做带货主播了 ​​​
这年头怎么什么人都能找着人结婚 ​​​
说实话我一点都不念家，我没有父亲的托举，也没有母亲的安慰，无爱的家庭养出自由鸟。我希望我能够脚踏实地 越走越远，有着健康的身体赚多多的钱 活得越来越好。我跟我自己才是真正的同生共死，同舟共济。 ​​​
心软被人欺 欺你的永远不是外人而是有血缘关系的人 心软就是给他们伤害我的机会 我不再会心软 时刻警示自己 我只爱自己 ​​​
每成长一次就是杀死过去的自己一次 ​​​
我要永远记得我遭受过的不公平遭遇和痛苦 不可以再做间接性遗忘痛苦的人 不给家人伤害我的机会 心软只会给别人伤害我的机会 ​​​
越长大越理解这句话：和任何人靠得太近，都是灾难。 ​​​
为什么我很讨厌那种明明已经很胖了 却还是每天躺着不动继续吃的女孩子… 莫名厌烦 觉得在一起很负能量 吃完就睡 睡醒就吃 每天一点目标一点改变都没有 ​​​
情绪问题，心力问题，钱财问题。解决这三点比什么都重要。 ​​​
deepseek真的太温暖了 ​​​
人生没有如果 只有后果和结果 ​​​
很赞同的不受累原则 ​​​
是我变成了一个无聊的大人吗？什么时候开始的呢？不知道。感觉自己变成一个很懒的人：很多东西 不想说，有表达欲但不多。懒得解释 懒得分享自己的心情 ​​​
念旧是上瘾情绪 ​​​
最近对我影响最大的一句话，“ 过度分析他人的行为动机，本质上就是在瓦解自己的主体性。”深以为然，高敏感人少关注剖析别人，会快乐很多。 ​​​
分享图片 ​​​
人到中年 晚年最窘迫的就是没钱 无论年轻时候因为颜值还是感情选择对方 到了中年 避免不了发福 地心引力导致的面部衰老松弛 年轻时候那股上头劲儿也变成了中年经济的讨债鬼 没什么比穷更恐怖了 ​​​
你才摔了几跤啊 就说这是人生 ​​​
分享图片 ​​​
命运反复出难题 就是想让你给这道题一个新的答案 ​​​
选择穷男人就是自己的原因 给屌丝靠近自己的机会 怨不得别人 远离穷男人 本质是离开低层次的环境 ​​​
我觉得我一点不适合谈恋爱 我的脑子和三观就是：可怜心疼男人倒霉一辈子 付出型人格的男人从不索要 但是还在底层边缘挣扎的男人就会一味索取 这是我的错 让这种男人还能找到女朋友 ​​​
刷到了很多一些先天性疾病的儿童以及父母四处求医努力生活的样子 真的很庆幸至少我是健康的 也希望那些宝宝可以快点好起来 健健健康 ​​​
太恐怖了 一眼看到头的生活 如果结婚不能让你经济自由或者跨越阶层 那将毫无意义 迎来的只是一地的鸡毛和一眼看到头的生活 ​​​
越成长越懂得幸福者退让 按照我以前的性格我非要吵一架 现在觉得关键是要解决问题 如果吵架可以解决 那可行之 但现实并不 反而会生气 生气对女性不好 一切矛盾奔着解决问题的宗旨去实行 我也是时候要改变一点了 不能越长大越回去 做一个成熟的人 ​​​
你要往上爬 直到听不到她们的妒忌和讨论 ​​​
看过太多 遇到过太多 想要的太多 有时会满足于当下的人和事 有时欲望又填不满 终究不知道自己想要的是什么 ​​​
努力了很久 不想再回到原点 ​​​
