浙江大学你不许掉了你要让我上啊我明年一定要考上啊啊啊 ​​​
给自己买了两套试卷一套英一一套英二 丫头 爽晕你。 ​​​
我可以忘记我是谁但是我绝对不可以忘掉我的专业课和英语 不是说可以忘掉政治的意思 坐到点我就回家疯狂背书。 ​​​
希望国庆前我可以把中教史前五章背完 睡觉 ​​​
对呀我就是一个很棒的小女孩呀 ​​​
好喜欢丹丹。目前学333真的很开心。虽然我的工作好忙我好累。 ​​​
甜甜，不是所有人都能坚持到最后的。 ​​​
。在国庆前把中教史背完 我上个星期怎么这么不知天高地厚我说我在国庆前要背完中教史 我的天小姐姐你不上班啦！国庆前一定背完前五章！明天梳理不许梳理第一章了！ ​​​
和朋友视频了一个小时 她俩在说婚恋相关的话题 不管以后我会成为谁的妈妈或者谁的妻子 但是现在我还是最想成为985研究生。 ​​​
如果犹豫不决瞻前顾后会让我们想太多，那么我们一起把这颗蓝水砸了吧。 ​​​
越背越call back特别是三纲八目，越来越觉得很命运，我甚至记得冬天我逐条分析八目的场景。还记得面试在我两个讲兼爱把自己绕晕了的事。 ​​​
把小号退了只留下小红书大号 背完333再登 感觉还是得手写记学习进度 ​​​
有点晕晕的困困的 那就待会在背 今天把第二章背完 明天如果能复习完前两章且复习得还不错那就可以开第三章了 ​​​
至少现在考研能让我有目标有动力并且获得幸福 ​​​
现在在中教史 虽然还只是前期 但是越学越觉得跟我前两年路径好重合 科二学得很好语文学得不错。一些个命运 那就把333学得很好吧把很多时间留给专二！ ​​​
如果我不喜欢这份工作这个地方我就跑呀 我才21呢 我会考上985研究生然后在喜欢的地方做着一份很不错的工作。 ​​​
按部就班就是伟大。 ​​​
美女你坚持十点睡或者十点半睡五点起做什么都会成功的 ​​​
目前学得还挺开心 就是感觉真的好忙时间真的不够 ​​​
如果寒假前我把专一和英二学得我比较满意了 我就自己一个人去杭州玩一趟。 ​​​
找个时候把那些顽固污渍一样的单词全消灭了 ​​​
美女你不觉得一边工作一边考进梦校真的超酷吗 ​​​
