黎明之前最黑暗 放弃就是大笨蛋！这是一条记录微博📝 ​​​
生命的力量在于不顺从 努力本身就是一种天赋 ​​​
我勒个老天爷啊 你真要去考啊 小赵你一直一直向前走吧 别回头 ​​​
现在是北京时间 下午三点五十二分分 我确认我英语阅读理解又全对了 ​​​
冲呀 终于能见到新作品啦//@TFBOYS-易烊千玺:11月22日，影院见。
这个834为什么又背又默要这么久 ​​​
被别人影响 就承担了他人的业力 这就是“他人即地狱” ​​​
被爱简直易如反掌 ​​​
我勒个车代
一研为定
白天研究生晚上研究死 每天背书的时候靠“你背不了的书总有人能背 你想去的学校也只有别人去上了”这句话吊着一口气继续背书 压力好大啊怎么就九月底了 ​​​
谁敢信英二2012年的文章就有这样的观点了 别的不说 前瞻性太强了 ​​​
未来的老公请放心我中秋节和国庆节都会一个人每天坚持早起去图书馆学习的！别人都回家了就我一个人在学校备考！我已经找到绝佳放书位置 ​​​
好想他妈的闭上眼睛再也不睁开 被治的服服帖帖 834你赢了 ​​​
备考很累的时候，我在想如果我不备考的活，会不会开心一点。我恍然大悟，我不备考，会更加痛苦，我会处于想干什么却又一直退缩，但内心仍然焦虑的不行，反而会更痛苦。我想清楚了：我不能停下来，我不学习、自律，反而会把事猜搞的一团糟，包括享受生治。那么如此来看备考竟是我的理想生活。每天规律地 ​​​ ...展开
提起你的努力最先心疼的一定是妈妈 ​​​
今日份鸡汤：不要觉得一百天什么用也没有太短了 百日维新也就一百天 还是近代史上浓墨重彩的一笔呢（什么混搭 春夏秋全穿身上了） ​​​
好累啊好累啊 下午老师让写三篇专八阅读 脑子已经转不动了接着写英2️⃣ 然后来图书馆还要背四小时书 都走到这里了 感觉放弃比坚持还要难 ​​​
打卡！六个半小时的背诵 12h的学习时间！只问付出不问收获 如果不能成功我也接受失败！现在最大的愿望是每天给我12h时间学习 别让我上课行不 楼道背书太棒啦 ​​​
感谢伟大的冰美式 zly没有咖啡活不了版 ​​​
本人在此郑重宣誓：在剩下的一百天里，严格完成每日任务，绝不摆烂，不拖沓，不焦虑，不掉入完美主义陷阱，行动才是硬道理，按部就班就是伟大！合理分配时间，不畏惧难题，不轻视基础题，不畏惧背书，更不畏惧刷题，坚持奋战到最后一刻！ ​​​
我要让每个真心待我的人感受到幸福 要做温暖的太阳 要善良坚韧 勇敢真诚 好好生活 要让我爱的每个人因为我而感到幸福 要让他们为我而骄傲 要更努力！ ​​​
人如其名的倒霉小狗妹 ​​​
被爱像小孩 快看我的耳朵会动！ ​​​
 ​​​
不相信有解决不了的困难！不相信有完成不了的任务！不相信有战胜不了的敌人！！！ ​​​
估计是陪跑了 学了个啥啊 ​​​
烧高香的程度 ​​​
不要涨价啊 还想冬天背书的时候用呢 ​​​
333今年求你考赫尔巴特和杜威好不好 考各国法案好不好 ​​​
真正的问题不在别人身上，而藏在我自己身上 ​​​
原来人和人的timing真的那么重要 今天才明白那句话在那个语境是什么意思什么情感 ​​​
喜欢过的人第二次再看到还是会喜欢 服了只喜欢那一类男的 ​​​
神要怎么帮我？祷告的话最先听到的是我自己 我真要抑郁了 ​​​
无聊就回家读书！ ​​​
现在就是按部就班，各科都在推进，不知道是不是每天都有收获已经习以为常了，感觉现在很平静，有一种学了好像又没学的感觉，但题又能做，知识也能回忆起来，但就感觉，这状态对吗？只能告诉自己坚持比完美更重要，准备继续开始默写了不默写总觉得心里不踏实 ​​​
 ​​​
幸福的路有很多 希望你走的每一条路都幸福
老公老公老公 你就是内娱爱豆的神！！！！
感觉如果特别想视奸一个人 就是在偷走你的气运！！！！ ​​​
背书根本进不了脑子啊 ​​​
这他吗进都进不去 直接就是排队人数太多 易烊千玺你好火 ​​​
rock you body！ ​​​
好崩溃啊 写英二比英一错的还多 知道自己哪里不对但是那个思维老是改不过来 ​​​
vanish 每天都要提醒自己看一眼窗外！ ​​​
分享图片 ​​​
这么热的天还长了个超级大痘 ​​​
小狗妹就要吃小狗联名呀 ​​​
我的天我的姥 易烊千玺帅的不得了
茶颜上班时居然这么萌 ​​​
勇于备注得小料！芋圆摩多摩多！ ​​​
明天背书肯定又是不断的痛苦闪回 psj去死 ​​​
我承认能够认真备考也是一种幸福 ​​​
哥哥12周年快乐！！！！还会有更多更好的未来！
每天给我当头一棒什么意思啊 ​​​
每个人都在自己的二十岁痛苦 老天爷啊从来没为学习哭这么多次 ​​​
求学习像搞怪一样简单 ​​​
卡丁车好好玩 大富翁好好玩 psj是我大富翁的手下败将 ​​​
一天到晚想买的衣服比专业课要背的书还多 有没有人心疼一下我们这些阴暗人 ​​​
人们传颂勇气 而我可不可以 爱你哭泣的心 ​​​
何时葡萄才熟透 ​​​
默写勋章 ​​​
：事物的发展是波浪式前进螺旋式上升的 ​​​
我们永远也不能忘记家人！好好看的电影 ​​​
七月七月七月稳步前进！慢就是快 快就是慢！ ​​​
这个星期第一次喝奶茶？拍张照 ​​​
anyway 只愿循此苦旅 以达天际 ​​​
每天一边伤春悲秋一边崩溃一边焦虑一边不安一边麻木一边怀疑人生被作局 上床以后床上热的要死得半天才凉快 接着立马到一点多准备第二天学习 每天开口说话的时候是在背书的时候 最开心的时候是吃饭的时候 这个ky真的不会使人抑郁吗 什么时候大雪能深埋 什么时候能回张家界 ​​​
一觉醒来，全世界教育学水平下降一万倍，而我保持不变，当被同学推醒时，他嘴里念念道，你怎么还有心情睡觉啊？你知道待会就要考试了吗！赶紧背书吧，我复习完匆匆上了考场，试卷展开一行大字映入眼帘：请问教学原则有哪些？我揉了揉眼睛，心想今年的题怎么如此直言不讳，连材料都没给，大笔一提便写下 ​​​ ...展开
output ​​​
早上背晚上默写框架还是一坨 卧槽我不活了 ​​​
和老公合影一张 ​​​
此恨绵绵无绝期 ​​​
是这样是这样 感觉自己就是这种不管了先用力爱了再说的人 ​​​
