终于能用上全棉时代的卫生巾了 月经你一定要来好吗好的 ​​​
越是陷入一团糟的生活里 人越容易自怨自艾自怜 和自嬷十分相似。感觉生活一团糟 不知道明年这个时候我在哪里又在干什么 只想逃避 我的命运真的在我手里吗 主观能动性 强调人的主观能动性 不满足 今天升温了 阳光明媚 宿舍楼里正对着二食堂大街的几棵树亮晶晶 又是一年香樟树换新叶   秋天真的来了 不 ​​​ ...展开
💔
🌚密码的好可怕
光与夜之恋超话 出娃 送娃衣＋眼镜 69 包邮 ​​​
代号鸢超话 出傅融40m娃 59不包邮 ​​​
代号鸢超话 左慈初见吧唧 全新 图上全部 40 ​​​
代号鸢超话 出图上 一共32 全新 ​​​
我就这样失眠… ​​​
//@糖醋肉吃饼干:“我现在常常写日记，我发现，跟姐姐说的一样，书写，就是找回主导权，当我写下来，生活就像一本日记本一样容易放下。”——《房思琪的初恋乐园》
把讨厌的人拉黑了爽啊 看到脸就恶心🌚 ​​​
牛牛牛 wbg一穿三已经很厉害了
天天上高中语文 感觉回到了高中 ​​​
第五人格真的给我打焦虑了 ​​​
女王
夏天雨后好舒服 像是回到了春夏之交的时候 ​​​
麻辣香锅家的炒河粉好吃是好吃 油腻也是真油腻 晚上吃的 现在还在反胃我日了个锤子 早知道不全吃了 ​​​
好喜欢这段文字
今天真是破防的一天… ​​​
和不熟的人搞小组作业简直是 最恶毒的事情 最恶心的事情 我操这个傻杯世界啊啊啊啊啊啊啊啊啊啊啊啊啊 ​​​
虽然后天就要交5k字论文了 现在一个字都没动  一点不急我的娘嘞 ​​​
为什么裙子还不给我发货呃啊啊啊啊啊啊啊啊啊啊 ​​​
啊啊啊啊马上要上台汇报了啊啊啊啊啊啊啊啊啊啊啊啊啊好紧张 肚子疼 ​​​
爱女是你的谎言，恋猪是你的本质  ​​​
今天又测了mbti 感觉不是那么准确…esfje也只是微微e 大一测出来是infp 过几天再测一遍 朋友说我跟她冷暴力的前男友一个人格 喝趴😨 ​​​
想去洗浴中心唱ktv ​​​
其实短发看顺眼了也还行 收拾东西好舒服啊 一点点的思考和布局 打造舒适宿舍 ​​​
好可爱的妹宝 预制板香香的
我要笑成大粪了
不想上古汉课，虽然能听懂一点，但是不多 ​​​
"感觉很难和人建立亲密关系 熟一点点之后有一段时间就会很不耐烦 想把手机扔的远远的  我甚至没办法（也不想）表达出我的想法 也没有啥分享的欲望 明明每天的生活都有事情可以说的 明天一定得做表格了 (╯︵╰,) ​​​"
啊啊啊啊啊啊啊啊啊啊啊啊啊选师范是对i人的惩罚 ​​​
这么恨小广 那你还玩什么啊滚
当学委的一周之内 qq好友激增 失去了空间自由好处就是满足了我吃瓜的心理 能看出班里很多不自在的小圈子 ​​​
他喵的 也没人跟我说当学委这么多事啊啊啊啊啊 ​​​
好会说//@霜雪人间:我感觉这就是一个克苏鲁模拟副本。诵念正神（男主)的名，膜拜男主才是正确的，一小群供奉邪神(女主)，最终会召来女主对男主的毁灭(。//@鱼杪MIA0:叛逆的路人会感觉女主党突然克了起来，很带感啊（。
哈特被萌化了
美到我失声
好美
