Repost
准备试着相信一下以前和未来的自己，过去的我和现在的我一样敏感认真深思熟虑，所以一定在那时已经尽力为自己做了最好的决定，未来的我也和现在的我一样谨慎勇敢整装待发，所以一定在那时能够应对生活里的ups and downs，过去，现在，未来的我们会好好相互照顾的！ ​​​
Repost
是这样的，感谢半年前勇敢的自己，终于在人生里第一次真正感受到了自由：原来自由的模样和我曾经预想的并不相同，不是流浪，游荡，任性与全然的随心所欲，而是在关系里找到了真正的边界，在生活里找到了更多的能动性和力量，自由真幸福啊！
一个普通的周日，见一个朋友。 ​​​
是这样的🥺这几年来，带给我最大成长的事情是好几次的放弃：放弃需要的勇气，坚韧，和责任感其实并不少于坚持。顶着他人的目光、期待与叹气，去迎来一个充满不确定的现实，给自己的需求正当的空间和可能性，又怎么能被说成是脆弱与无能呢？
出门逛街，隔壁正在进行如火如荼的博饼活动，主持人大声宣布：一等奖是（噔噔噔噔）价值数千元的……种植牙一颗？！！这个世界有时候也令人挺困惑的🤷‍♀️ ​​​
寻找旧学校中秋聚餐完，我们一家人聚在亚诗里的老客厅里，躺的躺，坐的坐，泡茶的泡茶，小孩儿跑来跑去学着鸡叫，和远方的另一只真（话唠）公鸡一唱一和，外婆的蒲扇在好几双手里传递。两小时前，我们11个人在临水宫旁的一家餐厅里，围着一个圆桌，桌上有11道菜。开餐厅的大叔是外婆过去的学生，舅 ​​​ ...展开
回家整理东西，看到自己从小学到大学写的日记，收藏的纸片，写的各种信……努力精简扔掉了很多，却还是塞满整整三四个抽屉。总是觉得自己一下子就长大了，这样一看，一个孩子长大真的是一件好漫长的事情呀！有好多瞎开心，好多迷茫，好多眼泪，好多为赋新词强说愁的文字，原来现在的我是由这么多碎片我 ​​​ ...展开
两年前，外婆坚持要一个人搬回镇里的老房子，那是妈妈初中时，外公一砖一瓦地盖起来的，上一次住在这里，还是10岁的时候。在外婆家清晰地感受到时间留下的痕迹：印象里二楼的客厅好大好大，天花板那么高，现在却看上去像是一个小房间；小时候的澡盆还放在院子的角落，我试着蹲在里面，现在只能放下我 ​​​ ...展开
我刚刚成为了@崔庆龙_ 的V+会员，正在享受属于我的V+会员专属权益，你也来和我一起支持TA吧！  ​​​
离开全职工作到现在四个半月了，好像才逐渐切身地学会了放松。吃完午饭，在外婆家的客厅躺椅上摇个蒲扇，吹个风扇，随便看看手机，一下午的时间就这么溜走，一点关系也没有，反正也没有什么急事等着我去做。到了傍晚，抄起救生圈，往湖水里一躺，就这么看着天发呆，看远处的晚霞色彩变幻，云朵忽聚 ​​​ ...展开
终于！在一万次认证不成功以后……干脆换了个新号…… ​​​
