好甜
颜色很好看
出行必备
好百搭
看着好治愈
#周深演唱会上打小抄#周深语言能力强还这么有趣简直爱惨了
#郝蕾一句话戳穿傅首尔#傅首尔应该借着这次机会改变表演风格
在短剧里李沐宸真的是闪闪发光的存在
她跳《野路》的魔性舞步太上头了
#周深世界巡回最后一站#历时12个月的巡演好多精彩瞬间真舍不得结束
胡先煦反应迅速制止范丞丞太逗了
#宋小宝造型好像王嘉尔#宋小宝和王嘉尔这造型“撞车”撞得太有喜感了
#林更新这算盘打的太响了#林更新算盘打得响想存15万陈赫徐志胜不同意
#艾福杰尼说新疆我的主场没在怕#五哈来新疆艾福杰尼当导游肯定能玩出花样来
#孙俪想跟乌云之上导演吵一架#孙俪想吵一架其实是想借助导演的眼睛发现问题让表演更完美
#马丽曾被建议转行#当初建议马丽转行的导演真是有眼无珠啊
从广告模特到演员歌手陈德容好厉害
许凯当航空安全大使这身份好酷
#孙俪把剧组合作比作调精油#孙俪说得太对啦一部戏成功靠大家各部门就像调精油每个都得好
#别人海南露着腰余景天穿着貂#余景天在海南穿貂太有个性了这反差感绝了
#赵露思在山里种下期待的种子#赵露思给山里孩子做公益研学计划太棒啦
#谁教李嘉琦这样用脸唱歌的#李嘉琦唱歌表情太有戏眉毛都是笑点
《secret》给《沙尘暴》增色不少太绝了
好期待邓萃雯管乐侯佩岑sexy唱跳
就爱看姐姐们在舞台上尽情唱跳的样子
#距离高考还有2981的小学生#我宣布你是真正的小孩哥
#黄英的性格很容易被人喜欢#每次看到黄英在节目里的片段都觉得好有趣
#任嘉伦用音乐记录36岁的感受#他把对生活的感悟都写进音乐里了
#米卡带爸特种兵式旅游#米卡带爸旅游一路被偶遇运气也太好了
#任嘉伦手指钢琴舞#任嘉伦这手指钢琴舞高级感拉满氛围感绝了
#小时候愿望竟然以这种方式实现了#长大后再看愿望实现途径真是万万没想到啊
#沙尘暴剧猛口碑更猛#社会派悬疑剖析人性复杂真的很深刻
迫不及待想就看起来了
期待和小胡在常德的见面
好想跟着米卡父子开启同款旅行路线
#罗伯特的罗是罗云熙的罗#罗云熙新歌获大奖看来真的很不错快去听
任嘉伦新专辑这创意让人眼前一亮
被颜值戳到了
颜色好好看
性价比很高
种草啦
#现代年轻人的赛博许愿现状#赛博许愿就像开盲盒虽然未知但充满期待
米卡带爸爸打卡各种景点拍照肯定超欢乐
在展演现场这么说沈腾胆子不是一般大
三位美女同框亮相这画面太养眼啦
林俊杰出道22周年他的歌都超经典
于适全英文采访状态好好英语超流利
按这攻略玩马尔代夫肯定超有意思
