真正的智慧是接纳，外不起纷争，内不生对立；不与天斗，不与人争，不和自己闹别扭。 ​​​
今晚听杨天真的采访，说她拉黑了很多艺人，黑名单群星闪耀，虽然她是干经纪人的。我今天总结了下，一个人活得自在有两个点。第一，不害怕拒绝。敢对自己不喜欢的人和事说no，能做好生活里的课题分离。第二，不害怕争执和说出自己的想法。争执其实是件好事，可以暴露问题，暴露了问题才能解决问题 ​​​ ...展开
人间神器：一是人民币，二是书。有钱的好处是，别人很少为难你；读书的好处是，自己不会为难自己。 ​ ​​​
世界上最好的 22 位医生是：1. 第一条：是睡觉，它能治愈身体的疲劳，修复受损的细胞，是最佳的天然补药。2. 第二条：是喝水，为身体补充水分，促进新陈代谢，排出毒素。3. 第三条：是运动，增强体质，提高免疫力，让身体充满活力。4. 第四条：是微笑，缓解压力，改善心情，带来积极的能量。 ​​​ ...展开
