大家快来看
极度的坦诚就是无坚不摧因为足够坦诚 所以不害怕胡编乱造的的流言蜚语 ​​​
//@财班闲人:【菜菜手把手教你混职场】正想着周末整理一下@财宝宝 这几天写的职场精品干货爽文，没想到楷妈已经汇编出来了。大家转起来，给年轻人一点实实在在的帮助。
不要在意过往 接受她们真心相待的每一个时刻 我表示尊重 但我并不能接受他还怀念过往 还喜欢她的每一个瞬间 这才是对当下感情的一种不尊重 ​​​
在地铁口附近等朋友， 意外刷到了一个小姐姐支教的视频，看到大山里的孩子过着窘迫的生活 因为人流量大不好意思号啕大哭只能默默流泪。希望自己可以多赚些钱 帮助更多需要帮助的人  ​​​
角度不一样 待人待事也是不一样的  标准都是留给不在乎的人的 ​​​
孤独嘛 好像最不想接受的东西变成了不得不接受的 ​​​
接受痛苦 让痛苦成为我生命中的一部分 ​​​
有些事需要翻篇是给自己的释放有些事要记在心里目的是警示自己 ​​​
最后一次啦 许愿有个欣慰的结果吧🙏 ​​​
怪不得说现在人类退化了 很多人的🧠就不是用来思考的 就是个摆设。嘴巴也不是用来说话 就是用来上厕所的 ​​​
所以怎么样才能更好的了解自己呢 ​​​
