#法新社出图# ​​​
哇塞！哇塞！哇塞！很快就可以见面啦
期待期待
oi～好耶好耶
期待期待马上就有新剧看啦约会的资格  马小宇 约会的资格  马小宇… 戳我查看完整笔记&gt;&gt;网页链接  更多 马小宇 发布的笔记都在#小红书#，立刻下载 App：应用详情 ​​​
是帅帅哒阿泰哥
帅死啦
不见不散喲
好耶
新年快乐呀小赵老师
//@MIC赵泳鑫Steelo:天后回归  一秒回神
有名字啦 我投给了“小香薰”~
小赵老师，一切顺利呀
芜湖
圆满完成~
新歌超好听的
哥生日快乐
赵泳鑫超话 薰薰生日快乐！后面的时光一定会越来越好，越来越一帆风顺 ​​​
巡演要玩的开心呀
是帅气的小赵老师） （还有被羡慕充满脑袋的我
赵泳鑫超话爱鑫的你呀！我鑫爱的家人（图片是薰薰xhs📕发的图） ​​​
薰薰～是酷酷的薰薰
是冒泡的赵薰薰呀
开心的同时又有点难过，为什么上个星期天要上班啊
是帅气的小赵老师
赵泳鑫《愿世间的美好都奔向你》愿世间的美好都奔向你 @QQ音乐 呜呜呜好赵泳鑫超话开心啊虽然蹲错了地方但是还是好开心 ​​​
赵泳鑫超话啊啊啊好紧张 ​​​
耶～
哥你真是帅的没边了 
我们亲爱的赵先生真的是十分的帅气啊
赵泳鑫超话#赵泳鑫从男团成员到厂牌主理人# 我们家小赵老师真的太太太优秀的 ​​​
#赵泳鑫从男团成员到厂牌主理人#我们家小赵老师实在是太优秀太厉害了 ​​​
啊啊啊！！帅气的小赵老师！！！这可真是一个超级大动作！！！
要越来越好
赵泳鑫超话分享单曲 时差 (@网易云音乐)赵先生你是我最爱的小歌者 ​​​
分享单曲 时差 (@网易云音乐) 小赵老师的新歌敲好听 ​​​
狠狠期待住了 
来了
要越来越好
是帅气的小啊薰呀
新年快乐呀小赵老师
