分享单曲 拍拍灰 (@网易云音乐) ​​​
//@野蛮水蜜桃OvO:允许众生做众生，允许自己做自己
//@蒋胜男:写作也是，卡住了主要就是自己内心的恐惧。怕写不好，怕写不对……写的越多，包袱越重。//@楚惜刀:确实，年轻时凭热爱写作，无所畏惧；年岁渐长眼光高了就觉得自己写得不好，越写越少……//@亚尼大帝://@风小餮tie://@江南大野花://@南霸姬·://@Tiger公子://@阿瑞呀:// ...展开
牛姐
🌈
好运连连
分享单曲 阳！阳！阳！ (@网易云音乐) ​​​
//@赵小姐失眠中://@荐见://@出版人周筠://@劳东燕2004:本不想搭理，但好几次看到有评论说Maskpark树洞事件是假新闻，我也是醉了，装瞎到这个程度。随便在微博与微信上搜一下，就能发现国内几十家机构媒体都报道过这个新闻，包括南方日报、南风窗、中国青年报、新京报、凤凰网、观察者网、封面新闻、新 ...展开
//@乌云装扮者:尽管是年龄保护了未成年的施暴者，但受到伤害的未成年人更应该得到保护，不是吗？
//@咆哮女郎柏邦妮:创作谈真的要看那些真写的人写的，“写了三百万字就知道了，无他，唯手熟尔”
//@咆哮女郎柏邦妮:房主任真的好，她的表达从头到尾没有丢掉她的底色，又狡黠又世故又蔫吧又精神胜利，这种生动丰富让她塑造的这个农村妇女特别鲜活。而其中的巨大张力在于她的思想，你以为一个农村妇女不该有的思想，她质问她是否存在，提到薛定谔，自封女王陛下的时候，你能感觉到她的痛苦，这就是她 ...展开
//@知书少年果麦麦:出走吧//@马达的加斯加:祝你铮铮 祝你昂扬//@亭林镇无业青年:诚心祝福你//@席瑞就是花花:出走，是女人的史诗
//@朕知道了__:减少耗能
//@季业://@李宇春:去年看脱口秀里Echo讲二姐的故事，之后又收到了很多朋友分享的这篇微博，很震动。当时同事问我要不要转发这篇微博或者留言加油什么的，思考再三，我还是没有选择这么做，因为一句加油或许太过容易，并不足以表达我内心的感受。作为一个歌手，沉淀、打磨，用音乐去说出心中的话，是我 ...展开
看金爱烂的文字，感觉她在现实生活中一定是个细致的观察家。 ​​​
慢即是快
//@孟常:Repost
分享单曲 与时间赛跑的人 (@网易云音乐) ​​​
想看
+1
//@沈嘉柯://@房世子:转需//@·XxX·-:微信小程序搜赛伦100，它会显示离你最近有血清的医院，这个小程序是血清厂家方便患者找医院搞的//@杰米可爱多:怎么查那个医院有没有血清(´･_･`)?
自在！
码一个
//@镜子裂缝:什么叫 情真意切，真的感受到了//@偏偏想永恒呀:听了真的很难过
转存
下次来个体育场巡演，不想当暴晒兵喽
我也是
上次看这部电影还是在大学里
事实
我在//@cherry瑞--:成都到底有谁在！！！
好嘞
//@一生CR777:“什么破晚霞，还美成这样”
