//@电视剧锦绣芳华-国色芳华续:#国庆晒个IP同款地# 不必苦等时光机，收拾行囊就能扎进盛唐烟火里～#微博视界大会# 这个国庆假期我们一起去游玩吧~ #国庆刷片指南#
#接财神# #十月#
//@Sniper_JRTH:有些人一直又拉又踩，我不说不代表没看到。但凡玩儿豆瓣的都知道怎么回事，我对于内娱这种捆绑营销的手段已经见怪不怪了，只要别做的太过分，我都懒得搭理。
//@杨紫:#新中国成立76周年# 祝祖国时和岁丰，繁荣昌盛！#我爱你中国#
//@杨紫:#向烈士致敬#山河无恙，家国皆安。致敬先烈，致敬英雄！#盛世中国如你所愿#
//@杨紫:#向烈士致敬#山河无恙，家国皆安。致敬先烈，致敬英雄！#盛世中国如你所愿#
哈哈哈哈是我没错了
#杨紫跳的dejavu手势舞#期待我们的家业和生命 ​​​
#杨紫分享风云A9L用车体验# 杨紫超话
#mlb美职棒大联盟# #2025mlb季后赛#
#MLB世界大赛预言家# #2025MLB季后赛#  跟随杨紫希望“二刀流”大谷翔平能再度带领道奇队举起世界大赛的奖杯，道奇冲鸭！
#杨紫女心理师#
#漂亮# #杨紫#
#今年最爆的剧#
#今年最爆的剧#
#杨紫喜提风云A9L高定紫#
#今年最爆的剧#
#今年最爆的剧#
杨紫超话我投了国色芳华
杨紫超话//@胡子拉碴大叔48:我投给了“杨紫《国色芳华》”~杨紫超话
#今年最爆的剧# 国色芳华，锦绣芳华
#今年最爆的剧# 国色芳华，锦绣芳华
我投了国色芳华
#今年最爆的剧#平台双云大断层史冠！单集/集均广告数全平台史冠！V榜角色指数史冠！25年首部德塔文破3剧集！荣获白玉兰最佳美术奖！杨紫凭借此剧提名白玉兰视后！文化出海100➕国家和地区！杨紫演技全网好评！……这个国色芳华•锦绣芳华太权威！ ​​​
#今年最爆的剧#《国色芳华》《锦绣芳华》 ​​​
//@柠檬阿茶_:今天投票，做完扣1
#金鸡奖提名#哈哈哈电影圈还不如电视圈，这提名都是啥 ​​​
杨紫超话
#杨紫爆发力演技#李祯，白菊 ​​​
#生命树#
#杨紫和胡歌的原声台词爆发力太好了# #生命树首发预告#
#家业# #皖美秋日#
#生命树首发预告##生命树##爱奇艺片单# 期待早日和白菊见面，和我想象中的生命树太不一样了，太期待了 ​​​
#爱奇艺片单# #生命树#
#生命树首发预告# #2026爱奇艺新生片单# #电视剧生命树#
#生命树首发预告#
#生命树首发预告# //@杨紫:#生命树首发预告# “这里是无人区，不是无法区” 和白菊一起守护片雪山大地的美丽安宁。#电视剧生命树#
#2026爱奇艺新生片单# #生命树首发预告#
#家业制墨文化预告# #杨紫李祯#
#杨紫家业成了# #家业制墨文化预告# #家业#  家业！成了！
#家业制墨文化预告# #杨紫家业成了# #家业# #2026爱奇艺新生片单#  家业！成了！
#家业制墨文化预告#预告好有质感，越来越期待家业了，好想快点看到我们的李祯 ​​​
#家业制墨文化预告#期待和李祯见面的哪一天 ​​​
#家业制墨文化预告#抱抱李祯 ​​​
#家业制墨文化预告#家业成了，期待早日和李祯见面 ​​​
#杨紫家业成了# #杨紫李祯成了# #家业#
#爱奇艺片单#期待电视剧家业和生命树，我的白菊和李祯 ​​​
#爱奇艺片单#期待家业，期待早日和李祯见面 ​​​
#家业#好期待这个家业 ​​​
#家业#李祯 ​​​
#家业##2026爱奇艺新生片单# 家业成了，这质感太好了，好期待早日和李祯见面 ​​​
#家业制墨文化预告# #2026爱奇艺新生片单# #电视剧家业# 查看图片
//@杨紫:#家业制墨文化预告# #2026爱奇艺新生片单# 一双手，守一门绝艺；一锭墨，见一方天地。日复一日，李祯要悟出自己的墨道。#电视剧家业#
#爱奇艺悦享会官宣# #杨紫两部剧都有新物料#
#爱奇艺悦享会官宣#为李祯和白菊打call ​​​
#爱奇艺悦享会官宣#期待《家业》里的李祯，《生命树》里的白菊 ​​​
#爱奇艺悦享会官宣#白菊，李祯 ​​​
#爱奇艺悦享会官宣#期待杨紫的，生命树，家业两部剧 ​​​
#杨紫两部剧都有新物料#李祯，白菊 ​​​
#杨紫两部剧都有新物料#啊啊啊啊期待杨紫的家业的李祯和生命树的白菊 ​​​
白菊#快来爱奇艺悦享会找人啦#
#杨紫生命树看片repo#期待生命树，期待白菊 ​​​
//@Ariaaaaa0v0:家人们来点
#孙燕姿样子全球首唱# #电视剧要久久爱#
#角逐IP之光#  为你支持的IP角色打Call！  ​​​
#角逐IP之光#  终极对决，由你定夺！
#角逐IP之光#  选出你心中的IP 角色Top1  ​​​
#角逐IP之光#  选出你心中的IP 角色Top1
#外交部回应韩娱重返中国#
#角逐IP之光#国色芳华的何惟芳 ​​​
#杨紫# #角逐IP之光# 杨紫超话
#杨紫# 杨紫超话
#角逐IP之光#  为你支持的IP角色打Call！
#角逐IP之光#  终极对决，由你定夺！  ​​​
#角逐IP之光#  快来为你喜欢的角色投票吧  ​​​
//@蔡文的鸭:不愧是女频第一人@杨紫 同时手握芒果TV史上第一部、也是唯一一部热播期破4000万集均的电视剧，以及芒果TV史上第一部、也是唯一一部破5000万集均的电视剧，紫神伟大，顶礼膜拜👏
#爱奇艺925招商片单#期待家业，生命树 ​​​
//@Ariaaaaa0v0:第一张看燃了，人民的名义之下
#国色芳华云合集均破5000万#国色芳华太牛了，那可是芒果啊，何惟芳牛牛牛#杨紫##国色芳华# ​​​
#全智贤暴风圈台词#所以限韩令正确的 ​​​
#网友总结杨紫近五年电视剧实绩#
#杨紫七年前的香蜜热度破万#我的小锦觅，繁花似锦觅安宁，但愿流水度此生 ​​​
//@杨紫:铭记历史、缅怀先烈、珍爱和平！#今日中国再不是1931年的中国#
//@是你的铁头:杨紫奇瑞代言物料来了
杨紫超话
杨紫超话
杨紫超话
#一个好演员的角色塑造能力有多强# 杨紫超话
#生命树 纪录片# #杨紫又搞抽象了#
#生命树 纪录片#期待生命树，期待白菊 ​​​
#生命树 纪录片#路过的朋友都来奇异果预约生命树 ​​​
#生命树 纪录片#期待 ​​​
杨紫超话生命树超话
#风云X3L# 杨紫超话#FULWIN风云#
#白菊# 杨紫超话#杨紫#
#杨紫的专属A9L#
我刚赞赏了 @AndyYang的队队 100积分，发现宝藏博主一枚，强烈安利给你~  ​​​
杨紫超话 这个杨紫还是太牛了 ​​​
#杨紫# 杨紫超话
#杨紫胡歌生命树骑马路透#
