打开豆瓣发现女神又更新两篇新作 开饭 ​​​
初一磕戏影现在大一了还在磕。怎么不算是我青春期爱情观建立的一部分呢 ​​​
哎呦哈哈哈哈哈哈//@捡不捡捡:我服了哈哈哈哈哈哈哈哈哈哈//@桃枝别醒:研究生就这样//@Eternity_铃:我不行了
赞同啊//@王初灵她是最强大的:有吧，比如稍微开心一点活着，之类的//@霜月舍小八月:可是人生好像没有非要到达的目的（地理和心理的都是）
哇啊啊啊啊啊啊啊//@白雪公主的毒苹果poison:代吧//@白桃梦游记-:咪：真上头
存
这段真的。
码一下
好磕
最想要平静的幸福 ​​​
嗯呢//@vivi的茉莉咕卡包:像最近很火的那句歌词 成长的代价 像一堆筹码 赌注是谁能先放下
文学的力量啊。
这是一个伟大的时代//@耿向顺:即使在古代著名的唐太宗贞观之治、唐玄宗开元盛世、清康乾盛世、宋仁宗盛治、汉武大帝时期，人们吃不饱饭，到处都在打仗，底层人民生活无比辛苦，真的远远不如现在。
看到这一幕的时候真的眼眶湿润。。
好//@小别出心菜:开始轻轻收获吧。//@胖子很可以:我要一个脑子饱饱心也饱饱的秋天
嗯嗯真的是磕的第一对cp哎。
嗯呢
对 ​​​
成长总是潮湿又温暖的 ​​​
喜欢。
//@喵西不咪西:如果有未接通的电话 请回拨尾号6208
重温20 21 22年的戏影文其实已经不太贴现在的戏影了 所谓的戏影味其实一直都在变 但是很神奇的是：我被这不同的戏影味反复吸引。。20年我吻上戏影的原因还是因为破镜重圆的cp人设呢。 ​​​
存
女神又做饭。
。 ​​​
码住。明天看
突然反应过来喜欢过我的人也只是在像我表达善意啊。自己有的时候确实有些太（）戏（想不出形容词。）把别人的喜欢当成玩笑真的不太好。。对不起那几个人。真诚对待每一个人 才会内心坦荡 无论什么 感谢肯定 ​​​
啊啊啊啊啊。好磕啊
最伟大的一篇
我投给了“你”~
哎
太好磕🥺
我曾经想为一个领域深耕创造自己价值的梦 好像真的有机会实现。即使未来很远 即使这一路可能会要走很久 但是 当我想起儿时自己的梦 这个过程又回多幸福高考的不理想阴差阳错间带我走进了一个我从未想过的方向 这是我在那么厚的志愿书上亲自为自己选择的 我想我是幸运的 这一切 都刚刚好四年后 我又会 ​​​ ...展开
萌呀//@爱洒不洒:笑得我 查看图片
你是特别好的小女孩 你值得所有人爱你 谢谢你陪我走过的路 我会一直记得 ​​​
？？？//@莫负佳穗:？？？//@尾号6799:卧槽？
码
像我这样不懂语文的人根本玩不了古风小生梗。 ​​​
#严浩翔贺峻霖双人粉丝请时代峰峻正面回应# 
哈尔滨我来啦 ​​​
好吃啊啊啊。  ​​​
太好吃😋  ​​​
我读懂了 ​​​
分享图片 ​​​
码住
天呐
我靠
17岁的野心就是 我想一直深造 再选择的领域里读到研甚至博 ​​​
戏影你们一定是谈恋爱了呵呵。 ​​​
完成比完美更重要 ​​​
选择不fudu的一个原因就是 我不想停滞了 我的少年心气让我应该向前走 至于未来的路 我相信是越来越宽广 只有不做违心的选择 一切 都有可能这几天精神状态明显向好 学习新事物 用思考代替被动感知 试错 向前 灵魂的欲望是命运的先知 回头看这几年 其实我一直在像自己期望的样子靠近 至于如今新增的 未 ​​​ ...展开
可能是和你在一起的时间我都太快乐了吧 可能是你留下了太多美好的回忆给我 祝你未来一切幸福 我们都特别爱你 ​​​
