找回主体性
今天坐地铁，门快关的时候，一位大哥咻得一下从门缝中蹦了进来，时机卡的刚刚好，我甚至想给他鼓掌，好厉害的身手！ ​​​
我真的会哭//@电影罗小黑战记2:无限真的会很开心……
//@电影罗小黑战记2:我所选择的未来
在还没有了解女性思想时，看到对她的调侃就觉得很奇怪很不舒服，后来终于慢慢理清楚原因，幸好时代一直在进步//@亭林镇无业青年://@知书少年果麦麦:时代终于追上你了//@马达的加斯加:是啊//@SNH48--小怪:“我以前认为（被调戏）是可以接受的，我也不知道为什么以前这么多年我会这么想。我看到大家笑了
想看//@推拿熊:受不了了，这条微博转发揪6个朋友去电影院看罗小黑战记2，每人50块买电影票！中国动画片电影加油，罗小黑冲冲冲！明天下午就开！
终于看到大海啦！烟台的海好温柔啊，想每天都去沙滩玩去踩水！ ​​​
我要时刻提醒自己，哪怕背着包袱也没关系，我可以一边背着包袱一边往前走。哪怕哭也没关系，哭着吃饭的人是可以好好活下去的，我当然也可以一边哭一边往前走。暂时停在原地也没关系，我可以在原地休息好再继续出发。总之都没有关系，我自己才是最重要的。要记得自己发光的瞬间，作为自己的支撑。 ​​​
想吃想吃😋
看过动画，想要
好可爱呀
建立积极的自我形象
昨晚上心血来潮想要开始做运动减肥，跟着跳了减脂操，搞得晚上太兴奋睡不着觉不说，今天起来浑身像是被人打了一顿那么疼，我的腿啊我的腿啊 ​​​
我也要自己救自己
好可爱的小玩偶
看看我的等级
想要想要
生日快乐！
好耶，沾沾喜气
想看
想看想看！
“爱是圆满自我的过程”
抓住机会；客服对失败的恐惧；记录成就来建立自信；创建“虚拟文化资本”
感觉情感需求中的被肯定真的太重要了
接接接
“告诉自己，你可以的”
接财神//@迷宝吃不饱 :接//@这是一个很高冷的ID :接//@黄腿肠 :接！//@荷兰豆本豆豆荷 :诚接🤲//@牛肉酱西施 :欢迎您来🤲🏻//@巴斯小板 :喜欢女神 欢迎您来🤲
努力赶上等级
支持
“你有你自己的时钟”
可爱//@寒半仙算命不灵也要钱 :好好好我狂吃一口//@l鱼苗I :天呐这太可爱了……包庇我包庇我包庇我🥹
我也很喜欢日剧，感觉很平淡又很贴近日常生活，之前因为小美姐的微博去看了《短剧开始啦》，真的很好看，感觉自己已经被社会规训了，羡慕主角们为了理想去努力，但自己仍然不知道想要去做的事是什么，或者说因为被束缚所以一有念头就被自己否定了
我会无数次拯救自己
必须是老友记！
“活着就得学会接受”。接受自己，允许一切发生
码住，回头一定看
不是收留，是拐卖！拐卖！
不要逃避，要在自己能力范围内做可行的事。希望自己可以少去逃避，多做正确的事而不是容易的事。
姐的人生我的梦～
十二月一切顺利～
看看我是不是铁粉
去尝试，不要用预设的偏见设置阻碍
永远别回头看，亲爱的
想吃想吃！
我就是这样
