一年又一年
什么时候发日常vlog
看得我反复晕厥喜欢这只洋芋小兔子
帅的我书不想看了
喜欢看你享受舞台
//@悄悄乐呀:《肖战你脸好小啊》 《肖战你的手好大呀》《肖战这是肌肉吗 我没有耶》《肖战你身上好有男人味啊》《肖战你真的好帅呀》《肖战你牵着我好不好》《肖战我的手好凉 可以牵我的手吗》《肖战你好高呀 你低下头跟我说话嘛》《肖战你是第一个让我这么上头的》《肖战你的头发好软 好像小兔子呀》
music
乱世巨星
孩子这个省心
清丽妖异
赞子每一次出现就这么把我的心反复揉捏 ​​​
演我
好香
小公主
今晚第一套衣服太漂亮了意满离
蘸蘸还是跟初恋一样的感觉
宝宝萌
我还记得第一次见到你我心是怎样波动
今天的宝宝也是群星里最闪耀那一颗
宝宝
//@strange188:豆门！
你终于活了
冷面杀手in
小赞小赞天天开心万事不愁 ​​​
我宝宝吃的苦够多了，以后就拜托你平平安安顺顺利利得偿所愿天天开心
世上没有什么东西永恒不变，除了我们@蕾郁時分 ​​​
笑晕//@瓜瓜大王---沉迷奴奴版:我不要跟大波对视
喜欢看真心真意满心喜欢一个冷门明星的微博记录，在外人眼里不足为道的小动作小行为在喜欢你的人眼里总能找到萌点，同样，炙热的爱会让追爱的人也闪闪发光，让平素苍白沉默的人也变得鲜活生动 ​​​
想把你送到sdfj，做全世界最可爱最想追的养成系宝宝 ​​​
相约928
萌萌一口一个小洋芋
乖宝贝
爱你的千千次
亲你一百次一千次一万次
绛珠仙子 ​​​
