在xhs上发现了老傅！多年的网友终于可以刷到近况了❤️ ​​​
Repost
Repost
Repost
写的太好，阿姨真棒！！
有pete必转！
"So this world of dewIs a world of dewAnd yet, and yet我知这世界本如露水般短暂然而，然而……One must believe life is extraordinary默念了很多遍李翊云的ig。学生时代最爱的语文老师去世了。她一直都是那个想到就会嘴角上扬、让人又爱又怕的鬼机灵女神，小小的个子，但绝不会在人 ​​​ ...展开"
Repost
Repost
//@Theorois:如此诚实强韧的灵魂。//@散步奶啤:陈朗博士的写作令人叹服，我泪如雨下。她的书写embody了神学院这个discipline的特殊性。个人、婚姻、死亡，命运，现代性、革命、机构，母职。她从耶鲁神学院走进密歇根临床心理学我不知道要放下多少现在自由主义女权鼓吹的自信和自尊心。
写的好好
