你说句不爱我会死吗为什么要骗我 ​​​
祝你爱我到天荒地老不离不弃. ​​​
人和人真是奇怪 明明那么多个夜晚聊到凌晨 彼此坦然心迹 但是在某一天就普通的一天 我们成为了再也不会联系的陌生人 真诚真的能遇见真诚吗 已读不回的消息 没有下文的聊天记录 不再分享的生活 平淡如水的情绪 人与人之间的羁绊本就薄如蝉翼 感情就是不联系就没有的东西 ​​​
亲爱的 如果我是你要丢下的行李 大胆向前走吧 不用回头 ​​​
夏竹说不喜欢钱 但是王多鱼感动她的每个瞬间都需要钱 ​​​
我要稳稳的幸福 要那种可以紧紧抓住的 我赌气跑开也会追上我的 ​​​
